
ç,xu3,چ
çentik,xu3bo1bo2k,چنتک
çentik,xu3bo1bo2yk,چنتیک
çentikle,xu3bo1bo2yklh<>,چنتیکله‌
çentiklemek,xu3bo1bo2yklh<>mk,چنتیکله‌مک
çentiklemek,xu3bo1bo2yklh||mk,چنتیکله‌مک
çentmek,xu3bo1bo2mk,چنتمک
çenâr,xu3bo1er,چنار
çep,xu3bu3,چپ
çepeçevre,xu3bu3h<>xu3wrh||,چپه‌چوره‌
çepeçevre,xu3bu3h||xu3wrh,چپه‌چوره
çepiç,xu3bu3yxu3,چپیچ
çepken,xu3bu3kbo1,چپکن
çepçevre,xu3bu3<>xu3wrh||,چپ‌چوره‌
çepçevre,xu3bu3||xu3wrh,چپ‌چوره
çera,xu3re,چرا
çeragah,xu3reko7eh||,چراگاه‌
çerakese,xu3reksh||,چراکسه‌
çerağ,xu3reao1,چراغ
çerağ-ı,xu3reao1u4,چراغِ
çerağan,xu3reao1ebo1,چراغان
çerb,xu3rbu1,چرب
çerbzeban,xu3rbu1 ro1bu1ebo1,چرب زبان
çerbzebân,xu3rbu1 ro1bu1ebo1,چرب زبان
çerez,xu3rro1,چرز
çerezlen,xu3rro1lh<>bo1,چرزله‌ن
çerezlenmek,xu3rro1lh<>bo1mk,چرزله‌نمک
çerezlenmek,xu3rro1lh||bo1mk,چرزله‌نمک
çerge,xu3rkh,چرکه
çerge,xu3rkh||,چرکه‌
çerh,xu3rxo1,چرخ
çerkez,xu3rkro1,چرکز
çerkez,xu3rks,چرکس
çerkeş,xu3rkso3,چرکش
çerm,xu3rm,چرم
çermik,xu3rmyk,چرمیک
çerâ,xu3re,چرا
çerâgâh,xu3reko7eh,چراگاه
çerâkese,xu3reksh,چراکسه
çerâğ,xu3reao1,چراغ
çerâğân,xu3reao1ebo1,چراغان
çerçeve,xu3rxu3wh,چرچوه
çerçeve,xu3rxu3wh||,چرچوه‌
çerçeve,xu3rxu3ywh,چرچیوه
çerçeve,xu3rxu3ywh||,چرچیوه‌
çerçevele,xu3rxu3ywh<>lh<>,چرچیوه‌له‌
çerçevelemek,xu3rxu3ywh<>lh<>mk,چرچیوه‌له‌مک
çerçevelemek,xu3rxu3ywh||lh||mk,چرچیوه‌له‌مک
çerçevelenmiş,xu3rxu3ywh||lbo1mso3,چرچیوه‌لنمش
çerçeveler,xu3rxu3ywh||lr,چرچیوه‌لر
çerçevelet,xu3rxu3ywh<>lh<>bo2,چرچیوه‌له‌ت
çerçeveletmek,xu3rxu3ywh<>lh<>bo2mk,چرچیوه‌له‌تمک
çerçeveletmek,xu3rxu3ywh||lh||bo2mk,چرچیوه‌له‌تمک
çerçevesi,xu3rxu3wh||sy,چرچوه‌سی
çerçevesine,xu3rxu3ywh||sbo1h,چرچیوه‌سنه
çerçi,xu3rxu3y,چرچی
çesban olmak,xu1sbu1ebo1 ew,جسبان او
çesban,xu1sbu1ebo1,جسبان
çesban,xu3sbu1ebo1,چسبان
çesbân olmak,xu1sbu1ebo1 ew,جسبان او
çesbân,xu1sbu1ebo1,جسبان
çesbân,xu3sbu1ebo1,چسبان
çespan,xu1sbu1ebo1,جسبان
çespân,xu1sbu1ebo1,جسبان
çete,xu3bo2h,چته
çete,xu3bo2h||,چته‌
çeteci,xu3bo2h<>xu1y,چته‌جی
çeteci,xu3bo2h||xu1y,چته‌جی
çetele,xu3bo2lh,چتله
çetele,xu3bo2lh||,چتله‌
çeteye,xu3bo2h||yh,چته‌یه
çetin,xu3bo2bu2bo1,چتين
çetin,xu3bo2ybo1,چتین
çetinleş,xu3bo2ybo1lh<>so3,چتینله‌ش
çetinleşmek,xu3bo2ybo1lh<>so3mk,چتینله‌شمک
çetinleşmek,xu3bo2ybo1lh||so3mk,چتینله‌شمک
çetinlik,xu3bo2bu2bo1lk,چتينلک
çetinlik,xu3bo2ybo1lk,چتینلک
çetr,xu3bo2r,چتر
çetrefil,xu3bo2rh<>fo1yl,چتره‌فیل
çetrefil,xu3bo2rh||fo1yl,چتره‌فیل
çetîn,xu3bo2bu2bo1,چتين
çevgan,xu3wko7ebo1,چوگان
çevgân,xu3wko7ebo1,چوگان
çevik çalak,xu3o4wbu2ko0 xu3o4elo4eko0,چَويکْ چَالَاکْ
çevik çalak,xu3o4wyko0 xu3o4elo4eko0,چَویکْ چَالَاکْ
çevik,xu3wyk,چویک
çevik-çalak,xu3wyk xu3elek,چویک چالاک
çeviklik,xu3wyklk,چویکلک
çevir,xu3wyr,چویر
çevirdi,xu3wyrdy,چویردی
çevirdik,xu3wyrdk,چویردک
çevirdikleri,xu3wyrdklry,چویردکلری
çevirdiklerinden,xu3wyrdklrbo1dbo1,چویردکلرندن
çevirdiklerine,xu3wyrdklrybo1h,چویردکلرینه
çevirdiler,xu3wyrdylr,چویردیلر
çevirdim,xu3wyrdm,چویردم
çevirdiği,xu3wyrdyko7y,چویردیگی
çevirdiğimi,xu3wyrdyko7my,چویردیگمی
çevirdiğin,xu3wyrdyko7ko3,چویردیگڭ
çevirdiğinden,xu3wyrdyko7bo1dbo1,چویردیگندن
çevirdiğine,xu3wyrdyko7bo1h,چویردیگنه
çevirdiğini,xu3wyrdyko7bo1y,چویردیگنی
çevirebilir,xu3wyrh||bu1ylyr,چویره‌بیلیر
çevirebilirdi,xu3wyrh||bu1ylyrdy,چویره‌بیلیردی
çevirebilirdim,xu3wyrh||bu1ylyrdm,چویره‌بیلیردم
çevirebilirler,xu3wyrh||bu1ylyrlr,چویره‌بیلیرلر
çevirecek,xu3wyrh||xu1k,چویره‌جک
çevireceklerdi,xu3wyrh||xu1klrdy,چویره‌جکلردی
çevirecekleri,xu3wyrh||xu1klry,چویره‌جکلری
çevirecekti,xu3wyrh||xu1kdy,چویره‌جکدی
çevirecektir,xu3wyrh||xu1kdr,چویره‌جکدر
çeviremedi,xu3wyrh||mdy,چویره‌مدی
çevirememiş,xu3wyrh||mh||mso3,چویره‌مه‌مش
çevirememişti,xu3wyrh||mh||mso3dy,چویره‌مه‌مشدی
çeviremez,xu3wyrh||mro1,چویره‌مز
çeviremezler,xu3wyrh||mro1lr,چویره‌مزلر
çeviren,xu3wyrbo1,چویرن
çevirenler,xu3wyrbo1lr,چویرنلر
çevirerek,xu3wyrh||rk,چویره‌رک
çeviresin,xu3wyrh||sko3,چویره‌سڭ
çevirilmek,xu3wbu2rlmk,چويرلمک
çevirilmek,xu3wyrlmk,چویرلمک
çevirilmesi,xu3wyrylmsy,چویریلمسی
çeviriniz,xu3wyryko3ro1,چویریڭز
çevirip,xu3wyrwbu1,چویروب
çevirir,xu3wyrr,چویرر
çevirirdi,xu3wyrrdy,چویرردی
çevirirler,xu3wyrrlr,چویررلر
çevirirsen,xu3wyrrsh||ko3,چویررسه‌ڭ
çeviriyor,xu3wyryywr,چویرییور
çeviriyordu,xu3wyryywrdy,چویرییوردی
çeviriyordum,xu3wyryywrdm,چویرییوردم
çeviriyorlar,xu3wyryywrlr,چویرییورلر
çeviriyorsunuz,xu3wyryywrsko3ro1,چویرییورسڭز
çeviriyorum,xu3wyryywrm,چویرییورم
çeviriyoruz,xu3wyryywrro1,چویرییورز
çevirme,xu3wyrmh,چویرمه
çevirme,xu3wyrmh||,چویرمه‌
çevirmedi,xu3wyrmdy,چویرمدی
çevirmedim,xu3wyrmdm,چویرمدم
çevirmek,xu3wbu2rmk,چويرمک
çevirmek,xu3wyrmk,چویرمک
çevirmekle,xu3wyrmklh,چویرمکله
çevirmekten,xu3wyrmkdbo1,چویرمکدن
çevirmektir,xu3wyrmkdr,چویرمکدر
çevirmeleri,xu3wyrmh||lry,چویرمه‌لری
çevirmelerinde,xu3wyrmh||lrbo1dh,چویرمه‌لرنده
çevirmelerine,xu3wyrmh||lrybo1h,چویرمه‌لرینه
çevirmelerini,xu3wyrmh||lrybo1y,چویرمه‌لرینی
çevirmeleriyle,xu3wyrmh||lrylh,چویرمه‌لریله
çevirmemek,xu3wyrmh||mk,چویرمه‌مک
çevirmemektir,xu3wyrmh||mkdr,چویرمه‌مکدر
çevirmemişim,xu3wyrmh||mso3m,چویرمه‌مشم
çevirmenin,xu3wyrmh||bo1ko3,چویرمه‌نڭ
çevirmesi,xu3wyrmh||sy,چویرمه‌سی
çevirmesidir,xu3wyrmh||sydr,چویرمه‌سیدر
çevirmesin,xu3wyrmsybo1,چویرمسین
çevirmesinde,xu3wyrmsbo1dh,چویرمسنده
çevirmesindeki,xu3wyrmsbo1dh||ky,چویرمسنده‌کی
çevirmesinden,xu3wyrmh||sbo1dbo1,چویرمه‌سندن
çevirmesine,xu3wyrmsbo1h,چویرمسنه
çevirmesini,xu3wyrmh||sbo1y,چویرمه‌سنی
çevirmeye,xu3wyrmko7h,چویرمگه
çevirmeyiniz,xu3wyrmh||yko3ro1,چویرمه‌یڭز
çevirmeğe,xu3wyrmko7h,چویرمگه
çevirmiş,xu3wyrmso3,چویرمش
çevirmişiz,xu3wyrmso3ro1,چویرمشز
çevirmişler,xu3wyrmso3lr,چویرمشلر
çevirmişlerdir,xu3wyrmso3lrdr,چویرمشلردر
çevirmişti,xu3wyrmso3dy,چویرمشدی
çevirmiştir,xu3wyrmso3dr,چویرمشدر
çevirse,xu3wyrsh,چویرسه
çevirsek,xu3wyrsh||k,چویرسه‌ک
çevirsen,xu3wyrsh||ko3,چویرسه‌ڭ
çevirseniz,xu3wyrsh||ko3ro1,چویرسه‌ڭز
çevirsin,xu3wyrsybo1,چویرسین
çevirt,xu3wyrbo2,چویرت
çevirtir,xu3wyrbo2yr,چویرتیر
çevirtmek,xu3wyrbo2mk,چویرتمک
çevirtmekle,xu3wyrbo2mklh,چویرتمکله
çevirtmektir,xu3wyrbo2mkdr,چویرتمکدر
çevirtmeleri,xu3wyrbo2mlry,چویرتملری
çevirttirmek,xu3wyrbo2dyrmk,چویرتدیرمک
çevi̇k çalak,xu3o4wyko0 xu3o4elo4eko0,چَویکْ چَالَاکْ
çevre,xu3wrh,چوره
çevre,xu3wrh||,چوره‌
çevresindeki,xu3wrh||sbo1dh||ky,چوره‌سنده‌کی
çevril,xu3wyryl,چویریل
çevrildi,xu3wryldy,چوریلدی
çevrildikten,xu3wryldkdbo1,چوریلدکدن
çevrildiği,xu3wryldyko7y,چوریلدیگی
çevrildiğinden,xu3wryldyko7bo1dbo1,چوریلدیگندن
çevrildiğini,xu3wryldyko7bo1y,چوریلدیگنی
çevrilebilir,xu3wrylh||bu1ylyr,چوریله‌بیلیر
çevrilen,xu3wrylbo1,چوریلن
çevrilerek,xu3wrylh||rk,چوریله‌رک
çevrilip,xu3wrylwbu1,چوریلوب
çevrilir,xu3wrylyr,چوریلیر
çevrilirse,xu3wrylrsh,چوریلرسه
çevriliyor,xu3wrylyywr,چوریلییور
çevrilmek,xu3wyrylmk,چویریلمک
çevrilmemek,xu3wyrylmh||mk,چویریلمه‌مک
çevrilmesi,xu3wyrylmsy,چویریلمسی
çevrilmesine,xu3wyrlmsbo1h,چویرلمسنه
çevrilmeye,xu3wyrylmko7h,چویریلمگه
çevrilmiş,xu3wrylmso3,چوریلمش
çevrilmiştir,xu3wrylmso3dr,چوریلمشدر
çevrilse,xu3wrylsh,چوریلسه
çevrilsek,xu3wrylsh||k,چوریلسه‌ک
çevrinti,xu3wrybo1bo2y,چورینتی
çeyizlemek,xu3hero1lemfo2,چهازلامق
çeyizlenmek,xu3hero1lebo1mfo2,چهازلانمق
çeyizli,xu3hero1ly,چهازلی
çeyizlik,xu3hero1lfo2,چهازلق
çeyrek,xu3erbu2k,چاريک
çeyrek,xu3eryk,چاریک
çeyrek,xu3heryk,چهاریک
çeyrek,xu3yrh<>k,چیره‌ک
çeyrek,xu3yrh||k,چیره‌ک
çeyrekle,xu3yrh<>klh<>,چیره‌کله‌
çeyreklemek,xu3yrh<>klh<>mk,چیره‌کله‌مک
çeyreklemek,xu3yrh||klh||mk,چیره‌کله‌مک
çeçen,xu3xu3bo1,چچن
çeğale,xu3ao1elh||,چغاله‌
çeğâle,xu3ao1elh,چغاله
çeşid,xu3so3yd,چشید
çeşidi,xu3so3ydy,چشیدی
çeşidini,xu3so3ydybo1y,چشیدینی
çeşit çeşit etmek,xu3so3bu2dxu3so3bu2de,چشيدچشيدا
çeşit çeşit etmek,xu3so3ydxu3so3yde,چشیدچشیدا
çeşit,xu3so3bu2d,چشيد
çeşit,xu3so3ybo2,چشیت
çeşit,xu3so3yd,چشید
çeşite,xu3so3ydh,چشیده
çeşitle,xu3so3ybo2lh<>,چشیتله‌
çeşitle,xu3so3ydlh,چشیدله
çeşitlemek,xu3so3ybo2lh<>mk,چشیتله‌مک
çeşitlemek,xu3so3ybo2lh||mk,چشیتله‌مک
çeşitler,xu3so3ydlr,چشیدلر
çeşitleri,xu3so3ydlry,چشیدلری
çeşitlerinden,xu3so3ydlrbo1dbo1,چشیدلرندن
çeşitlerine,xu3so3ydlrybo1h,چشیدلرینه
çeşitlerini,xu3so3ydlrybo1y,چشیدلرینی
çeşitlerinin,xu3so3ydlrybo1ko3,چشیدلرینڭ
çeşitleriyle,xu3so3ydlrylh,چشیدلریله
çeşitli,xu3so3ybo2ly,چشیتلی
çeşitli,xu3so3ydly,چشیدلی
çeşitlik,xu3so3ybo2lk,چشیتلک
çeşitten,xu3so3yddbo1,چشیددن
çeşittir,xu3so3yddr,چشیددر
çeşittirler,xu3so3yddrlr,چشیددرلر
çeşm,xu3so3m,چشم
çeşm-i akil,xu3o4so3o0mu4 ao4fo2u4lo0,چَشْمِ عَقِلْ
çeşm-i akıl,xu3o4so3o0mu4 ao4fo2u4lo0,چَشْمِ عَقِلْ
çeşm-i dil,xu3o4so3o0mu4 du4lo0,چَشْمِ دِلْ
çeşm-i,xu3so3mu4,چشمِ
çeşm-i̇ akil,xu3o4so3o0mu4 ao4fo2u4lo0,چَشْمِ عَقِلْ
çeşm-i̇ di̇l,xu3o4so3o0mu4 du4lo0,چَشْمِ دِلْ
çeşman,xu3so3mebo1,چشمان
çeşmderide,xu3so3m drydh||,چشم دریده‌
çeşmderîde,xu3so3m drydh,چشم دریده
çeşme,xu3so3mh,چشمه
çeşme,xu3so3mh||,چشمه‌
çeşme-i,xu3so3mh||u4,چشمه‌ِ
çeşmeden,xu3so3mh||dbo1,چشمه‌دن
çeşmeler,xu3so3mh||lr,چشمه‌لر
çeşmelere,xu3so3mh||lrh,چشمه‌لره
çeşmeleri,xu3so3mh||lry,چشمه‌لری
çeşmelerin,xu3so3mh||lrko3,چشمه‌لرڭ
çeşmelerinden,xu3so3mh||lrbo1dbo1,چشمه‌لرندن
çeşmenin,xu3so3mh||bo1ko3,چشمه‌نڭ
çeşmesi'nde,xu3so3mh||sbo1dh,چشمه‌سنده
çeşmesi'nin,xu3so3mh||sbo1ko3,چشمه‌سنڭ
çeşmesi,xu3so3mh||sy,چشمه‌سی
çeşmesini,xu3so3mh||sbo1y,چشمه‌سنی
çeşmeye,xu3so3mh||yh,چشمه‌یه
çeşmeyi,xu3so3mh||yy,چشمه‌یی
çeşmi,xu3so3my,چشمی
çeşmân,xu3so3mebo1,چشمان
çeşni,xu3eso3bo1y,چاشنی
çeşni,xu3so3bo1y,چشنی
çeşnici,xu3so3bo1yxu1y,چشنیجی
çeşnilen,xu3so3bo1ylh<>bo1,چشنیله‌ن
çeşnilenmek,xu3so3bo1ylh<>bo1mk,چشنیله‌نمک
çeşnilenmek,xu3so3bo1ylh||bo1mk,چشنیله‌نمک
çeşnili,xu3so3bo1yly,چشنیلی
çeşnisi olmak,xu3eso3bo1bu2sy ew,چاشنيسی او
çeşnisi olmak,xu3eso3bo1ysy ew,چاشنیسی او
çi,xu3y,چی
çi-faide,xu3h fo1ebo5dh||,چه فائده‌
çi-fâide,xu3h fo1ebo5dh,چه فائده
çiban,xu3bu1ebo1,چبان
çift olmak,xu3fo1bo2 ew,چفت او
çift çift koymak,xu3fo1bo2 xu3fo1bo2 fo2wmfo2,چفت چفت قومق
çift,xu3fo1bo2,چفت
çift,xu3yfo1bo2,چیفت
çifte atmak,xu3fo1bo2h ebo2mfo2,چفته اتمق
çifte tüfek,xu3fo1bo2h bo2fo1bo1k,چفته تفنک
çifte,xu3fo1bo2h,چفته
çifte,xu3fo1bo2h||,چفته‌
çifte,xu3yfo1bo2h,چیفته
çifte,xu3yfo1bo2h||,چیفته‌
çiftele,xu3yfo1bo2h<>lh<>,چیفته‌له‌
çiftelemek,xu3yfo1bo2h<>lh<>mk,چیفته‌له‌مک
çiftelemek,xu3yfo1bo2h||lh||mk,چیفته‌له‌مک
çiftelerle,xu3yfo1bo2h||lrlh,چیفته‌لرله
çifteli,xu3yfo1bo2h<>ly,چیفته‌لی
çifteli,xu3yfo1bo2h||ly,چیفته‌لی
çifti,xu3yfo1bo2y,چیفتی
çiftleş,xu3yfo1bo2lh<>so3,چیفتله‌ش
çiftleşme,xu3yfo1bo2lh<>so3mh||,چیفتله‌شمه‌
çiftleşme,xu3yfo1bo2lh||so3mh,چیفتله‌شمه
çiftleşmek,xu3fo1bo2lso3mk,چفتلشمک
çiftleşmek,xu3yfo1bo2lh<>so3mk,چیفتله‌شمک
çiftleşmek,xu3yfo1bo2lh||so3mk,چیفتله‌شمک
çiftleştir,xu3yfo1bo2lso3dyr,چیفتلشدیر
çiftleştirmek,xu3yfo1bo2lso3dyrmk,چیفتلشدیرمک
çiftli,xu3yfo1bo2ly,چیفتلی
çiftlik,xu3fo1bo2lk,چفتلک
çiftlik,xu3yfo1bo2lk,چیفتلک
çiftlikler,xu3yfo1bo2lklr,چیفتلکلر
çiftlikte,xu3yfo1bo2lkdh,چیفتلکده
çiftliğinden,xu3yfo1bo2lko7bo1dbo1,چیفتلگندن
çiftliğine,xu3yfo1bo2lko7bo1h,چیفتلگنه
çiftçi tarağı,xu3fo1bo2xu1y treao1y,چفتجی طراغی
çiftçi,xu3fo1bo2xu1y,چفتجی
çiftçi,xu3yfo1bo2xu1y,چیفتجی
çiftçi-misal,xu3yfo1bo2xu1y||mbo3el,چیفتجی‌مثال
çiftçiler,xu3yfo1bo2xu1ylr,چیفتجیلر
çiftçilik,xu3fo1bo2xu1bu2lk,چفتجيلک
çiftçilik,xu3fo1bo2xu1ylk,چفتجیلک
çiftçilik,xu3fo1bo2xu1yllk,چفتجیللک
çiftçilik,xu3yfo1bo2xu1ylk,چیفتجیلک
çiftçinin,xu3yfo1bo2xu1ybo1ko3,چیفتجینڭ
çiftçubuk,xu3yfo1bo2 xu3wbu1wfo2,چیفت چوبوق
çigune,xu3ko7wbo1h||,چگونه‌
çigunegi,xu3ko7wbo1ko7y,چگونگی
çigûnegî,xu3ko7wbo1ko7y,چگونگی
çihar yar,xu3heryer,چهاریار
çihar yâr,xu3heryer,چهاریار
çihar,xu3her,چهار
çiharüdü,xu3her w dw,چهار و دو
çiharüse,xu3her w sh||,چهار و سه‌
çiharüyek,xu3her w yk,چهار و یک
çihil,xu3hl,چهل
çihilpa,xu3hl bu3e,چهل پا
çihilpâ,xu3hl bu3e,چهل پا
çihre,xu3hrh,چهره
çihre,xu3hrh||,چهره‌
çihâr,xu3her,چهار
çihârüdü,xu3her w dw,چهار و دو
çihârüse,xu3her w sh,چهار و سه
çihârüyek,xu3her w yk,چهار و یک
çikolata,xu3fo2wleth,چقولاطه
çikolata,xu3fo2wleth||,چقولاطه‌
çikolata,xu3wfo2wlebo2h,چوقولاته
çikolata,xu3wfo2wlebo2h||,چوقولاته‌
çikolata,xu3yfo2wlebo2e,چیقولاتا
çil,xu3l,چل
çil,xu3yl,چیل
çile,xu3lh,چله
çile,xu3lh||,چله‌
çile,xu3lo8h,چلّه
çile,xu3ylh,چیله
çile,xu3ylh||,چیله‌
çileden,xu3lo8h||dbo1,چلّه‌دن
çilehane,xu3u4lo4h xo1o4ebo1o4h||,چِلَه خَانَه‌
çilehane-i,xu3lo8h||xo1ebo1h||u4,چلّه‌خانه‌ِ
çilehanede,xu3lo8h||xo1ebo1h||dh,چلّه‌خانه‌ده
çilehanedeki,xu3lo8h||xo1ebo1h||dh||ky,چلّه‌خانه‌ده‌کی
çilehanelerde,xu3lo8h||xo1ebo1h||lrdh,چلّه‌خانه‌لرده
çilehanelere,xu3lo8h||xo1ebo1h||lrh,چلّه‌خانه‌لره
çilehanelerin,xu3lo8h||xo1ebo1h||lrko3,چلّه‌خانه‌لرڭ
çilehanelerine,xu3lo8h||xo1ebo1h||lrybo1h,چلّه‌خانه‌لرینه
çilehanesinden,xu3lo8h||xo1ebo1h||sbo1dbo1,چلّه‌خانه‌سندن
çilehaneye,xu3lo8h||xo1ebo1h||yh,چلّه‌خانه‌یه
çilehaneyi,xu3lo8h||xo1ebo1h||yy,چلّه‌خانه‌یی
çilehâne,xu3u4lo4h xo1o4ebo1o4h,چِلَه خَانَه
çilek,xu3lbu2k,چليک
çilek,xu3lyk,چلیک
çilek,xu3ylk,چیلک
çilekeş,xu3lh kso3,چله کش
çilekeş,xu3lh<>kso3,چله‌کش
çilekeş,xu3lh||kso3,چله‌کش
çileler,xu3lo8h||lr,چلّه‌لر
çilelerden,xu3lo8h||lrdbo1,چلّه‌لردن
çilelerinizden,xu3lo8h||lryko3ro1dbo1,چلّه‌لریڭزدن
çilelerle,xu3lo8h||lrlh,چلّه‌لرله
çileli,xu3lo8h||ly,چلّه‌لی
çilingir,xu3lbo1kbu2r,چلنکير
çilingir,xu3lbo1kyr,چلنکیر
çilingir,xu3ylbo1ko7yr,چیلنگیر
çilingir,xu3ylybo1ko7yr,چیلینگیر
çillehaneleri,xu3lo8h||xo1ebo1h||lry,چلّه‌خانه‌لری
çilleler,xu3lo8h||lr,چلّه‌لر
çilleleri,xu3lo8h||lry,چلّه‌لری
çillen,xu3yllh<>bo1,چیلله‌ن
çillenmek,xu3yllh<>bo1mk,چیلله‌نمک
çillenmek,xu3yllh||bo1mk,چیلله‌نمک
çillesi,xu3lo8h||sy,چلّه‌سی
çilli,xu3ylly,چیللی
çim,xu3bu2m,چيم
çim,xu3ym,چیم
çimdik,xu3mdk,چمدک
çimdik,xu3ymdyk,چیمدیک
çimdikle,xu3ymdyklh<>,چیمدیکله‌
çimdiklemek,xu3md klmk,چمد کلمک
çimdiklemek,xu3ymdyklh<>mk,چیمدیکله‌مک
çimdiklemek,xu3ymdyklh||mk,چیمدیکله‌مک
çimen,xu3mbo1,چمن
çimengâh,xu3mbo1ko7eh,چمنگاه
çimengâhının,xu3mbo1ko7ehbo1ko3,چمنگاهنڭ
çimenlendir,xu3ymbo1lbo1dyr,چیمنلندیر
çimenlendirmek,xu3ymbo1lbo1dyrmk,چیمنلندیرمک
çimenlerini,xu3mbo1lrybo1y,چمنلرینی
çimenlik,xu3mbo1lk,چمنلک
çimento,xu3ymbo1bo2w,چیمنتو
çimlen,xu3ymlh<>bo1,چیمله‌ن
çimlenmek,xu3ymlh<>bo1mk,چیمله‌نمک
çimlenmek,xu3ymlh||bo1mk,چیمله‌نمک
çimmek,xu3ymmk,چیممک
çin'de,xu3ybo1dh,چینده
çin'dedir,xu3ybo1dh||dr,چینده‌در
çin'deki,xu3ybo1dh||ky,چینده‌کی
çin'den,xu3ybo1dbo1,چیندن
çin'dir,xu3ybo1dr,چیندر
çin'e,xu3ybo1h,چینه
çin'i,xu3ybo1y,چینی
çin'in,xu3ybo1ko3,چینڭ
çin,xu3ybo1,چین
çin-i cebin,xu3u4ybo1u4 xu1o4bu1u4ybo1o0,چِینِ جَبِینْ
çin-i cebîn,xu3u4bu2bo1u4 xu1o4bu1u4bu2bo1o0,چِينِ جَبِينْ
çin-i,xu3ybo1u4,چینِ
çine,xu3ybo1h||,چینه‌
çinemek,xu3bu2bo1h mk,چينه مک
çinemek,xu3ybo1h mk,چینه مک
çingane,xu3bo1kebo1h||,چنکانه‌
çingene,xu3bo1kebo1h,چنکانه
çingene,xu3bo1kebo1h||,چنکانه‌
çingene,xu3bo1ko7ebo1h,چنگانه
çingene,xu3bo1ko7ebo1h||,چنگانه‌
çingeneler,xu3bo1ko7bo1h||lr,چنگنه‌لر
çingeneleri,xu3bo1ko7ebo1h||lry,چنگانه‌لری
çingeneleş,xu3bo1ko7ebo1h<>lso3,چنگانه‌لش
çingeneleşmek,xu3bo1ko7ebo1h<>lso3mk,چنگانه‌لشمک
çingeneleşmek,xu3bo1ko7ebo1h||lso3mk,چنگانه‌لشمک
çingenelik,xu3bo1ko7bo1h||lk,چنگنه‌لک
çingenelik,xu3bo1ko7ebo1h<>lk,چنگانه‌لک
çingenelik,xu3bo1ko7ebo1h||lk,چنگانه‌لک
çingeneliğe,xu3bo1ko7bo1h||lko7h,چنگنه‌لگه
çingâne,xu3bo1kebo1h,چنکانه
çini,xu3bu2bo1y,چينی
çini,xu3ybo1y,چینی
çinilemek,xu3bu2bo1bu2lmk,چينيلمک
çinilemek,xu3ybo1ylmk,چینیلمک
çinili,xu3ybo1yly,چینیلی
çinko,xu3ybo1fo2w,چینقو
çinkograf,xu3ybo1fo2wao1refo1,چینقوغراف
çinkoğrafi,xu3ybo1fo2wao1refo1y,چینقوغرافی
çinli,xu3ybo1ly,چینلی
çintil,xu3bo1bo2yl,چنتیل
çintilmek,xu3bo1bo2ylmk,چنتیلمک
çinî'nin,xu3ybo1y||bo1ko3,چینی‌نڭ
çinî,xu3ybo1y,چینی
çipo,xu3bu2bu3w,چيپو
çipo,xu3ybu3w,چیپو
çirağ,xu3reao1,چراغ
çiredest,xu3yrh dsbo2,چیره دست
çiriş ile yapıştırmak,xu3rbu2so3 ebu2lh bu2ebu3so3drmfo2,چريش ايله ياپشدرمق
çiriş ile yapıştırmak,xu3ryso3 eylh yebu3so3drmfo2,چریش ایله یاپشدرمق
çiriş,xu3rbu2so3,چريش
çiriş,xu3ryso3,چریش
çiriş,xu3yryso3,چیریش
çirişle,xu3yryso3lh<>,چیریشله‌
çirişlemek,xu3yryso3lh<>mk,چیریشله‌مک
çirişlemek,xu3yryso3lh||mk,چیریشله‌مک
çirişlen,xu3yryso3lh<>bo1,چیریشله‌ن
çirişlenmek,xu3yryso3lh<>bo1mk,چیریشله‌نمک
çirişlenmek,xu3yryso3lh||bo1mk,چیریشله‌نمک
çirişli,xu3yryso3ly,چیریشلی
çirk,xu3rk,چرک
çirkab,xu3rk eo6bu1,چرک آب
çirkef,xu3yrkfo1,چیرکف
çirkefinin,xu3rkfo1bo1ko3,چرکفنڭ
çirkin etmek,xu3rkbu2bo1 e,چرکين ا
çirkin etmek,xu3rkybo1 e,چرکین ا
çirkin olmak,xu3rkbu2bo1 ew,چرکين او
çirkin olmak,xu3rkybo1 ew,چرکین او
çirkin,xu1rkbu2bo1,جرکين
çirkin,xu1rkybo1,جرکین
çirkin,xu3rkbu2bo1,چرکين
çirkin,xu3rkybo1,چرکین
çirkin,xu3yrkybo1,چیرکین
çirkince,xu3rkbu2bo1xu1h,چرکينجه
çirkince,xu3rkybo1xu1h||,چرکینجه‌
çirkindi,xu3rkybo1dy,چرکیندی
çirkindir,xu3rkybo1dr,چرکیندر
çirkine,xu3rkybo1h,چرکینه
çirkini,xu3rkybo1y,چرکینی
çirkinin,xu3rkybo1ko3,چرکینڭ
çirkinle,xu3yrkybo1lh<>,چیرکینله‌
çirkinlemek,xu3yrkybo1lh<>mk,چیرکینله‌مک
çirkinlemek,xu3yrkybo1lh||mk,چیرکینله‌مک
çirkinlen,xu3yrkybo1lbo1,چیرکینلن
çirkinlenmek,xu3yrkybo1lbo1mk,چیرکینلنمک
çirkinlerdir,xu3rkybo1lrdr,چرکینلردر
çirkinleri,xu3rkybo1lry,چرکینلری
çirkinlerin,xu3rkybo1lrko3,چرکینلرڭ
çirkinlet,xu3yrkybo1lbo2,چیرکینلت
çirkinletmek,xu3yrkybo1lbo2mk,چیرکینلتمک
çirkinleş,xu3yrkybo1lso3,چیرکینلش
