
o aralık,ewl erelfo2,اول ارالق
otları,ewbo2lry,اوتلری
otların,ewbo2lrko3,اوتلرڭ
otlat,ewbo2lebo2,اوتلات
otlatmak,ewbo2lebo2mfo2,اوتلاتمق
otluk,ewbo2lfo2,اوتلق
otlâkıye,ewbo2lefo2bu2h,اوتلاقيه
oto,ewbo2w,اوتو
otobüs,ewbo2wbu1ws,اوتوبوس
otogar,ewbo2wko7er,اوتوگار
otokrasi,ewbo2wfo2resy,اوتوقراسی
otokrat,ewbo2wfo2rebo2,اوتوقرات
otomat,ewbo2wmebo2,اوتومات
otomatik,ewbo2wmebo2k,اوتوماتک
otomobil,ewbo2wmwbu1bu2l,اوتوموبيل
otomobil,ewbo2wmwbu1yl,اوتوموبیل
otomobilci,ewbo2wmwbu1ylxu1y,اوتوموبیلجی
otomobilde,ewbo2wmwbu1yldh,اوتوموبیلده
otomobildir,ewbo2wmwbu1yldr,اوتوموبیلدر
otomobile,ewbo2wmwbu1ylh,اوتوموبیله
otomobili,ewbo2wmwbu1yly,اوتوموبیلی
otomobilim,ewbo2wmwbu1ylm,اوتوموبیلم
otomobilimiz,ewbo2wmwbu1ylmro1,اوتوموبیلمز
otomobiline,ewbo2wmwbu1ylbo1h,اوتوموبیلنه
otomobiller,ewbo2wmwbu1yllr,اوتوموبیللر
otorite,ewbo2wrybo2h,اوتوریته
ottan,ewbo2dbo1,اوتدن
ottur,ewbo2dr,اوتدر
otu,ewbo2y,اوتی
otun,ewbo2ko3,اوتڭ
otur,ewbo2wr,اوتور
otur,ewtwr,اوطور
oturabilirdim,ewtwrh||bu1ylyrdm,اوطوره‌بیلیردم
oturacak yer,ewtwrh xu1fo2 bu2r,اوطوره جق ير
oturacak yer,ewtwrh xu1fo2 yr,اوطوره جق یر
oturak askeri,ewtwrefo2 askry,اوطوراق عسکری
oturak olmak,ewtwrefo2 ew,اوطوراق او
oturak,ewbo2wrefo2,اوتوراق
oturamaz,ewtwremero1,اوطوراماز
oturan,ewtwrebo1,اوطوران
oturanlar,ewtwrebo1lr,اوطورانلر
oturanları,ewtwrebo1lry,اوطورانلری
oturanların,ewtwrebo1lrko3,اوطورانلرڭ
oturdu,ewtwrdy,اوطوردی
oturdukları,ewtwrdfo2lry,اوطوردقلری
oturduklarını,ewtwrdfo2lrybo1y,اوطوردقلرینی
oturdular,ewtwrdylr,اوطوردیلر
oturdum,ewtwrdm,اوطوردم
oturdun,ewtwrdko3,اوطوردڭ
oturdunuz,ewtwrdyko3ro1,اوطوردیڭز
oturduğu,ewtwrdyao1y,اوطوردیغی
oturduğum,ewtwrdyao1m,اوطوردیغم
oturduğumuzu,ewtwrdyao1mro1y,اوطوردیغمزی
oturduğun,ewtwrdyao1ko3,اوطوردیغڭ
oturduğunu,ewtwrdyao1bo1y,اوطوردیغنی
oturma,ewtwrmh,اوطورمه
oturmak,ewbo2wrmfo2,اوتورمق
oturmak,ewtwrmfo2,اوطورمق
oturmakta,ewtwrmfo2dh,اوطورمقده
oturmaktadır,ewtwrmfo2dh||dr,اوطورمقده‌در
oturmaları,ewtwrmh||lry,اوطورمه‌لری
oturmasına,ewtwrmsbo1h,اوطورمسنه
oturmasını,ewtwrmesbo1y,اوطورماسنی
oturmaya,ewtwrmao1h,اوطورمغه
oturmazsa,ewtwrmro1sh,اوطورمزسه
oturmağa,ewtwrmao1h,اوطورمغه
oturmuş,ewtwrmso3,اوطورمش
oturmuşlar,ewtwrmso3lr,اوطورمشلر
oturmuştum,ewtwrmso3dm,اوطورمشدم
otursa,ewtwrsh,اوطورسه
otursun,ewtwrswbo1,اوطورسون
oturtan,ewtwrbo2ebo1,اوطورتان
oturtarak,ewtwrbo2h||rfo2,اوطورته‌رق
oturtma,ewbo2wrbo2mh,اوتورتمه
oturtma,ewbo2wrbo2mh||,اوتورتمه‌
oturtmak,ewtwrbo2mfo2,اوطورتمق
oturtturur,ewtwrbo2dyrr,اوطورتدیرر
oturtulmuş,ewtwrbo2wlmso3,اوطورتولمش
oturtulsa,ewtwrdwlsh,اوطوردولسه
oturtulur,ewtwrbo2wlwr,اوطورتولور
oturtup,ewtwrdwbu1,اوطوردوب
oturtur,ewtwrdwr,اوطوردور
oturtuyor,ewtwrdyywr,اوطوردییور
oturulduğunda,ewtwryldyao1bo1dh,اوطوریلدیغنده
oturulmayacak,ewtwrylmyh||xu1fo2,اوطوریلمیه‌جق
oturulur,ewtwrbu2lwr,اوطوريلور
oturulur,ewtwrylwr,اوطوریلور
oturup,ewtwrwbu1,اوطوروب
oturur,ewtwrwr,اوطورور
otururken,ewtwrwrkbo1,اوطورورکن
otururlar,ewtwrwrlr,اوطورورلر
oturuyor,ewtwrwywr,اوطورویور
oturuyordu,ewtwrwywrdy,اوطورویوردی
oturuyorduk,ewtwrwywrdfo2,اوطورویوردق
oturuyordum,ewtwrwywrdm,اوطورویوردم
oturuyorlar,ewtwrwywrlr,اوطورویورلر
oturuyorlarmış,ewtwrwywrlrmso3,اوطورویورلرمش
oturuyoruz,ewtwrwywrro1,اوطورویورز
otuz,ewbo2wro1,اوتوز
otuz-kırk,ewbo2wro1 fo2rfo2,اوتوز قرق
otuz-otuzbeş,ewbo2wro1 ewbo2wro1bu1so3,اوتوز اوتوزبش
otuza,ewbo2wro1h,اوتوزه
otuzaltı,ewbo2wro1 eo6lbo2y,اوتوز آلتی
otuzaltıyı,ewbo2wro1 eo6lbo2y||yy,اوتوز آلتی‌یی
otuzar,ewbo2wro1r,اوتوزر
otuzbeş,ewbo2wro1 bu1so3,اوتوز بش
otuzbeş-kırk,ewbo2wro1bu1so3 fo2rfo2,اوتوزبش قرق
otuzbeşinci,ewbo2wro1 bu1so3bo1xu1y,اوتوز بشنجی
otuzbin,ewbo2wro1 bu1yko3,اوتوز بیڭ
otuzbindir,ewbo2wro1 bu1yko3dr,اوتوز بیڭدر
otuzbine,ewbo2wro1 bu1yko3h,اوتوز بیڭه
otuzbinlere,ewbo2wro1 bu1yko3lrh,اوتوز بیڭلره
otuzbir,ewbo2wro1 bu1r,اوتوز بر
otuzbirde,ewbo2wro1 bu1rdh,اوتوز برده
otuzbirinci,ewbo2wro1 bu1rbo1xu1y,اوتوز برنجی
otuzbirincide,ewbo2wro1 bu1rbo1xu1ydh,اوتوز برنجیده
otuzdan,ewbo2wro1dbo1,اوتوزدن
otuzdokuz,ewbo2wro1 twfo2wro1,اوتوز طوقوز
otuzdokuzda,ewbo2wro1 twfo2wro1dh,اوتوز طوقوزده
otuzdokuzu,ewbo2wro1 twfo2wro1y,اوتوز طوقوزی
otuzdur,ewbo2wro1dr,اوتوزدر
otuzdört,ewbo2wro1 drbo2,اوتوز درت
otuzdörtte,ewbo2wro1 drbo2dh,اوتوز درتده
otuziki'de,ewbo2wro1 eykydh,اوتوز ایکیده
otuziki,ewbo2wro1 eyky,اوتوز ایکی
otuzikide,ewbo2wro1 eykydh,اوتوز ایکیده
otuzikinci'nin,ewbo2wro1 eykbo1xu1ybo1ko3,اوتوز ایکنجینڭ
otuzikinci,ewbo2wro1 eykbo1xu1y,اوتوز ایکنجی
otuzikiyi,ewbo2wro1 eyky||yy,اوتوز ایکی‌یی
otuzsekiz,ewbo2wro1 skro1,اوتوز سکز
otuzu,ebo2wro1y,اتوزی
otuzuncu,ewbo2wro1bo1xu1y,اوتوزنجی
otuzyedi,ewbo2wro1 ydy,اوتوز یدی
otuzüç,ewbo2wro1 ewxu3,اوتوز اوچ
otuzüçe,ewbo2wro1 ewxu3h,اوتوز اوچه
otuzüçer,ewbo2wro1 ewxu3r,اوتوز اوچر
otuzüçte,ewbo2wro1 yo5wxu3dh,اوتوز ئوچده
otuzüçüncü'nün,ewbo2wro1 ewxu3bo1xu1ybo1ko3,اوتوز اوچنجینڭ
otuzüçüncü,ewbo2wro1 ewxu3bo1xu1y,اوتوز اوچنجی
ov,ewao1,اوغ
ov,eww,اوو
ova,ewwe,اووا
ova,ewwh,اووه
ova,ewwh||,اووه‌
ovacık,ewwexu1fo2,اوواجق
ovada,ewwedh,اوواده
ovala,ewao1ele,اوغالا
ovala,ewwele,اووالا
ovalamak,ewao1elemfo2,اوغالامق
ovalamak,ewao1elmfo2,اوغالمق
ovalamak,ewwelemfo2,اووالامق
ovalar,ewwelr,اووالر
ovalara,ewwelrh,اووالره
ovaları,ewwelry,اووالری
ovalayış,ewao1elebu2so3,اوغالايش
ovalayış,ewao1eleyso3,اوغالایش
ovasının,ewwesbo1ko3,اوواسنڭ
ovaya,ewweyh,اووایه
ovmak,ewao1mfo2,اوغمق
ovmak,ewwmfo2,اوومق
ovuştur,ewao1wso3dwr,اوغوشدور
ovuşturmak,ewao1wso3dwrmfo2,اوغوشدورمق
oy,ewy,اوی
oya etmek,ewbu2h e,اويه ا
oya etmek,ewyh e,اویه ا
oya,ewbu2e,اويا
oya,ewye,اویا
oyala,ewyele,اویالا
oyalamak,ewbu2elemfo2,اويالامق
oyalamak,ewyelemfo2,اویالامق
oyalan,ewyelebo1,اویالان
oyalandır,ewyelebo1dyr,اویالاندیر
oyalandırmak,ewbu2elebo1dbu2rmfo2,اويالانديرمق
oyalandırmak,ewyelebo1dyrmfo2,اویالاندیرمق
oyalanmak,ewbu2elebo1mfo2,اويالانمق
oyalanmak,ewyelebo1mfo2,اویالانمق
oyalayıp,ewyeleywbu1,اویالایوب
oylum,ewbu2lwm,اويلوم
oylum,ewylwm,اویلوم
oyma açmak,ewbu2mh exu3mfo2,اويمه اچمق
oyma açmak,ewymh exu3mfo2,اویمه اچمق
oyma,ewbu2mexu1y,اويماجی
oyma,ewbu2mh,اويمه
oyma,ewymexu1y,اویماجی
oyma,ewymh||,اویمه‌
oymacı,ewbu2mebo1,اويمان
oymacı,ewbu2mh xu1y,اويمه جی
oymacı,ewymebo1,اویمان
oymacı,ewymh xu1y,اویمه جی
oymak,ewbu2mfo2,اويمق
oymak,ewymfo2,اویمق
oyna,ewybo1e,اوینا
oynadı,ewybo1edy,اوینادی
oynadıkları,ewybo1edfo2lry,اوینادقلری
oynadılar,ewybo1edylr,اوینادیلر
oynadığı,ewybo1edyao1y,اوینادیغی
oynak yeri,ewbu2bo1efo2 bu2ry,اويناق يری
oynak yeri,ewybo1efo2 yry,اویناق یری
oynak,ewbu2bo1efo2,اويناق
oynak,ewybo1efo2,اویناق
oynama,ewybo1emh,اوینامه
oynamak,ewbu2bo1emfo2,اوينامق
oynamak,ewybo1emfo2,اوینامق
oynaması,ewybo1emsy,اوینامسی
oynamasına,ewybo1emesbo1h,اویناماسنه
oynamasını men etmek,ewbu2bo1emsbo1y mbo1a e,اوينامسنی منع ا
oynamasını men etmek,ewybo1emsbo1y mbo1a e,اوینامسنی منع ا
oynamasını,ewybo1emesbo1y,اویناماسنی
oynamaya,ewybo1emao1h,اوینامغه
oynamışlar,ewybo1emso3lr,اوینامشلر
oynanılmaz,ewybo1ebo1ylmero1,اوینانیلماز
oynanılmış,ewybo1ebo1ylmso3,اوینانیلمش
oynanılıyor,ewybo1ebo1ylyywr,اوینانیلییور
oynar,ewbu2bo1er,اوينار
oynar,ewybo1er,اوینار
oynat,ewybo1ebo2,اوینات
oynatmak,ewbu2bo1ebo2mfo2,اويناتمق
oynatmak,ewybo1ebo2mfo2,اویناتمق
oynatmalarına,ewybo1ebo2mh||lrybo1h,اویناتمه‌لرینه
oynattıran,ewybo1ebo2dyrebo1,اویناتدیران
oynattırıyorlar,ewybo1ebo2dyryywrlr,اویناتدیرییورلر
oynattığını,ewybo1ebo2dyao1bo1y,اویناتدیغنی
oynatırım,ewybo1ebo2yrm,اویناتیرم
oynayabilir,ewybo1eyh||bu1ylyr,اوینایه‌بیلیر
oynayacak,ewybo1eyexu1fo2,اوینایاجق
oynayalım,ewybo1eyelm,اوینایالم
oynayamaz,ewybo1eyh||mero1,اوینایه‌ماز
oynayan,ewybo1eyebo1,اوینایان
oynayıp,ewybo1eywbu1,اوینایوب
oynaş,ewbu2bo1eso3,اويناش
oynaş,ewybo1eso3,اویناش
oynaşmak,ewbu2bo1eso3mfo2,اويناشمق
oynaşmak,ewbu2bo1fo2so3mfo2,اوينقشمق
oynaşmak,ewybo1eso3mfo2,اویناشمق
oynaşmak,ewybo1fo2so3mfo2,اوینقشمق
oynuyor,ewbu2bo1bu2wr,اوينيور
oynuyor,ewybo1eywr,اوینایور
oynuyor,ewybo1ywr,اوینیور
oynuyordu,ewybo1eywrdy,اوینایوردی
oynuyorlar,ewybo1eywrlr,اوینایورلر
oynuyoruz,ewybo1yywrro1,اوینییورز
oyuk,eo5wbu2wfo2,أويوق
oyuk,eo5wywfo2,أویوق
oyuk,ewbu2wfo2,اويوق
oyuk,ewywfo2,اویوق
oyulmuş,ewywlmso3,اویولمش
oyun etmek,ewbu2wbo1 e,اويون ا
oyun etmek,ewywbo1 e,اویون ا
oyun çıkarmak,ewbu2wbo1 xu3bu2fo2ermfo2,اويون چيقارمق
oyun çıkarmak,ewywbo1 xu3yfo2ermfo2,اویون چیقارمق
oyun,ewbu2wbo1,اويون
oyun,ewywbo1,اویون
oyunbaz,ewbu2wbo1bu1ero1,اويونباز
oyunbaz,ewywbo1bu1ero1,اویونباز
oyunbozan,ewbu2wbo1 bu1wro1ebo1,اويون بوزان
oyunbozan,ewywbo1 bu1wro1ebo1,اویون بوزان
oyunbozanlık,ewbu2wbo1 bu1wro1ebo1lfo2,اويون بوزانلق
oyunbozanlık,ewywbo1 bu1wro1ebo1lfo2,اویون بوزانلق
oyuncak,ewbu2wbo1xu1efo2,اويونجاق
oyuncak,ewbu2wbo1xu1fo2,اويونجق
oyuncak,ewywbo1xu1efo2,اویونجاق
oyuncak,ewywbo1xu1fo2,اویونجق
oyuncaklar,ewywbo1xu1fo2lr,اویونجقلر
oyuncaklara,ewywbo1xu1fo2lrh,اویونجقلره
oyuncakları,ewywbo1xu1fo2lry,اویونجقلری
oyuncakların,ewywbo1xu1fo2lrko3,اویونجقلرڭ
oyuncaklarına,ewywbo1xu1fo2lrybo1h,اویونجقلرینه
oyuncaklarıyla,ewywbo1xu1fo2lrylh,اویونجقلریله
oyuncaklığından,ewywbo1xu1fo2lao1bo1dbo1,اویونجقلغندن
oyuncağı,ewywbo1xu1ao1y,اویونجغی
oyuncağını,ewywbo1xu1ao1bo1y,اویونجغنی
oyuncu kadın,ewbu2wbo1xu1y fo2ery,اويونجی قاری
oyuncu kadın,ewywbo1xu1y fo2ery,اویونجی قاری
oyuncu,ewbu2wbo1xu1y,اويونجی
oyuncu,ewywbo1xu1y,اویونجی
oyuncuların yeri,ewbu2wxu1bu2lrk bu2ry,اويوجيلرک يری
oyuncuların yeri,ewywxu1ylrk yry,اویوجیلرک یری
oyunları,ewywbo1lry,اویونلری
oyunlarına,ewywbo1lrybo1h,اویونلرینه
oyunlarıyla,ewywbo1lrylh,اویونلریله
oyununa,ewywbo1bo1h,اویوننه
oğ,ewao1,اوغ
oğala,ewao1ele,اوغالا
oğalamak,ewao1elemfo2,اوغالامق
oğan,ewao1ebo1,اوغان
oğdu,ewao1dy,اوغدی
oğlak,ewao1lefo2,اوغلاق
oğlaktan,ewao1lefo2dbo1,اوغلاقدن
oğlan,ewao1lebo1,اوغلان
oğlağın,ewao1leao1ko3,اوغلاغڭ
oğlağından,ewao1leao1bo1dbo1,اوغلاغندن
oğlu,ewao1ly,اوغلی
oğlum,ewao1lm,اوغلم
oğlumu,ewao1lmy,اوغلمی
oğlun,ewao1lko3,اوغلڭ
oğluna,ewao1lbo1h,اوغلنه
oğlundan,ewao1lbo1dbo1,اوغلندن
oğlunu,ewao1lbo1y,اوغلنی
oğlunun,ewao1lbo1ko3,اوغلنڭ
oğlunuz,ewao1lko3ro1,اوغلڭز
oğlunuza,ewao1lko3ro1h,اوغلڭزه
oğlunuzu,ewao1lko3ro1y,اوغلڭزی
oğlunuzun,ewao1lko3ro1ko3,اوغلڭزڭ
oğluyla,ewao1lylh,اوغلیله
oğluyum,ewao1ly||ym,اوغلی‌یم
oğmak,ewao1mfo2,اوغمق
oğri,ewao1ry,اوغری
oğul,ewao1l,اوغل
oğulda,ewao1ldh,اوغلده
oğulları,ewao1llry,اوغللری
oğullarıdır,ewao1llrydr,اوغللریدر
oğullarından,ewao1llrbo1dbo1,اوغللرندن
oğullarının,ewao1llrybo1ko3,اوغللرینڭ
oğullarıyla,ewao1llrylh,اوغللریله
oğulluğundan,ewao1llao1bo1dbo1,اوغللغندن
oğuştur,ewao1wso3dwr,اوغوشدور
oğuşturabilse,ewao1wso3dyrebu1ylsh,اوغوشدیرابیلسه
oğuşturmak,ewao1wso3dwrmfo2,اوغوشدورمق
oşt,ewso3bo2,اوشت
