
v,w,و
vedaname,wdeabo1emh||,وداعنامه‌
vedanameleri,wdeabo1emh||lry,وداعنامه‌لری
vedaya,wdeah,وداعه
vedayi',wdeya,ودایع
vedayi’,wdeya,ودایع
vedduha'sısın,w elzo1o8xy sysko3,و الضّحی سیسڭ
vedia,wdbu2ah,وديعه
vedia,wdyah,ودیعه
vedia,wdyah||,ودیعه‌
vedia,wo4dyao4h||,وَدیعَه‌
vedialarına,wdyah||lrybo1h,ودیعه‌لرینه
vediatullah,wdyaho2 eellh,ودیعة االله
vedi̇a,wo4dyao4h||,وَدیعَه‌
vedud'a,wdwdh,ودوده
vedud'dur,wdwddr,ودوددر
vedud'un,wdwdko3,ودودڭ
vedud,wdwd,ودود
vedud,wo4do9wdo0,وَدُودْ
vedudiyet,wdwdybo2,ودودیت
vedudiyetin,wdwdybo2ko3,ودودیتڭ
vedâ,wdea,وداع
vedâ-i,wdeau4,وداعِ
vedâlaşmak,wdealeso3mfo2,وداعلاشمق
vedânâme,wdeabo1emh,وداعنامه
vedâyi',wdeya,ودایع
vedîa,wdyah,ودیعه
vedîa,wo4dbu2ao4h,وَديعَه
vedîan,wdyah||ko3,ودیعه‌ڭ
vedîatullah,wdyaho2 eellh,ودیعة االله
vedûd,wo4do9wdo0,وَدُودْ
vefa,wfo1e,وفا
vefa-ender,wfo1e eo5bo1dr,وفا أندر
vefa-i,wfo1ecu4,وفاءِ
vefadar,wfo1eder,وفادار
vefadarane,wfo1ederebo1h,وفادارانه
vefadarlığı,wfo1ederlao1y,وفادارلغی
vefadarın,wfo1ederko3,وفادارڭ
vefadâr,wfo1eder,وفادار
vefakar,wfo1eker,وفاکار
vefakâr,wfo1eker,وفاکار
vefakârane,wfo1ekerebo1h,وفاکارانه
vefaları,wfo1elry,وفالری
vefasız,wfo1esro1,وفاسز
vefasızların,wfo1esro1lrko3,وفاسزلرڭ
vefasızlık,wfo1esro1lfo2,وفاسزلق
vefat etmek,wfo1ebo2 e,وفات ا
vefat,wfo1ebo2,وفات
vefat-ı,wfo1ebo2u4,وفاتِ
vefatiyle,wfo1ebo2ylh,وفاتیله
vefatla,wfo1ebo2lh,وفاتله
vefatlar,wfo1ebo2lr,وفاتلر
vefatlara,wfo1ebo2lrh,وفاتلره
vefatları,wfo1ebo2lry,وفاتلری
vefatlarında,wfo1ebo2lrbo1dh,وفاتلرنده
vefatlarından,wfo1ebo2lrbo1dbo1,وفاتلرندن
vefatlarını,wfo1ebo2lrybo1y,وفاتلرینی
vefatlarının,wfo1ebo2lrybo1ko3,وفاتلرینڭ
vefatlarıyla,wfo1ebo2lrylh,وفاتلریله
vefattan,wfo1ebo2dbo1,وفاتدن
vefattır,wfo1ebo2dr,وفاتدر
vefatı,wfo1ebo2y,وفاتی
vefatım,wfo1ebo2m,وفاتم
vefatıma,wfo1ebo2mh,وفاتمه
vefatımdan,wfo1ebo2mdbo1,وفاتمدن
vefatımla,wfo1ebo2mlh,وفاتمله
vefatımı,wfo1ebo2my,وفاتمی
vefatın,wfo1ebo2ko3,وفاتڭ
vefatına,wfo1ebo2bo1h,وفاتنه
vefatından,wfo1ebo2bo1dbo1,وفاتندن
vefatını,wfo1ebo2bo1y,وفاتنی
vefatının,wfo1ebo2bo1ko3,وفاتنڭ
vefatıyla,wfo1ebo2ylh,وفاتیله
vefeyat,wfo1yebo2,وفیات
vefeyât,wfo1bu2ebo2,وفيات
veffakakellah,wfo1o8fo2k eellh,وفّقک االله
veffakakümullah,wo4fo1o8o4fo2o4ko9mo9 eellh,وَفَّقَکُمُ االله
veffakakümüllah,wo4fo1o8o4fo2o4ko9mo9 eellh,وَفَّقَکُمُ االله
veffekakümüllah,wo4fo1o8o4fo2o4ko9mo9 eellh,وَفَّقَکُمُ االله
vefiy,wfo1y,وفی
vefiyat,wfo1yebo2,وفیات
vefiyat-ı,wfo1yebo2u4,وفیاتِ
vefiyatlar,wfo1yebo2lr,وفیاتلر
vefiyatları,wfo1yebo2lry,وفیاتلری
vefiyatların,wfo1yebo2lrko3,وفیاتلرڭ
vefiyatlarına,wfo1yebo2lrybo1h,وفیاتلرینه
vefiyattan,wfo1yebo2dbo1,وفیاتدن
vefiyatça,wfo1yebo2xu1h,وفیاتجه
vefiyât-ı,wfo1yebo2u4,وفیاتِ
vefk,wfo1fo2,وفق
vefk-i,wo4fo1fo2u4,وَفقِ
vefke,wfo1fo2h,وفقه
vefklerde,wfo1fo2lrdh,وفقلرده
vefret,wfo1rbo2,وفرت
vefâ,wfo1e,وفا
vefâdar,wfo1eder,وفادار
vefâdarâne,wfo1ederebo1h,وفادارانه
vefâdâr,wfo1eder,وفادار
vefâkâr,wfo1eker,وفاکار
vefât etmek,wfo1ebo2 e,وفات ا
vefât,wfo1ebo2,وفات
vefîre,wfo1yrh,وفیره
vegayrühü,wao1bu2rh,وغيره
vegayrühü,wao1yrh||,وغیره‌
vegayrühüm,wao1bu2rhm,وغيرهم
vegayrühüm,wao1yrhm,وغیرهم
veh,wh,وه
veh,wh||,وه‌
vehametli,wxo1embo2lw,وخامتلو
vehb,whbu1,وهب
vehbi'nin,whbu1y||bo1ko3,وهبی‌نڭ
vehbi,whbu1y,وهبی
vehbi,wo4ho0bu1y,وَهْبی
vehbi̇,wo4ho0bu1y,وَهْبی
vehbî,whbu1y,وهبی
vehbî,wo4ho0bu1bu2,وَهْبي
vehbîdir,whbu1ydr,وهبیدر
vehelümmecerra,w hlm xu1ry,و هلم جری
vehelümmecerrâ,w hlm xu1ry,و هلم جری
vehhab,whebu1,وهاب
vehhab,who8ebu1,وهّاب
vehhab,wo4ho4o8ebu1o0,وَهَّابْ
vehhab-ül,who8ebu1 el,وهّاب ال
vehhab-ı,who8ebu1u4,وهّابِ
vehhabi,whebu1y,وهابی
vehhabiyet,who8ebu1ybo2,وهّابیت
vehhabiyyet,whebu1ybo2,وهابیت
vehhabiyyun,whebu1ywbo1,وهابیون
vehhabî'nin,who8ebu1ybo1ko3,وهّابینڭ
vehhabî,who8ebu1y,وهّابی
vehhabîler,who8ebu1ylr,وهّابیلر
vehhabîlerde,who8ebu1ylrdh,وهّابیلرده
vehhabîleri,who8ebu1ylry,وهّابیلری
vehhabîlerin,who8ebu1ylrko3,وهّابیلرڭ
vehhabîlik,who8ebu1ylk,وهّابیلک
vehhabîlikte,who8ebu1ylkdh,وهّابیلکده
vehhac,who8exu1,وهّاج
vehhacdır,who8exu1dr,وهّاجدر
vehham,who8em,وهّام
vehhamane,who8emebo1h,وهّامانه
vehhamlar,who8emlr,وهّاملر
vehhamların,who8emlrko3,وهّاملرڭ
vehhamlık,who8emlfo2,وهّاملق
vehhamlıları,who8emlylry,وهّاملیلری
vehhamı,who8emy,وهّامی
vehhâb,whebu1,وهاب
vehhâb,wo4ho4o8ebu1o0,وَهَّابْ
vehhâbiyyet,whebu1bu2bo2,وهابيت
vehhâbiyyûn,whebu1bu2wbo1,وهابيون
vehim,whm,وهم
vehim,wo4hu4mo0,وَهِمْ
vehim-âlûd,whm||eo6lwd,وهم‌آلود
vehimden,whmdbo1,وهمدن
vehimdir,whmdr,وهمدر
vehimle,whmlh,وهمله
vehimler,whmlr,وهملر
vehimlerden,whmlrdbo1,وهملردن
vehimlerdir,whmlrdr,وهملردر
vehimlere,whmlrh,وهملره
vehimleri,whmlry,وهملری
vehimlerin,whmlrko3,وهملرڭ
vehimlerine,whmlrybo1h,وهملرینه
vehimlerini,whmlrybo1y,وهملرینی
vehimlerinin,whmlrybo1ko3,وهملرینڭ
vehimli,whmly,وهملی
vehi̇m,whm,وهم
vehi̇m,wo4hu4mo0,وَهِمْ
vehle,whlh,وهله
vehle,whlh||,وهله‌
vehle-i ulada,whlhc ewledh||,وهلهء اولاده‌
vehle-i ûlâda,whlhc ewledh,وهلهء اولاده
vehleten,whlho2,وهلة
vehleten,whlho2o44,وهلةً
vehm,whm,وهم
vehm-i,whmu4,وهمِ
vehm-âlûd,whm||eo6lwd,وهم‌آلود
vehme,whmh,وهمه
vehmen,whmo44e,وهمًا
vehmetmek,whm eybo2mk,وهم ایتمک
vehmettiği,whm eybo2dyko7y,وهم ایتدیگی
vehmeyledi,whm eo5yldy,وهم أیلدی
vehmi,whmy,وهمی
vehmi,wo4ho0my,وَهْمی
vehmidir,whmydr,وهمیدر
vehmim,whmm,وهمم
vehmin,whmko3,وهمڭ
vehmine,whmko3h,وهمڭه
vehmini,whmko3y,وهمڭی
vehminin,whmko3ko3,وهمڭڭ
vehminiz,whmko3ro1,وهمڭز
vehminizde,whmko3ro1dh,وهمڭزده
vehminizdir,whmko3ro1dr,وهمڭزدر
vehminizi,whmko3ro1y,وهمڭزی
vehmiyat,whmyebo2,وهمیات
vehmiye,whmyh,وهمیه
vehmiyedir,whmyh||dr,وهمیه‌در
vehmiyedirler,whmyh||drlr,وهمیه‌درلر
vehmiyle,whmylh,وهمیله
vehmiyât,whmbu2ebo2,وهميات
vehmi̇,wo4ho0my,وَهْمی
vehmnak,whmbo1ek,وهمناک
vehmnâk,whmbo1ek,وهمناک
vehmî,whmy,وهمی
vehmî,wo4ho0mbu2,وَهْمي
vehmîden,whmydbo1,وهمیدن
vehmîdir,whmydr,وهمیدر
vehmîlikten,whmylkdbo1,وهمیلکدن
vehmînin,whmybo1ko3,وهمینڭ
vehmîyi,whmy||yy,وهمی‌یی
vehâmetli,wxo1embo2lw,وخامتلو
veilla,wele,والا
veillâ,wele,والا
vekahat,wfo2exbo2,وقاحت
vekahete,wfo2exbo2h,وقاحته
vekalet,wkelbo2,وکالت
vekaleten,wkelho2,وکالة
vekaleten,wkelho2o44,وکالةً
vekaleti'ne,wkelbo2bo1h,وکالتنه
vekaleti'nin,wkelbo2bo1ko3,وکالتنڭ
vekaleti,wkelbo2y,وکالتی
vekaletime,wkelbo2mh,وکالتمه
vekaletinde,wkelbo2bo1dh,وکالتنده
vekaletinden,wkelbo2bo1dbo1,وکالتندن
vekaletine,wkelbo2bo1h,وکالتنه
vekaletini,wkelbo2bo1y,وکالتنی
vekaletlere,wkelbo2lrh,وکالتلره
vekaletname,wkelbo2 bo1emh||,وکالت نامه‌
vekaletname,wkelbo2bo1emh,وکالتنامه
vekaletname,wkelbo2bo1emh||,وکالتنامه‌
vekaletpenah,wkelbo2 bu3bo1eh||,وکالت پناه‌
vekar,wfo2er,وقار
vekarlı,wfo2erly,وقارلی
vekarsız,wfo2ersro1,وقارسز
vekayi',wfo2eya,وقایع
vekayi'de,wfo2eyadh,وقایعده
vekayi-i,wfo2eyau4,وقایعِ
vekayiine,wfo2eyabo1h,وقایعنه
vekayi’,wfo2eya,وقایع
vekil etmek,wkyl e,وکیل ا
vekil,wkbu2l,وکيل
vekil,wkl,وکل
vekil,wkyl,وکیل
vekil-i,wkylu4,وکیلِ
vekile'den,wkylh||dbo1,وکیله‌دن
vekile'nin,wkylh||bo1ko3,وکیله‌نڭ
vekile'ye,wkylh||yh,وکیله‌یه
vekile,wkylh,وکیله
vekilece,wkylh||xu1h,وکیله‌جه
vekileye,wkylh||yh,وکیله‌یه
vekileyi,wkylh||yy,وکیله‌یی
vekilharçlıktan,wkyl xo1rxu1lfo2dbo1,وکیل خرجلقدن
vekili olmak,wkyly ew,وکیلی او
vekili'ne,wkylbo1h,وکیلنه
vekili'ni,wkylbo1y,وکیلنی
vekili'nin,wkylbo1ko3,وکیلنڭ
vekili,wkyly,وکیلی
vekilidir,wkylydr,وکیلیدر
vekilim,wkylm,وکیلم
vekilimdirler,wkylmdrlr,وکیلمدرلر
vekilimiz,wkylmro1,وکیلمز
vekilimizdir,wkylmro1dr,وکیلمزدر
vekilimize,wkylmro1h,وکیلمزه
vekilimizin,wkylmro1ko3,وکیلمزڭ
vekilin,wkylko3,وکیلڭ
vekiline,wkylbo1h,وکیلنه
vekilini,wkylbo1y,وکیلنی
vekilinin,wkylbo1ko3,وکیلنڭ
vekilinize,wkylko3ro1h,وکیلڭزه
vekilinizle,wkylko3ro1lh,وکیلڭزله
vekiliyle,wkylylh,وکیلیله
vekiller,wkbu2llr,وکيللر
vekiller,wkyllr,وکیللر
vekilleri,wkyllry,وکیللری
vekillerim,wkyllrm,وکیللرم
vekillerimizin,wkyllrymro1ko3,وکیللریمزڭ
vekillerin,wkyllrko3,وکیللرڭ
vekillerinden,wkyllrbo1dbo1,وکیللرندن
vekillik,wkbu2llk,وکيللک
vekillik,wkyllk,وکیللک
vekilliğine,wkyllko7bo1h,وکیللگنه
vekâhat,wfo2exbo2,وقاحت
vekâlet,wkelbo2,وکالت
vekâleten,wkelho2,وکالة
vekâleten,wkelho2o44,وکالةً
vekâletnâme,wkelbo2 bo1emh,وکالت نامه
vekâletnâme,wkelbo2bo1emh,وکالتنامه
vekâletpenâh,wkelbo2 bu3bo1eh,وکالت پناه
vekâyi',wfo2eya,وقایع
vekîl etmek,wkbu2l e,وکيل ا
vekîl,wkbu2l,وکيل
vekîli olmak,wkbu2ly ew,وکيلی او
vekıs'alahaza,wfo2s aly hdo1e,وقس علی هذا
vekıs'alâhâzâ,wfo2s aly hdo1e,وقس علی هذا
vekıs’alahaza,wfo2s aly hdo1e,وقس علی هذا
vel'ayn,welaybo1,والعین
vel'azm,w elaro1m,و العزم
vel'ikram'a,weleu5kremh,والإکرامه
vel'ikram'ın,weleu5kremko3,والإکرامڭ
vel'ikram,weleu5krem,والإکرام
vel'ilmu,wo4 elo0au4lo0mo9,وَ الْعِلْمُ
vel'ilmü,wo4elo0au4lo0mo9,وَالْعِلْمُ
vel'irade,w eleu5redh,و الإراده
vel'irşad,w eleu5rso3ed,و الإرشاد
vel,wel,وال
vel-arz,welerzo1,والارض
vel-ba'sü,welbu1abo3,والبعث
vel-cemali,welxu1melu4,والجمالِ
vel-husuf,welxo1swfo1,والخسوف
vel-ikram'ın,weleu5kremko3,والإکرامڭ
vel-ikram,weleu5krem,والإکرام
vel-kamer,w elfo2mr,و القمر
vel-kur'ansın,welfo2reo6bo1sko3,والقرآنسڭ
vel-yevm-il-âhir,welywm eleo6xo1r,والیوم الآخر
vel-âmâl,weleo6mel,والآمال
veladet,wledbo2,ولادت
veladet,wo4lo4edo4bo2o0,وَلَادَتْ
veladet-i ahmediye,wo4lo4edo4bo2u4 eo4xo0mo4du4yo4h||,وَلَادَتِ اَحْمَدِیَه‌
veladet-i,wledbo2u4,ولادتِ
veladet-i̇ ahmedi̇ye,wo4lo4edo4bo2u4 eo4xo0mo4du4yo4h||,وَلَادَتِ اَحْمَدِیَه‌
veladete,wledbo2h,ولادته
veladeti,wledbo2y,ولادتی
veladetidir,wledbo2ydr,ولادتیدر
veladetine,wledbo2bo1h,ولادتنه
veladetini,wledbo2bo1y,ولادتنی
veladetinin,wledbo2bo1ko3,ولادتنڭ
veladetiyle,wledbo2ylh,ولادتیله
velakin,wlkbo1,ولکن
velayatın,wleyebo2ko3,ولایاتڭ
velayet'in,wleybo2ko3,ولایتڭ
velayet,wleybo2,ولایت
velayet,wo4lo4eyo4bo2o0,وَلَایَتْ
velayet-i ahmediye,wo4lo4eyo4bo2u4 eo4xo0mo4du4yo4h||,وَلَایَتِ اَحْمَدِیَه‌
velayet-i kübra,wo4lo4eyo4bo2u4  ko9bu1o0ro4e,وَلَایَتِ  کُبْرَا
velayet-i,wleybo2u4,ولایتِ
velayet-i̇ ahmedi̇ye,wo4lo4eyo4bo2u4 eo4xo0mo4du4yo4h||,وَلَایَتِ اَحْمَدِیَه‌
velayet-i̇ kübra,wo4lo4eyo4bo2u4  ko9bu1o0ro4e,وَلَایَتِ  کُبْرَا
velayete,wleybo2h,ولایته
velayeti,wleybo2y,ولایتی
velayetidir,wleybo2ydr,ولایتیدر
velayetin,wleybo2ko3,ولایتڭ
velayetine,wleybo2bo1h,ولایتنه
velayetini,wleybo2bo1y,ولایتنی
velayetinin,wleybo2bo1ko3,ولایتنڭ
velayetiyle,wleybo2ylh,ولایتیله
velayetle,wleybo2lh,ولایتله
velayetlerden,wleybo2lrdbo1,ولایتلردن
velayetlerin,wleybo2lrko3,ولایتلرڭ
velayetlerini,wleybo2lrybo1y,ولایتلرینی
velayette,wleybo2dh,ولایتده
velayetteki,wleybo2dh||ky,ولایتده‌کی
velayetten,wleybo2dbo1,ولایتدن
velayettir,wleybo2dr,ولایتدر
velayettirler,wleybo2drlr,ولایتدرلر
velayetçe,wleybo2xu1h,ولایتجه
velcemaat'in,welxu1meabo2ko3,والجماعتڭ
velcemaat'ın,welxu1meabo2ko3,والجماعتڭ
velcemaat,welxu1meabo2,والجماعت
velcemal,welxu1mel,والجمال
veled,wld,ولد
veled,wo4lo4do0,وَلَدْ
veled-i,wldu4,ولدِ
veledden,wlddbo1,ولددن
velede,wldh,ولده
veledi,wldy,ولدی
veledidir,wldydr,ولدیدر
veledim,wldm,ولدم
veledimdir,wldmdr,ولدمدر
veledin,wldko3,ولدڭ
veledinde,wldbo1dh,ولدنده
veledini,wldybo1y,ولدینی
veledinin,wldybo1ko3,ولدینڭ
velediyet,wldybo2,ولدیت
velediyet,wo4lo4du4bu2o4bo2o0,وَلَدِيَتْ
velediyet,wo4lo4du4yo4bo2o0,وَلَدِیَتْ
velediyetini,wldybo2bo1y,ولدیتنی
veledi̇yet,wo4lo4du4yo4bo2o0,وَلَدِیَتْ
veledlerine,wldlrybo1h,ولدلرینه
veledliğin,wldlko7ko3,ولدلگڭ
veledperverlik,wldbu3rwrlk,ولدپرورلک
veledsiz,wldsro1,ولدسز
veleh gelmek,wlh klmk,وله کلمک
veleh,wlh,وله
veleh,wlh||,وله‌
veleh-resan-ı,wo4lo4ho0||ro4so4ebo1u4,وَلَهْ‌رَسَانِ
velev,wlw,ولو
velev,wo4lo4wo0,وَلَوْ
velhamd,w elxmd,و الحمد
velhamdülillah,w elxmd u4ellh,و الحمد ِالله
velhamdülillahi,w elxmd u4ellhu4,و الحمد ِاللهِ
velhamdülillâh,w elxmd u4ellh,و الحمد ِالله
velhasıl,welxezl,والحاصل
velhâsıl,welxezl,والحاصل
velhükmü,welxkm,والحکم
veli nimet,wly bo1ambo2,ولی نعمت
veli nimetimiz efendimiz,wly mambo2ro1efo1bo1dymro1,ولی معمتزافندیمز
veli'nin,wly||bo1ko3,ولی‌نڭ
veli'ye,wly||yh,ولی‌یه
veli,wly,ولی
veli-i,wlyo5u4,ولئِ
veli-ni'metine,wly bo1ambo2bo1h,ولی نعمتنه
veliahd,wly ahd,ولی عهد
veliahd,wlyahd,ولیعهد
veliahdine,wly ahdybo1h,ولی عهدینه
velid'e,wlydh,ولیده
velid'in,wlydko3,ولیدڭ
velid,wlyd,ولید
veliden,wlydbo1,ولیدن
velidir,wlydr,ولیدر
velik,wlyk,ولیک
velikin,wlykbo1,ولیکن
veliler,wlylr,ولیلر
velilerden,wlylrdbo1,ولیلردن
velilere,wlylrh,ولیلره
velilerin,wlylrko3,ولیلرڭ
velilerinden,wlylrbo1dbo1,ولیلرندن
velilerini,wlylrybo1y,ولیلرینی
velilik,wlbu2lk,وليلک
velilik,wlylk,ولیلک
veliliği,wlylko7y,ولیلگی
velime,wlymh||,ولیمه‌
velini'met,wo4ly bo1u4ao0mo4bo2o0,وَلی نِعْمَتْ
velinimet,wly bo1ambo2,ولی نعمت
velinimetimsin,wly bo1ambo2msko3,ولی نعمتمسڭ
velinimetine,wly bo1ambo2bo1h,ولی نعمتنه
velinin,wlybo1ko3,ولینڭ
velirşad,weleu5rso3ed,والإرشاد
velisi,wlysy,ولیسی
velisine,wlysbo1h,ولیسنه
velisini,wlysbo1y,ولیسنی
veliye,wly||yh,ولی‌یه
veliyi,wly||yy,ولی‌یی
veliyy-i,wlyo8u4,ولیِّ
veliyyetü-l-ahd,wlbu2ho2elahd,وليةالعهد
veliyyetü-l-ahd,wlyho2elahd,ولیةالعهد
veliyyullah,wly ellh,ولی الله
veliyyullah,wly ellh||,ولی الله‌
veliyyullah,wo4lu4yo8o9 eellh,وَلِیُّ االله
veli̇ni̇'met,wo4ly bo1u4ao0mo4bo2o0,وَلی نِعْمَتْ
velkemal'in,welkmelko3,والکمالڭ
velkemal,welkmel,والکمال
vellamonkatu,wllemwbo1fo2ebo2w,وللامونقاتو
velminne,wo4 elo0mu4bo1o8o4ho2,وَ الْمِنَّة
velminnetü,wo4 elo0mu4bo1o8o4ho2o9,وَ الْمِنَّةُ
vels,wlbo3,ولث
velud,wlwd,ولود
velvele,wlwlh,ولوله
velvele,wlwlh||,ولوله‌
velvele,wo4lo0wo4lo4h,وَلْوَلَه
velvele,wo4lo0wo4lo4h||,وَلْوَلَه‌
velvele-i istihsan,wo4lo0wo4lo4u4 eu4so0bo2u4xo0so4ebo1o0,وَلْوَلَِ اِسْتِحْسَانْ
velvele-i istihsan,wo4lo0wo4lo4u4 eu4so0bo2u4xo0so4ebo1o0,وَلْوَلَِ اِسْتِحْسَانْ
velvele-i,wlwlhu4,ولولهِ
velvele-i̇ i̇sti̇hsan,wo4lo0wo4lo4u4 eu4so0bo2u4xo0so4ebo1o0,وَلْوَلَِ اِسْتِحْسَانْ
velvele-âlûd,wlwlh||eo6lwd,ولوله‌آلود
velvelelendiren,wlwlh||lbo1dyrbo1,ولوله‌لندیرن
velvelelerinden,wlwlh||lrbo1dbo1,ولوله‌لرندن
velveleli,wlwlh||ly,ولوله‌لی
velvelesi,wlwlh||sy,ولوله‌سی
velveleye,wlwo4lh||yh,ولوَله‌یه
velveleyi,wlwlh||yy,ولوله‌یی
velveleâlûd,wlwlh||eo6lwd,ولوله‌آلود
velâ,wle,ولا
velâ-temsil,wle bo2mbo3yl,ولا تمثیل
velâ-şübhe,wle so3bu1hh,ولا شبهه
velâdet,wledbo2,ولادت
velâdet,wo4lo4edo4bo2o0,وَلَادَتْ
velâdet-i ahmediye,wo4lo4edo4bo2u4 eo4xo0mo4du4bu2o4h,وَلَادَتِ اَحْمَدِيَه
velâkin,wlkbo1,ولکن
velâkin,wlo99kbo1,ولٌکن
velâsından,wlesbo1dbo1,ولاسندن
velâyet,wlebu2bo2,ولايت
velâyet,wleybo2,ولایت
velâyet,wo4lo4ebu2o4bo2o0,وَلَايَتْ
velâyet-i ahmediye,wo4lo4ebu2o4bo2u4 eo4xo0mo4du4bu2o4h,وَلَايَتِ اَحْمَدِيَه
velâyet-i kübrâ,wo4lo4ebu2o4bo2u4  ko9bu1o0ro4e,وَلَايَتِ  کُبْرَا
velâyet-i,wleybo2u4,ولایتِ
velâyete,wleybo2h,ولایته
velâyetidir,weleybo2ydr,والایتیدر
velâyetteki,wleybo2dh||ky,ولایتده‌کی
velâyetten,wleybo2dbo1,ولایتدن
velâyuhsa,wleyxzo99y,ولایحصٌی
velî nimet,wly bo1ambo2,ولی نعمت
velî nimetimiz efendimiz,wly mambo2ro1efo1bo1dbu2mro1,ولی معمتزافنديمز
velî,wly,ولی
velîahd,wlbu2ahd,وليعهد
velîahd,wly ahd,ولی عهد
velîk,wlbu2k,وليک
velîkin,wlbu2kbo1,وليکن
velîler,wlylr,ولیلر
velîme,wlbu2mh,وليمه
velîmesinde,wlymh||sbo1dh,ولیمه‌سنده
velîni'met,wo4lbu2 bo1u4ao0mo4bo2o0,وَلي نِعْمَتْ
velînimet,wly bo1ambo2,ولی نعمت
velînin,wlybo1ko3,ولینڭ
velûd,wlwd,ولود
vema,wo4mo4e,وَمَا
venedik altını,wbo1dk elbo2wbo1y,وندک التونی
venedik,wbo1dyk,وندیک
venizelos'u,wbo1yro1h||lwsy,ونیزه‌لوسی
venizelos,wbo1yro1h||lws,ونیزه‌لوس
vennur,welbo1o8wr,والنّور
vennücum,w elbo1xu1wm,و النجوم
ver,wyr,ویر
vera'-i,wrecu4,وراءِ
vera,wbu2rh,ويره
vera,wre,ورا
vera,wyrh||,ویره‌
verada,wredh||,وراده‌
veraset,wo4ro4ebo3o4bo2o0,وَرَاثَتْ
veraset,wrebo3bo2,وراثت
veraset-i ahmediye,wo4ro4ebo3o4bo2u4 eo4xo0mo4du4yo4h||,وَرَاثَتِ اَحْمَدِیَه‌
veraset-i nebeviye,wo4ro4ebo3o4bo2u4 bo1o4bu1o4wu4yo4h||,وَرَاثَتِ نَبَوِیَه‌
veraset-i nübüvvet,wo4ro4ebo3o4bo2u4 bo1o9bu1o9wo4o8bo2o0,وَرَاثَتِ نُبُوَّتْ
veraset-i,wrebo3bo2u4,وراثتِ
veraset-i̇ ahmedi̇ye,wo4ro4ebo3o4bo2u4 eo4xo0mo4du4yo4h||,وَرَاثَتِ اَحْمَدِیَه‌
veraset-i̇ nebevi̇ye,wo4ro4ebo3o4bo2u4 bo1o4bu1o4wu4yo4h||,وَرَاثَتِ نَبَوِیَه‌
veraset-i̇ nübüvvet,wo4ro4ebo3o4bo2u4 bo1o9bu1o9wo4o8bo2o0,وَرَاثَتِ نُبُوَّتْ
veraseti,wrebo3bo2y,وراثتی
verasetine,wrebo3bo2bo1h,وراثتنه
verasetiyle,wrebo3bo2ylh,وراثتیله
verasetle,wrebo3bo2lh,وراثتله
verasetlik,wrebo3bo2lk,وراثتلک
verasettir,wrebo3bo2dr,وراثتدر
verasında,wresbo1dh,وراسنده
verd,wrd,ورد
verd-i,wrdu4,وردِ
verdi,wyrdy,ویردی
verdik,wyrdk,ویردک
verdikleri,wyrdklry,ویردکلری
verdiklerinden,wyrdklrbo1dbo1,ویردکلرندن
verdiklerine,wyrdklrybo1h,ویردکلرینه
verdiklerini,wyrdklrybo1y,ویردکلرینی
verdiklerinin,wyrdklrybo1ko3,ویردکلرینڭ
verdikten,wyrdkdbo1,ویردکدن
verdikçe,wyrdkxu1h,ویردکجه
verdiler,wyrdylr,ویردیلر
verdim,wyrdm,ویردم
verdin,wyrdko3,ویردڭ
verdiniz,wyrdyko3ro1,ویردیڭز
verdir,wyrdyr,ویردیر
verdirdi,wyrdyrdy,ویردیردی
verdirdiler,wyrdyrdylr,ویردیردیلر
verdirdiniz,wyrdyrdyko3ro1,ویردیردیڭز
verdiremezsin,wyrdyrh||mro1sko3,ویردیره‌مزسڭ
verdiren,wyrdyrbo1,ویردیرن
verdirenlerin,wyrdyrbo1lrko3,ویردیرنلرڭ
verdirerek,wyrdyrh||rk,ویردیره‌رک
verdirildi,wyrdyrldy,ویردیرلدی
verdiriliyordu,wyrdyrylyywrdy,ویردیریلییوردی
verdirip,wyrdyrwbu1,ویردیروب
verdirir,wyrdyrr,ویردیرر
verdiriyor,wyrdyryywr,ویردیرییور
verdiriyorlar,wyrdyryywrlr,ویردیرییورلر
verdirmek,wbu2rdbu2rmk,ويرديرمک
verdirmek,wyrdyrmk,ویردیرمک
verdirmekle,wyrdyrmklh,ویردیرمکله
verdirmektir,wyrdyrmkdr,ویردیرمکدر
verdirmesin,wyrdyrmh||sybo1,ویردیرمه‌سین
verdirmesiyle,wyrdyrmsylh,ویردیرمسیله
verdirmeye,wyrdyrmko7h,ویردیرمگه
verdirmeyip,wyrdyrmh||ywbu1,ویردیرمه‌یوب
verdirmiş,wyrdyrmso3,ویردیرمش
verdirmiştir,wyrdyrmso3dr,ویردیرمشدر
verdiği,wyrdyko7y,ویردیگی
verdiğidir,wyrdyko7ydr,ویردیگیدر
verdiğim,wyrdyko7m,ویردیگم
verdiğimden,wyrdyko7mdbo1,ویردیگمدن
verdiğime,wyrdyko7mh,ویردیگمه
verdiğimi,wyrdyko7my,ویردیگمی
verdiğimin,wyrdyko7mko3,ویردیگمڭ
verdiğimiz,wyrdyko7mro1,ویردیگمز
verdiğimizden,wyrdyko7mro1dbo1,ویردیگمزدن
verdiğin,wyrdyko7ko3,ویردیگڭ
verdiğinden,wyrdyko7bo1dbo1,ویردیگندن
verdiğine,wyrdyko7bo1h,ویردیگنه
verdiğini,wyrdyko7bo1y,ویردیگنی
verdiğiniz,wyrdyko7ko3ro1,ویردیگڭز
