
p,bu3,پ
peygam,bu3bu2ao1em,پيغام
peygam,bu3yao1em,پیغام
peygamber tarafından verilen haber,bu3bu2ao1mbu1r trfo1bo1dbo1 wbu2rbu2lebo1 xo1bu1r,پيغمبر طرفندن ويريلان خبر
peygamber tarafından verilen haber,bu3yao1mbu1r trfo1bo1dbo1 wyrylebo1 xo1bu1r,پیغمبر طرفندن ویریلان خبر
peygamber'de,bu3yao1mbu1rdh,پیغمبرده
peygamber'den,bu3yao1mbu1rdbo1,پیغمبردن
peygamber'e,bu3yao1mbu1rh,پیغمبره
peygamber'i,bu3yao1mbu1ry,پیغمبری
peygamber'imin,bu3yao1mbu1rymko3,پیغمبریمڭ
peygamber'in,bu3yao1mbu1rko3,پیغمبرڭ
peygamber,bu3bu2ao1embu1r,پيغامبر
peygamber,bu3bu2ao1mbu1r,پيغمبر
peygamber,bu3yao1embu1r,پیغامبر
peygamber,bu3yao1mbu1r,پیغمبر
peygamber-i,bu3yao1mbu1ru4,پیغمبرِ
peygamberan-ı,bu3yao1mbu1rebo1u4,پیغمبرانِ
peygamberden,bu3yao1mbu1rdbo1,پیغمبردن
peygamberdir,bu3yao1mbu1rdr,پیغمبردر
peygambere,bu3yao1mbu1rh,پیغمبره
peygamberedir,bu3yao1mbu1rh||dr,پیغمبره‌در
peygamberi'nin,bu3yao1mbu1rybo1ko3,پیغمبرینڭ
peygamberi,bu3yao1mbu1ry,پیغمبری
peygamberidir,bu3yao1mbu1rydr,پیغمبریدر
peygamberim,bu3yao1mbu1rm,پیغمبرم
peygamberimin,bu3yao1mbu1rymko3,پیغمبریمڭ
peygamberimiz'i,bu3yao1mbu1rymro1y,پیغمبریمزی
peygamberimiz,bu3yao1mbu1rymro1,پیغمبریمز
peygamberimizden,bu3yao1mbu1rymro1dbo1,پیغمبریمزدن
peygamberimize,bu3yao1mbu1rymro1h,پیغمبریمزه
peygamberimizi,bu3yao1mbu1rymro1y,پیغمبریمزی
peygamberimizin,bu3yao1mbu1rymro1ko3,پیغمبریمزڭ
peygamberin,bu3yao1mbu1rko3,پیغمبرڭ
peygamberine,bu3yao1mbu1rybo1h,پیغمبرینه
peygamberinin,bu3yao1mbu1rybo1ko3,پیغمبرینڭ
peygamberiniz,bu3yao1mbu1ryko3ro1,پیغمبریڭز
peygamberinizi,bu3yao1mbu1ryko3ro1y,پیغمبریڭزی
peygamberiye,bu3yao1mbu1ryh,پیغمبریه
peygamberiyeden,bu3yao1mbu1ryh||dbo1,پیغمبریه‌دن
peygamberiyeye,bu3yao1mbu1ryh||yh,پیغمبریه‌یه
peygamberle,bu3yao1mbu1rlh,پیغمبرله
peygamberler,bu3yao1mbu1rlr,پیغمبرلر
peygamberlere,bu3yao1mbu1rlrh,پیغمبرلره
peygamberleri,bu3yao1mbu1rlry,پیغمبرلری
peygamberlerin,bu3yao1mbu1rlrko3,پیغمبرلرڭ
peygamberlerinden,bu3yao1mbu1rlrbo1dbo1,پیغمبرلرندن
peygamberlerini,bu3yao1mbu1rlrybo1y,پیغمبرلرینی
peygamberlerle,bu3yao1mbu1rlrlh,پیغمبرلرله
peygamberlik,bu3yao1mbu1rlk,پیغمبرلک
peygamberliklerine,bu3yao1mbu1rlklrybo1h,پیغمبرلکلرینه
peygamberliğini,bu3yao1mbu1rlko7bo1y,پیغمبرلگنی
peygamberî'de,bu3yao1mbu1rydh,پیغمبریده
peygamberî'yi,bu3yao1mbu1ry||yy,پیغمبری‌یی
peygamberî,bu3yao1mbu1ry,پیغمبری
peygamberîde,bu3yao1mbu1rydh,پیغمبریده
peygamberîdir,bu3yao1mbu1rydr,پیغمبریدر
peygamberînin,bu3yao1mbu1rybo1ko3,پیغمبرینڭ
peygamberîsin,bu3yao1mbu1rysko3,پیغمبریسڭ
peygamberîye,bu3yao1mbu1ry||yh,پیغمبری‌یه
peygamberîyi,bu3yao1mbu1ry||yy,پیغمبری‌یی
peygamberîyle,bu3yao1mbu1rylh,پیغمبریله
peyk,bu3bu2k,پيک
peyk,bu3o4bu2o0ko0,پَيْکْ
peyk,bu3o4yo0ko0,پَیْکْ
peyk,bu3yk,پیک
peykan,bu3ykebo1,پیکان
peykar,bu3bu2ker,پيکار
peykar,bu3yker,پیکار
peyke,bu3bu2kh,پيکه
peyke,bu3ykh||,پیکه‌
peykeh,bu3bu2kh,پيکه
peykeh,bu3ykh||,پیکه‌
peyker,bu3bu2kr,پيکر
peyker,bu3ykr,پیکر
peykidir,bu3ykydr,پیکیدر
peykisiniz,bu3ykysko3ro1,پیکیسڭز
peyklerin,bu3yklrko3,پیکلرڭ
peykleriyle,bu3yklrylh,پیکلریله
peykân,bu3bu2kebo1,پيکان
peyle,bu3ylh<>,پیله‌
peylemek,bu3bu2lh||mk,پيله‌مک
peylemek,bu3ylh<>mk,پیله‌مک
peylen,bu3ylh<>bo1,پیله‌ن
peylenmek,bu3bu2lh||bo1mk,پيله‌نمک
peylenmek,bu3ylh<>bo1mk,پیله‌نمک
peyleş,bu3ylh<>so3,پیله‌ش
peyleşmek,bu3bu2lh||so3mk,پيله‌شمک
peyleşmek,bu3ylh<>so3mk,پیله‌شمک
peyma,bu3yme,پیما
peyman,bu3ymebo1,پیمان
peyman-ı,bu3ymebo1u4,پیمانِ
peymana,bu3ymebo1h,پیمانه
peymane,bu3ymebo1h||,پیمانه‌
peymâ,bu3bu2me,پيما
peymâne,bu3bu2mebo1h,پيمانه
peynir,bu3bu2bo1bu2r,پينير
peynir,bu3ybo1yr,پینیر
peynirci,bu3bu2bo1bu2rxu1y,پينيرجی
peynirci,bu3ybo1yrxu1y,پینیرجی
peynircilik,bu3bo1bu2rxu1bu2lk,پنيرجيلک
peynircilik,bu3bo1yrxu1ylk,پنیرجیلک
peynirden,bu3ybo1yrdbo1,پینیردن
peyniri,bu3ybo1yry,پینیری
peynirlen,bu3ybo1yrlh<>bo1,پینیرله‌ن
peynirlenmek,bu3bu2bo1bu2rlh||bo1mk,پينيرله‌نمک
peynirlenmek,bu3ybo1yrlh<>bo1mk,پینیرله‌نمک
peyrev,bu3bu2rw,پيرو
peyrev,bu3yrw,پیرو
peyzaj,bu3h<>yro1ero3,په‌یزاژ
peyzaj,bu3h||bu2ro1ero3,په‌يزاژ
peyâm,bu3bu2em,پيام
peyâmber,bu3bu2embu1r,پيامبر
peyâmres,bu3bu2emrs,پيامرس
pezevenk,bu3ro1wbo1k,پزونک
peçe,bu3xu3h,پچه
peçe,bu3xu3h||,پچه‌
peçelenirse,bu3xu3h||lbo1yrsh,پچه‌لنیرسه
peçesi,bu3xu3h||sy,پچه‌سی
peçesini,bu3xu3h||sbo1y,پچه‌سنی
peçete,bu3xu3bo2h,پچته
peçete,bu3xu3bo2h||,پچته‌
peçeyi,bu3xu3h||yy,پچه‌یی
peş,bu3so3,پش
peşgir meşgir,bu3bu2so3kbu2r mbu2so3kbu2r,پيشکير ميشکير
peşgir meşgir,bu3yso3kyr myso3kyr,پیشکیر میشکیر
peşiman (pişman) olmak,bu3so3ymebo1 ew,پشیمان او
peşiman,bu3so3ymebo1,پشیمان
peşimanlık (pişmanlık),bu3so3ymebo1lfo2,پشیمانلق
peşimanlık,bu3so3ymebo1lfo2,پشیمانلق
peşimdeki,bu3so3ymdh||ky,پشیمده‌کی
peşimizde,bu3so3ymro1dh,پشیمزده
peşin,bu3bu2so3bu2bo1,پيشين
peşin,bu3so3bu2bo1,پشين
peşin,bu3so3ybo1,پشین
peşin,bu3yso3ybo1,پیشین
peşinci,bu3so3bu2bo1xu1y,پشينجی
peşinci,bu3so3ybo1xu1y,پشینجی
peşinde,bu3so3bo1dh,پشنده
peşindedir,bu3so3bo1dh||dr,پشنده‌در
peşindedirler,bu3so3bo1dh||drlr,پشنده‌درلر
peşindeki,bu3so3ybo1dh||ky,پشینده‌کی
peşinden,bu3yso3ko3dbo1,پیشڭدن
peşindesin,bu3so3bo1dh||sko3,پشنده‌سڭ
peşine düşmek,bu3bu2so3bo1h dwso3mk,پيشنه دوشمک
peşine düşmek,bu3yso3bo1h dwso3mk,پیشنه دوشمک
peşine,bu3so3ybo1h,پشینه
peşinen,bu3so3ybo1o44e,پشینًا
peşi̇manlık,bu3so3ymebo1lfo2,پشیمانلق
peşkeş,bu3so3kso3,پشکش
peşkeş,bu3yso3kso3,پیشکش
peşkir,bu3bu2so3kbu2r,پيشکير
peşkir,bu3so3kbu2r,پشکير
peşkir,bu3so3kyr,پشکیر
peşkir,bu3yso3kyr,پیشکیر
peşm,bu3so3m,پشم
peşrev,bu3so3rw,پشرو
peştahta,bu3so3bo2xo1bo2h,پشتخته
peştahta,bu3so3bo2xo1bo2h||,پشتخته‌
peştemal,bu3so3bo2mel,پشتمال
peştemalcı,bu3so3bo2melxu1y,پشتمالجی
peştemallık,bu3so3bo2mellfo2,پشتماللق
peştemâl,bu3so3bo2mel,پشتمال
peşÎmânlık,bu3so3bu2mebo1lfo2,پشيمانلق
peşîman,bu3so3bu2mebo1,پشيمان
peşîmân (pişman) olmak,bu3so3bu2mebo1 ew,پشيمان او
peşîmân,bu3so3bu2mebo1,پشيمان
peşîmânlık (pişmanlık),bu3so3bu2mebo1lfo2,پشيمانلق
peşîmânlık,bu3so3bu2mebo1lfo2,پشيمانلق
peşşe,bu3so3h,پشه
peşşe,bu3so3h||,پشه‌
peşşebend,bu3so3h bu1bo1d,پشه بند
picktahall'ın,bu3ykbo2wlko3,پیکتولڭ
picktahall,bu3ykbo2wl,پیکتول
pide,bu3bu2dh,پيده
pide,bu3ydh||,پیده‌
pidelik,bu3bu2dh||lk,پيده‌لک
pidelik,bu3ydh<>lk,پیده‌لک
pijama,bu3bu2ro3eme,پيژاما
pijama,bu3yro3eme,پیژاما
pike,bu3bu2kh,پيکه
pike,bu3ykh||,پیکه‌
piktol,bu3ykbo2wl,پیکتول
pil,bu3bu2l,پيل
pil,bu3yl,پیل
pilaki,bu3leky,پلاکی
pilav,bu3ylew,پیلاو
piliç,bu3bu2lbu2xu3,پيليچ
piliç,bu3lxu1,پلج
piliç,bu3ylyxu3,پیلیچ
piliçleri,bu3ylyxu3lry,پیلیچلری
pilot,bu3bu2lwbo2,پيلوت
pilot,bu3ylwbo2,پیلوت
pilâki,bu3leky,پلاکی
pilâv,bu3bu2lew,پيلاو
pilâğı,bu3leao1y,پلاغی
pinekle,bu3ybo1klh<>,پینکله‌
pineklemek,bu3bu2bo1klh||mk,پينکله‌مک
pineklemek,bu3ybo1klh<>mk,پینکله‌مک
pinhan,bu3bo1hebo1,پنهان
pinti,bu3bo1bo2y,پنتی
pinti,bu3bu2bo1bo2y,پينتی
pinti,bu3ybo1bo2y,پینتی
pintilen,bu3ybo1bo2ylh<>bo1,پینتیله‌ن
pintilenmek,bu3bu2bo1bo2bu2lh||bo1mk,پينتيله‌نمک
pintilenmek,bu3ybo1bo2ylh<>bo1mk,پینتیله‌نمک
pintileş,bu3ybo1bo2ylh<>so3,پینتیله‌ش
pintileşmek,bu3bu2bo1bo2bu2lh||so3mk,پينتيله‌شمک
pintileşmek,bu3ybo1bo2ylh<>so3mk,پینتیله‌شمک
pintilik,bu3bu2bo1bo2bu2llk,پينتيللک
pintilik,bu3ybo1bo2yllk,پینتیللک
pipo,bu3bu2bu3w,پيپو
pipo,bu3ybu3w,پیپو
pir,bu3bu2r,پير
pir,bu3yr,پیر
pir,bu3yro0,پیرْ
pirahen,bu3yrehbo1,پیراهن
piraye,bu3yreyh||,پیرایه‌
pire,bu3bu2rh,پيره
pire,bu3yrh,پیره
pire,bu3yrh||,پیره‌
pirelen,bu3yrh<>lh<>bo1,پیره‌له‌ن
pirelenmek,bu3bu2rh||lh||bo1mk,پيره‌له‌نمک
pirelenmek,bu3yrh<>lh<>bo1mk,پیره‌له‌نمک
pireler,bu3yrh||lr,پیره‌لر
pirenin,bu3yrh||bo1ko3,پیره‌نڭ
pireotu,bu3bu2rh ewbo2y,پيره اوتی
pireotu,bu3yrh ewbo2y,پیره اوتی
pirezen,bu3bu2rh ro1bo1,پيره زن
pirezen,bu3yrh ro1bo1,پیره زن
pirinç,bu3rbo1xu1,پرنج
pirinç,bu3rbo1xu3,پرنچ
pirinçten,bu3rbo1xu1dbo1,پرنجدن
pirmis,bu3yrmys,پیرمیس
piryol,bu3bu2rbu2wl,پيريول
piryol,bu3yrywl,پیریول
pirzola,bu3bu2rro1wle,پيرزولا
pirzola,bu3yrro1wle,پیرزولا
pirâhen,bu3bu2rehbo1,پيراهن
pis etmek,bu3s e,پس ا
pis gezen adam,bu3s kro1bo1 edm,پس کزن ادم
pis,bu3bu2s,پيس
pis,bu3s,پس
pis,bu3so3,پش
pis,bu3ys,پیس
pisboğaz,bu3bu2s bu1wao1ero1,پيس بوغاز
pisboğaz,bu3ys bu1wao1ero1,پیس بوغاز
pisboğazlık,bu3bu2s bu1wao1ero1lfo2,پيس بوغازلق
pisboğazlık,bu3ys bu1wao1ero1lfo2,پیس بوغازلق
pisi balığı,bu3sy bu1elbu2ao1y,پسی باليغی
pisi balığı,bu3sy bu1elyao1y,پسی بالیغی
pisi,bu3bu2sy,پيسی
pisi,bu3sy,پسی
pisi,bu3ysy,پیسی
pisibalığı,bu3sy bu1elao1y,پسی بالغی
pisipisi,bu3bu2sy bu3bu2sy,پيسی پيسی
pisipisi,bu3ysy bu3ysy,پیسی پیسی
piskopos,bu3sfo2bu2ws,پسقيوس
piskopos,bu3sfo2bu3ws,پسقپوس
piskopos,bu3sfo2yws,پسقیوس
piskoposluk,bu3sfo2bu3wslfo2,پسقپوسلق
pisle,bu3yslh<>,پیسله‌
pislemek,bu3bu2slh||mk,پيسله‌مک
pislemek,bu3yslh<>mk,پیسله‌مک
pislen,bu3yslh<>bo1,پیسله‌ن
pislendirdiği,bu3yslbo1dyrdyko7y,پیسلندیردیگی
pislenir,bu3yslh||bo1yr,پیسله‌نیر
pislenmek,bu3bu2slh||bo1mk,پيسله‌نمک
pislenmek,bu3yslh<>bo1mk,پیسله‌نمک
pislerin,bu3yslrko3,پیسلرڭ
pislet,bu3yslh<>bo2,پیسله‌ت
pisletmek,bu3bu2slh||bo2mk,پيسله‌تمک
pisletmek,bu3yslh<>bo2mk,پیسله‌تمک
pisleş,bu3yslh<>so3,پیسله‌ش
pisleşmek,bu3bu2slh||so3mk,پيسله‌شمک
pisleşmek,bu3yslh<>so3mk,پیسله‌شمک
pislik,bu3bu2slk,پيسلک
pislik,bu3slk,پسلک
pislik,bu3yslk,پیسلک
pisliklerden,bu3yslklrdbo1,پیسلکلردن
pisliklere,bu3yslklrh,پیسلکلره
pislikleri,bu3yslklry,پیسلکلری
pisliklerinden,bu3yslklrbo1dbo1,پیسلکلرندن
pisliyor,bu3yslh||ywr,پیسله‌یور
pisliği,bu3yslko7y,پیسلگی
pistan,bu3sbo2ebo1,پستان
piste,bu3sbo2h,پسته
piste,bu3sbo2h||,پسته‌
pistir,bu3ysdr,پیسدر
piston,bu3sbo2wbo1,پستون
pistov,bu3so3tw,پشطو
pistân,bu3sbo2ebo1,پستان
piyade askeri,bu3yedh askry,پیاده عسکری
piyade kaldırımı,bu3yedh fo2eldrymy,پیاده قالدریمی
piyade kayığı,bu3yedh fo2eyao1yy,پیاده قایغیی
piyade yolu,bu3yedh ywly,پیاده یولی
piyade,bu3yedh||,پیاده‌
piyale,bu3yelh||,پیاله‌
piyango,bu3bu2ebo1ao1w,پيانغو
piyango,bu3bu2ebo1fo2w,پيانقو
piyango,bu3bu2ebo2fo2w,پياتقو
piyango,bu3yebo1ao1w,پیانغو
piyango,bu3yebo1fo2w,پیانقو
piyango,bu3yebo2fo2w,پیاتقو
piyangoda,bu3yebo1fo2wdh,پیانقوده
piyangosunda,bu3yebo1fo2wsbo1dh,پیانقوسنده
piyangosundan,bu3yebo1fo2wsbo1dbo1,پیانقوسندن
piyangoya koymak,bu3bu2ebo2fo2wbu2h fo2wmfo2,پياتقويه قومق
piyangoya koymak,bu3yebo2fo2wyh fo2wmfo2,پیاتقویه قومق
piyangoya,bu3yebo1fo2wyh,پیانقویه
piyanist,bu3bu2ebo1bu2sbo2,پيانيست
piyanist,bu3yebo1ysbo2,پیانیست
piyano,bu3bu2ebo1w,پيانو
piyano,bu3yebo1w,پیانو
piyasa,bu3bu2esh,پياسه
piyasa,bu3yesh||,پیاسه‌
piyaz,bu3bu2ero1,پياز
piyaz,bu3yero1,پیاز
piyâde askeri,bu3bu2edh askry,پياده عسکری
piyâde kaldırımı,bu3bu2edh fo2eldrbu2my,پياده قالدريمی
piyâde kayığı,bu3bu2edh fo2ebu2ao1yy,پياده قايغیی
piyâde yolu,bu3bu2edh bu2wly,پياده يولی
piyâde,bu3bu2edh,پياده
piyâle,bu3bu2elh,پياله
piç vermek,bu3bu2xu3 wbu2rmk,پيچ ويرمک
piç vermek,bu3yxu3 wyrmk,پیچ ویرمک
piç ü tab etmek,bu3yxu3 wbo2ebu1 e,پیچ وتاب ا
piç ü tab,bu3yxu3 w bo2ebu1,پیچ و تاب
piç,bu3bu2xu3,پيچ
piç,bu3yxu3,پیچ
piş,bu3yso3,پیش
pişani,bu3yso3ebo1y,پیشانی
pişdar,bu3so3der,پشدار
pişdar,bu3yso3der,پیشدار
pişdar,bu3yso3o0do4ero0,پیشْدَارْ
pişdarlık,bu3yso3derlfo2,پیشدارلق
pişdarı,bu3yso3dery,پیشداری
pişdarıdır,bu3yso3derydr,پیشداریدر
pişdâr,bu3so3der,پشدار
pişe,bu3u4yso3o4h||,پِیشَه‌
pişe,bu3yso3h,پیشه
pişe,bu3yso3h||,پیشه‌
pişekar,bu3yso3h  ker,پیشه  کار
pişekar,bu3yso3h ker,پیشه کار
pişgah,bu3yso3ko7eh||,پیشگاه‌
pişgir,bu3yso3ko7yr,پیشگیر
pişik,bu3so3bu2k,پشيک
pişik,bu3so3yk,پشیک
pişin (peşin) para,bu3yso3ybo1 bu3erh||,پیشین پاره‌
pişin vermek,bu3yso3ybo1 wyrmk,پیشین ویرمک
pişin,bu3yso3ybo1,پیشین
pişir,bu3yso3yr,پیشیر
pişirdi,bu3yso3yrdy,پیشیردی
pişirdikten,bu3yso3yrdkdbo1,پیشیردکدن
pişirdiği,bu3yso3yrdyko7y,پیشیردیگی
pişirdiğim,bu3yso3yrdyko7m,پیشیردیگم
pişiren,bu3yso3yrbo1,پیشیرن
pişireyim,bu3yso3yrh||ym,پیشیره‌یم
pişirildi,bu3yso3yryldy,پیشیریلدی
pişirildikten,bu3yso3yryldkdbo1,پیشیریلدکدن
pişirilecek,bu3yso3yrylh||xu1k,پیشیریله‌جک
pişirilen,bu3yso3yrylbo1,پیشیریلن
pişiriliyor,bu3yso3yrylyywr,پیشیریلییور
pişirim,bu3so3bu2rbu2m,پشيريم
pişirim,bu3so3yrym,پشیریم
pişirir,bu3yso3yryr,پیشیریر
pişiriyor,bu3yso3yryywr,پیشیرییور
pişiriyorlardı,bu3yso3yryywrlrdy,پیشیرییورلردی
pişiriyorsa,bu3yso3yryywrsh,پیشیرییورسه
pişirmek,bu3bu2so3bu2rmk,پيشيرمک
pişirmek,bu3so3rmk,پشرمک
pişirmek,bu3so3wrmk,پشورمک
pişirmek,bu3yso3yrmk,پیشیرمک
pişirmelerine,bu3yso3yrmh||lrybo1h,پیشیرمه‌لرینه
pişirmiş,bu3yso3yrmso3,پیشیرمش
pişirt,bu3yso3yrbo2,پیشیرت
pişirtiyor,bu3yso3yrbo2yywr,پیشیرتییور
pişirtmek,bu3bu2so3bu2rbo2mk,پيشيرتمک
pişirtmek,bu3yso3yrbo2mk,پیشیرتمک
pişirttirdiği,bu3yso3yrbo2dyrdyko7y,پیشیرتدیردیگی
pişirttiren,bu3yso3yrbo2dyrbo1,پیشیرتدیرن
pişkeş,bu3yso3kso3,پیشکش
pişkin,bu3bu2so3kbu2bo1,پيشکين
pişkin,bu3yso3kybo1,پیشکین
pişkinlik,bu3bu2so3kbu2bo1lk,پيشکينلک
pişkinlik,bu3yso3kybo1lk,پیشکینلک
pişman olmak,bu3so3ymebo1 ew,پشیمان او
pişman,bu3bu2so3bu2mebo1,پيشيمان
pişman,bu3so3ymebo1,پشیمان
pişman,bu3yso3ymebo1,پیشیمان
pişmaniye,bu3yso3mebo1yh||,پیشمانیه‌
pişmanlık,bu3bu2so3bu2mebo1lfo2,پيشيمانلق
pişmanlık,bu3so3bu2mebo1lfo2,پشيمانلق
pişmanlık,bu3so3ymebo1lfo2,پشیمانلق
pişmanlık,bu3yso3mebo1lfo2,پیشمانلق
pişmanlık,bu3yso3ymebo1lfo2,پیشیمانلق
pişmanlığımız,bu3yso3mebo1lao1mro1,پیشمانلغمز
pişmek,bu3bu2so3mk,پيشمک
pişmek,bu3so3mk,پشمک
pişmek,bu3yso3mk,پیشمک
pişmemiş,bu3so3memso3,پشمامش
pişmiş,bu3so3mso3,پشمش
pişmiş,bu3yso3mso3,پیشمش
pişmân olmak,bu3so3bu2mebo1 ew,پشيمان او
pişmâniye,bu3bu2so3mebo1bu2h,پيشمانيه
piştahta,bu3bu2so3bo2xo1bo2h,پيشتخته
piştahta,bu3yso3bo2xo1bo2h||,پیشتخته‌
piştov,bu3bu2so3bo2ww,پيشتوو
piştov,bu3yso3bo2ww,پیشتوو
pişva,bu3yso3we,پیشوا
pişva-yı,bu3yso3weyu4,پیشوایِ
pişvalığını,bu3yso3welao1bo1y,پیشوالغنی
pişüva,bu3so3we,پشوا
pişüvâ,bu3so3we,پشوا
pi̇r,bu3yro0,پیرْ
pi̇şdar,bu3yso3o0do4ero0,پیشْدَارْ
pi̇şe,bu3u4yso3o4h||,پِیشَه‌
plaka,bu3lefo2e,پلاقا
plan,bu3lebo1,پلان
plase,bu3lesh||,پلاسه‌
plasman,bu3lesmebo1,پلاسمان
platin,bu3lebo2ybo1,پلاتین
platonik,bu3lebo2wbo1yk,پلاتونیک
plağı,bu3leao1y,پلاغی
plonjon,bu1lwbo1ro3wbo1,بلونژون
plâka,bu3lefo2e,پلاقا
plâklar,bu3lefo2lr,پلاقلر
plâksız,bu3lefo2sro1,پلاقسز
plân,bu3lebo1,پلان
plâna,bu3lebo1h,پلانه
plânda,bu3lebo1dh,پلانده
plândan,bu3lebo1dbo1,پلاندن
plândır,bu3lebo1dr,پلاندر
plânla,bu3lebo1lh,پلانله
plânlar,bu3lebo1lr,پلانلر
plânlardan,bu3lebo1lrdbo1,پلانلردن
plânlarla,bu3lebo1lrlh,پلانلرله
plânları,bu3lebo1lry,پلانلری
plânların,bu3lebo1lrko3,پلانلرڭ
plânlarına,bu3lebo1lrybo1h,پلانلرینه
plânlarından,bu3lebo1lrbo1dbo1,پلانلرندن
plânlarını,bu3lebo1lrybo1y,پلانلرینی
plânlarının,bu3lebo1lrybo1ko3,پلانلرینڭ
plânlarıyla,bu3lebo1lrylh,پلانلریله
plânlı,bu3lebo1ly,پلانلی
plânı,bu3lebo1y,پلانی
plânın,bu3lebo1ko3,پلانڭ
plânına,bu3lebo1bo1h,پلاننه
plânından,bu3lebo1bo1dbo1,پلانندن
plânını,bu3lebo1bo1y,پلاننی
plânının,bu3lebo1bo1ko3,پلاننڭ
plânıyla,bu3lebo1ylh,پلانیله
plâse,bu3lesh,پلاسه
plâsman,bu3lesmebo1,پلاسمان
plâtin,bu3lebo2bu2bo1,پلاتين
plâtonik,bu3lebo2wbo1bu2k,پلاتونيک
pohpoh,bu3wh<>bu3wh||,پوه‌پوه‌
pohpoh,bu3wh||bu3wh,پوه‌پوه
pohpohla,bu3wh<>bu3whle,پوه‌پوهلا
pohpohlamak,bu3wh<>bu3whlemfo2,پوه‌پوهلامق
pohpohlamak,bu3wh||bu3whlemfo2,پوه‌پوهلامق
poilip,bu3wlbu2bu3,پوليپ
poilip,bu3wlybu3,پولیپ
poiça,bu3wlbu2xu3h,پوليچه
poiça,bu3wlyxu3h||,پولیچه‌
poker,bu3wkh<>r,پوکه‌ر
poker,bu3wkh||r,پوکه‌ر
polad,bu3wled,پولاد
polat,bu3wlet,پولاط
polatlı,bu3wletly,پولاطلی
polattan,bu3wletdbo1,پولاطدن
poligon,bu3wlbu2ao1wbo1,پوليغون
poligon,bu3wlyao1wbo1,پولیغون
polis,bu3wlbu2s,پوليس
polis,bu3wlys,پولیس
polise,bu3wlysh,پولیسه
polishanesinde,bu3wlysxo1ebo1h||sbo1dh,پولیسخانه‌سنده
polishaneye,bu3wlysxo1ebo1h||yh,پولیسخانه‌یه
polisi,bu3wlysy,پولیسی
polisin,bu3wlysko3,پولیسڭ
polisle,bu3wlyslh,پولیسله
polisler,bu3wlyslr,پولیسلر
polislere,bu3wlyslrh,پولیسلره
polisleri,bu3wlyslry,پولیسلری
polislerin,bu3wlyslrko3,پولیسلرڭ
polislerle,bu3wlyslrlh,پولیسلرله
polislik,bu3wlyslk,پولیسلک
politika,bu3wlbu2bo2bu2fo2e,پوليتيقا
politika,bu3wlybo2yfo2e,پولیتیقا
politika,bu3wlybo2yfo2h,پولیتیقه
politikacı,bu3wlbu2bo2bu2fo2exu1y,پوليتيقاجی
politikacı,bu3wlybo2yfo2exu1y,پولیتیقاجی
politikacılara,bu3wlybo2yfo2h||xu1ylrh,پولیتیقه‌جیلره
politikasına,bu3wlybo2yfo2h||sbo1h,پولیتیقه‌سنه
poliçe,bu1wlyxu3h,بولیچه
poliçe,bu1wlyxu3h||,بولیچه‌
polonya,bu3wlwbo1ye,پولونیا
pomak,bu3wmefo2,پوماق
porselen,bu3wrslh<>bo1,پورسله‌ن
porselen,bu3wrslh||bo1,پورسله‌ن
porsiyon,bu3wrsbu2wbo1,پورسيون
porsiyon,bu3wrsywbo1,پورسیون
porsu,bu3wzw,پوصو
porsuk ağacı,bu1wrzfo2 eao1exu1y,بورصق اغاجی
porsuk,bu3wrzwfo2,پورصوق
porsumak,bu3wzwmfo2,پوصومق
porsun,bu3wrzwbo1,پورصون
port,bu3wrbo2,پورت
portakal,bu3wrbo2fo2el,پورتقال
portatif,bu3wrbo2ebo2bu2fo1,پورتاتيف
portatif,bu3wrbo2ebo2yfo1,پورتاتیف
portekiz,bu3wrbo2kyro1,پورتکیز
portföy,bu3wrbo2fo1wy,پورتفوی
portmanto,bu3wrbo2 mebo1bo2w,پورت مانتو
portre,bu3wrbo2rh,پورتره
portre,bu3wrbo2rh||,پورتره‌
portresini,bu3wrbo2rh||sbo1y,پورتره‌سنی
posa,bu3wze,پوصا
posa,bu3wzh,پوصه
posa,bu3wzh||,پوصه‌
posa,bu3wzy,پوصی
posalan,bu3wzelebo1,پوصالان
posalanmak,bu3wzelebo1mfo2,پوصالانمق
posbıyık,bu3wz<>bu1yyfo2,پوص‌بییق
posbıyık,bu3wz||bu1bu2bu2fo2,پوص‌بييق
posof,bu3wsxo1wfo1,پوسخوف
post,bu3sbo2,پست
post,bu3wsbo2,پوست
posta memuru,bu3wsbo2h meo5mwry,پوسته مأموری
posta memûru,bu3wsbo2h meo5mwry,پوسته مأموری
posta nazırı,bu3wsbo2h bo1eto1ry,پوسته ناظری
posta nâzırı,bu3wsbo2h bo1eto1ry,پوسته ناظری
posta,bu3wsbo2h,پوسته
posta,bu3wsbo2h||,پوسته‌
postacı,bu3wsbo2h<>xu1y,پوسته‌جی
postacı,bu3wsbo2h||xu1y,پوسته‌جی
postacıları,bu3wsbo2h||xu1ylry,پوسته‌جیلری
postacılık,bu3wsbo2h||xu1ylfo2,پوسته‌جیلق
postacılığı,bu3wsbo2h||xu1ylao1y,پوسته‌جیلغی
postacısı,bu3wsbo2h||xu1ysy,پوسته‌جیسی
postada,bu3wsbo2h||dh,پوسته‌ده
postadan,bu3wsbo2h||dbo1,پوسته‌دن
postahane,bu3wsbo2h xo1ebo1h||,پوسته خانه‌
postahane,bu3wsbo2h<>xo1ebo1h||,پوسته‌خانه‌
