
b,bu1,ب
buyuruk,bu1wywrwfo2,بویوروق
buyurulacak,bu1ywrylexu1fo2,بیوریلاجق
buyurulan,bu1ywrylebo1,بیوریلان
buyurularak,bu1ywrylerfo2,بیوریلارق
buyuruldu,bu1bu2wrldy,بيورلدی
buyuruldu,bu1ywrldy,بیورلدی
buyurulduktan,bu1ywrldfo2dbo1,بیورلدقدن
buyurulduğu,bu1ywrldyao1y,بیورلدیغی
buyurulmak,bu1ywrlmfo2,بیورلمق
buyurulmakla,bu1ywrlmfo2lh,بیورلمقله
buyurulmaktır,bu1ywrlmfo2dr,بیورلمقدر
buyurulması,bu1ywrlmesy,بیورلماسی
buyurulmasıdır,bu1ywrlmesydr,بیورلماسیدر
buyurulmasına,bu1ywrwlmesbo1h,بیورولماسنه
buyurulmasını,bu1ywrlmesbo1y,بیورلماسنی
buyurulmasıyla,bu1ywrlmesylh,بیورلماسیله
buyurulmuş,bu1ywrlmso3,بیورلمش
buyurulmuştur,bu1ywrlmso3dr,بیورلمشدر
buyurulunca,bu1ywrwlbo1xu1h,بیورولنجه
buyurulursa,bu1ywrlwrsh,بیورلورسه
buyuruluyor,bu1ywrwlwywr,بیورولویور
buyurun buyurun diye kabul etmek,bu1ywrk bu1ywrk dyw fo2bu1wl e,بیورک بیورک دیو قبول ا
buyurun buyurun diye kabûl etmek,bu1bu2wrk bu1bu2wrk dbu2w fo2bu1wl e,بيورک بيورک ديو قبول ا
buyurun,bu1bu2wrk,بيورک
buyurun,bu1ywrk,بیورک
buyurun,bu1ywrko3,بیورڭ
buyurunuz,bu1wywrwko3ro1,بویوروڭز
buyurunuz,bu1wywrwlo5o3ro1,بویوروكز
buyurunuz,bu1ywryko3ro1,بیوریڭز
buyurup,bu1ywrwbu1,بیوروب
buyurur,bu1ywrr,بیورر
buyururdu,bu1ywrrdy,بیورردی
buyururlar,bu1ywrrlr,بیوررلر
buyururlardı,bu1ywrrlrdy,بیوررلردی
buyururlarsa,bu1ywrrlrsh,بیوررلرسه
buyuruyor,bu1ywryywr,بیورییور
buyuruyordu,bu1ywryywrdy,بیورییوردی
buyuruyorlar,bu1ywryywrlr,بیورییورلر
buyuruyorsunuz,bu1ywryywrsko3ro1,بیورییورسڭز
buz,bu1wro1,بوز
buzağı,bu1wro1eao1y,بوزاغی
buzböceği,bu1wro1bu1wxu1ko7y,بوزبوجگی
buzdoğan,bu1wro1zo1wao1ebo1,بوزضوغان
buzhane,bu1wro1xo1ebo1h||,بوزخانه‌
buzhâne,bu1wro1xo1ebo1h,بوزخانه
buzine,bu1wro1ybo1h||,بوزینه‌
buzkıran,bu1wro1fo2yrebo1,بوزقیران
buzlan,bu1wro1lebo1,بوزلان
buzlanmak,bu1wro1lebo1mfo2,بوزلانمق
buzlansa,bu1wro1lebo1sh,بوزلانسه
buzlar,bu1wro1lr,بوزلر
buzlara,bu1wro1lrh,بوزلره
buzları,bu1wro1lry,بوزلری
buzların çözülmesi,bu1wro1lrk xu3wro1lmsy,بوزلرک چوزلمسی
buzlu,bu1wro1ly,بوزلی
buzlucam,bu1wro1ly xu1em,بوزلی جام
buzluk,bu1wro1lfo2,بوزلق
buzun,bu1wro1ko3,بوزڭ
buzçiçeği,bu1wro1xu3yxu3ko7y,بوزچیچگی
buçuk,bu1wxu3wfo2,بوچوق
buçuk,bu1xu3fo2,بچق
buçuk,bu1xu3wfo2,بچوق
buçukta,bu1xu3fo2dh,بچقده
buçuğa,bu1xu3ao1h,بچغه
buğ,bu1wao1,بوغ
buğada,bu1wao1edh||,بوغاده‌
buğday,bu1ao1dey,بغدای
buğday,bu1wao1dey,بوغدای
buğdayları,bu1ao1deylry,بغدایلری
buğdayını,bu1ao1deybo1y,بغداینی
buğra,bu1ao1re,بغرا
buğrâ,bu1ao1re,بغرا
buğu ile pişirmek,bu1wao1y ebu2lh bu3so3wrmk,بوغی ايله پشورمک
buğu ile pişirmek,bu1wao1y eylh bu3so3wrmk,بوغی ایله پشورمک
buğu kuşu,bu1wao1wfo2wso3y,بوغوقوشی
buğu,bu1wao1w,بوغو
buğu,bu1wao1y,بوغی
buğu,bu1wkw,بوکو
buğuhane,bu1wao1wxo1ebo1h,بوغوخانه
buğuhane,bu1wao1wxo1ebo1h||,بوغوخانه‌
buğula,bu1wao1wle,بوغولا
buğulamak,bu1wao1wlemfo2,بوغولامق
buğulan,bu1wao1wlebo1,بوغولان
buğulanmak,bu1wao1wlebo1mfo2,بوغولانمق
buğusu çıkmak,bu1wao1bu2sy xu3bu2fo2mfo2,بوغيسی چيقمق
buğusu çıkmak,bu1wao1wsy xu3bu2fo2mfo2,بوغوسی چيقمق
buğusu çıkmak,bu1wao1wsy xu3yfo2mfo2,بوغوسی چیقمق
buğusu çıkmak,bu1wao1ysy xu3yfo2mfo2,بوغیسی چیقمق
buğuya göstermek,bu1wao1y bu2h kwsbo2rmk,بوغی يه کوسترمک
buğuya göstermek,bu1wao1y yh kwsbo2rmk,بوغی یه کوسترمک
buğz,bu1ao1zo1,بغض
buğzetmek,bu1ao1zo1 eybo2mk,بغض ایتمک
buğzuna,bu1ao1zo1bo1h,بغضنه
buğâda,bu1wao1edh,بوغاده
bu’d,bu1ad,بعد
bu’diyet,bu1adybo2,بعدیت
bâ'is,bu1eabo3,باعث
bâ'nın,bu1ebo1ko3,بانڭ
bâ,bu1e,با
bâ-gâh,bu1eko7eh,باگاه
bâ-kem al-i,bu1ekmelu4,باکمالِ
bâ-kemal-i,bu1ekmelu4,باکمالِ
bâ-pâye,bu1ebu3ebu2h,باپايه
bâ-âsam,bu1eeo6bo3em,باآثام
bâb,bu1ebu1,باب
bâb-i seraskerî,bu1o4ebu1u4 so4ro0ao4so0ko4rbu2,بَابِ سَرْعَسْکَري
bâb-ur,bu1ebu1 el,باب ال
bâb-ür,bu1ebu1 el,باب ال
bâb-üs,bu1o4ebu1o9 el,بَابُ ال
bâb-ı seraskerî,bu1o4ebu1u4 so4ro0ao4so0ko4rbu2,بَابِ سَرْعَسْکَري
bâb-ı âlî,bu1ebu1 aely,باب عالی
bâb-ı,bu1ebu1u4,بابِ
bâb-ır,bu1o4ebu1u4 el,بَابِ ال
bâba,bu1ebu1h,بابه
bâbda,bu1ebu1dh,بابده
bâbdır,bu1ebu1dr,بابدر
bâblarda,bu1ebu1lrdh,بابلرده
bâbâ,bu1ebu1e,بابا
bâbâyâne,bu1ebu1eyebo1h,بابایانه
bâbûne,bu1ebu1wbo1h,بابونه
bâbı,bu1ebu1y,بابی
bâbın,bu1ebu1ko3,بابڭ
bâbından,bu1ebu1bo1dbo1,بابندن
bâc,bu1exu1,باج
bâcenâh,bu1exu1bo1ex,باجناح
bâcgîr,bu1exu1ko7bu2r,باجگير
bâd,bu1ed,باد
bâd-i,bu1edu4,بادِ
bâd-nümâ,bu1edbo1me,بادنما
bâd-âverd,bu1edewrd,باداورد
bâd-âverde,bu1edewrdh,باداورده
bâd-ı hevâ,bu1edhwe,بادهوا
bâd-ı sabâ,bu1edzbu1e,بادصبا
bâd-ı,bu1edu4,بادِ
bâdbedest,bu1edbu1dsbo2,بادبدست
bâdbân,bu1edbu1ebo1,بادبان
bâdbân-küşâ-yı azîmet olmak,bu1edbu1ebo1 kso3ey aro1bu2mbo2 ew,بادبان کشای عزيمت او
bâdbîz,bu1edbu1bu2ro1,بادبيز
bâde,bu1edh,باده
bâdefürûş,bu1edh fo1rwso3,باده فروش
bâdehu,bu1adh,بعده
bâdehâr,bu1edh xo1wer,باده خوار
bâdekeş,bu1edh kso3,باده کش
bâdem,bu1edm,بادم
bâdema,bu1adme,بعدما
bâdemcik,bu1edmxu1k,بادمجک
bâdemi,bu1edmy,بادمی
bâdemiçi,bu1edm eyxu3y,بادم ایچی
bâdemlik,bu1edmlk,بادملک
bâdemyağı,bu1edmu4 yeao1y,بادمِ یاغی
bâdemâ,bu1adme,بعدما
bâdenûş,bu1edh bo1wso3,باده نوش
bâdi,bu1edy,بادی
bâdibân,bu1edbu1ebo1,بادبان
bâdibân-küşâ olmak,bu1edbu1ebo1kso3e ew,بادبانکشا او
bâdiheva,bu1edu4 hwe,بادِ هوا
bâdire,bu1edrh,بادره
bâdisaba,bu1edzbu1e,بادصبا
bâdiye,bu1edbu2h,باديه
bâdiye,bu1edyh,بادیه
bâdiyede,bu1edyh||dh,بادیه‌ده
bâdiyenin,bu1edyh||bo1ko3,بادیه‌نڭ
bâdnümâ,bu1edbo1me,بادنما
bâdâm,bu1edem,بادام
bâdî olmak,bu1edy ew,بادی او
bâdî,bu1edy,بادی
bâgî,bu1eao1y,باغی
bâgîlerden,bu1eao1ylrdbo1,باغیلردن
bâh,bu1eh,باه
bâha,bu1exe,باحا
bâhaber,bu1exo1bu1r,باخبر
bâhem,bu1ehm,باهم
bâhir,bu1ehr,باهر
bâhir,bu1o4ehu4ro0,بَاهِرْ
bâhirdir,bu1ehrdr,باهردر
bâhire,bu1ehrh,باهره
bâhired,bu1exo1rd,باخرد
bâhirelerine,bu1ehrh||lrybo1h,باهره‌لرینه
bâhiresiyle,bu1ehrh||sylh,باهره‌سیله
bâhireye,bu1ehrh||yh,باهره‌یه
bâhiri,bu1ehry,باهری
bâhis,bu1ehbo3,باهث
bâhis,bu1exbo3,باحث
bâhusus,bu1exo1zwz,باخصوص
bâhusus,bu1o4exo1o9zo9wzo0,بَاخُصُوصْ
bâhusûs,bu1o4exo1o9zo9wzo0,بَاخُصُوصْ
bâhûr,bu1exo1wr,باخور
bâis olmak,bu1eabo3 ew,باعث او
bâis,bu1eabo3,باعث
bâis-i harâb,bu1eabo3 xo1rebu1,باعث خراب
bâis-i keder,bu1eabo3 kdr,باعث کدر
bâis-i meserret,bu1eabo3 msrbo2,باعث مسرت
bâis-i mevt,bu1eabo3 mwbo2,باعث موت
bâis-i şeref,bu1eabo3 so3rfo1,باعث شرف
bâis-i,bu1eabo3u4,باعثِ
bâistir,bu1eabo3dr,باعثدر
bâjurnal,bu1ero3wrbo1el,باژورنال
bâk,bu1ek,باک
bâki kalmak,bu1efo2y fo2elmfo2,باقی قالمق
bâki'dir,bu1efo2ydr,باقیدر
bâki'nin,bu1efo2ybo1ko3,باقینڭ
bâki'niz,bu1efo2yko3ro1,باقیڭز
bâki'sin,bu1efo2y||sko3,باقی‌سڭ
bâki'ye,bu1efo2y||yh,باقی‌یه
bâki,bu1efo2bu2,باقي
bâki,bu1efo2y,باقی
bâki-i,bu1efo2yo5u4,باقئِ
bâkide,bu1efo2ydh,باقیده
bâkideki,bu1efo2ydh||ky,باقیده‌کی
bâkiden,bu1efo2ydbo1,باقیدن
bâkidir,bu1efo2ydr,باقیدر
bâkidirler,bu1efo2ydrlr,باقیدرلر
bâkilere,bu1efo2ylrh,باقیلره
bâkileri,bu1efo2ylry,باقیلری
bâkileşir,bu1efo2ylh||so3yr,باقیله‌شیر
bâkileşiyor,bu1efo2ylso3yywr,باقیلشییور
bâkileştirdi,bu1efo2ylso3dyrdy,باقیلشدیردی
bâkileştirmek,bu1efo2ylso3dyrmk,باقیلشدیرمک
bâkileştirmeyi,bu1efo2ylso3dyrmko7y,باقیلشدیرمگی
bâkinin,bu1efo2ybo1ko3,باقینڭ
bâkir,bu1ekr,باکر
bâkire,bu1ekrh,باکره
bâkisi,bu1efo2ysy,باقیسی
bâkisin,bu1efo2ysko3,باقیسڭ
bâkisinden,bu1efo2ysbo1dbo1,باقیسندن
bâkisine,bu1efo2ysbo1h,باقیسنه
bâkiyane,bu1efo2yebo1h,باقیانه
bâkiyat,bu1efo2yebo2,باقیات
bâkiyat-ı,bu1efo2yebo2u4,باقیاتِ
bâkiye,bu1efo2yh,باقیه
bâkiye-i,bu1efo2yh||u4,باقیه‌ِ
bâkiyede,bu1efo2yh||dh,باقیه‌ده
bâkiyeden,bu1efo2yh||dbo1,باقیه‌دن
bâkiyedir,bu1efo2yh||dr,باقیه‌در
bâkiyeleri,bu1efo2yh||lry,باقیه‌لری
bâkiyelerini,bu1efo2yh||lrybo1y,باقیه‌لرینی
bâkiyem,bu1efo2yh||m,باقیه‌م
bâkiyemi,bu1efo2yh||my,باقیه‌می
bâkiyenin,bu1efo2yh||bo1ko3,باقیه‌نڭ
bâkiyeniz,bu1efo2yh||ko3ro1,باقیه‌ڭز
bâkiyenizde,bu1efo2yh||ko3ro1dh,باقیه‌ڭزده
bâkiyesi,bu1efo2yh||sy,باقیه‌سی
bâkiyesine,bu1efo2yh||sbo1h,باقیه‌سنه
bâkiyesini,bu1efo2yh||sbo1y,باقیه‌سنی
bâkiyesinin,bu1efo2yh||sbo1ko3,باقیه‌سنڭ
bâkiyeye,bu1efo2yh||yh,باقیه‌یه
bâkiyeyi,bu1efo2yh||yy,باقیه‌یی
bâkiyi,bu1efo2y||yy,باقی‌یی
bâkî kalmak,bu1efo2y fo2elmfo2,باقی قالمق
bâkî olmak,bu1efo2y ew,باقی او
bâkî'nin,bu1efo2ybo1ko3,باقینڭ
bâkî,bu1efo2,باق
bâkî,bu1efo2y,باقی
bâkî,bu1o4efo2bu2,بَاقي
bâkî-i,bu1efo2yo5u4,باقئِ
bâkîde,bu1efo2ydh,باقیده
bâkîdir,bu1efo2ydr,باقیدر
bâkîdirler,bu1efo2ydrlr,باقیدرلر
bâkîleşir,bu1efo2ylh||so3yr,باقیله‌شیر
bâkînin,bu1efo2ybo1ko3,باقینڭ
bâkîye,bu1efo2y||yh,باقی‌یه
bâkîyi,bu1efo2y||yy,باقی‌یی
bâkır'dan,bu1efo2rdbo1,باقردن
bâkıyane,bu1efo2yebo1h,باقیانه
bâkıye,bu1efo2yh,باقیه
bâkıye-i,bu1efo2yh||u4,باقیه‌ِ
bâkıyenin,bu1efo2yh||bo1ko3,باقیه‌نڭ
bâkıyeniz,bu1efo2yh||ko3ro1,باقیه‌ڭز
bâkıyesini,bu1efo2yh||sbo1y,باقیه‌سنی
bâkıyeyi,bu1efo2yh||yy,باقیه‌یی
bâkıyyeye,bu1efo2yh||yh,باقیه‌یه
bâkıyyeyi,bu1efo2yh||yy,باقیه‌یی
bâl,bu1el,بال
bâliğ olmak,bu1elao1 ew,بالغ او
bâliğ,bu1elao1,بالغ
bâliğ,bu1o4elu4ao1o0,بَالِغْ
bâliğa,bu1elao1h,بالغه
bâliş,bu1elso3,بالش
bâlâ,bu1ele,بالا
bâlâ-pervazane,bu1elebu3rwero1ebo1h,بالاپروازانه
bâlâbülend,bu1elebu1lbo1d,بالابلند
bâlâdaki,bu1eledh||ky,بالاده‌کی
bâlâdan,bu1eledbo1,بالادن
bâlâhâne,bu1elexo1ebo1h,بالاخانه
bâlâpervaz,bu1elebu3rwero1,بالاپرواز
bâlâsı,bu1elesy,بالاسی
bâlâsında,bu1elesbo1dh,بالاسنده
bâlîn,bu1elbu2bo1,بالين
bâm,bu1em,بام
bâmazbata,bu1emzo1bu1th,بامضبطه
bâmdâd,bu1emded,بامداد
bâmukâvele,bu1emfo2ewlh,بامقاوله
bâng,bu1ebo1ko7,بانگ
bâni,bu1ebo1y,بانی
bâni-i,bu1ebo1yo5u4,بانئِ
bânisi,bu1ebo1ysy,بانیسی
bânisidir,bu1ebo1ysydr,بانیسیدر
bânî,bu1ebo1y,بانی
bânî,bu1o4ebo1bu2,بَاني
bânû,bu1ebo1w,بانو
bâr olmak,bu1erew,باراو
bâr,bu1er,بار
bâr,bu1o4ero0,بَارْ
bâr-gâh-ı,bu1erko7ehu4,بارگاهِ
bâr-i sakîl,bu1o4eru4 bo3o4fo2bu2lo0,بَارِ ثَقيلْ
bâr-ı sakîl,bu1o4eru4 bo3o4fo2bu2lo0,بَارِ ثَقيلْ
bâr-ı,bu1eru4,بارِ
bârapor,bu1erebu3wr,باراپور
bârber,bu1erbu1r,باربر
bârdır,bu1erdr,باردر
bâre,bu1erh,باره
bârekâllah,bu1erk e||ellh,بارک ا‌الله
bârekâllahlar,bu1o4ero4ko4 e||ellhlr,بَارَکَ ا‌اللهلر
bârekâllahlara,bu1o4ero4ko4 e||ellhlrh,بَارَکَ ا‌اللهلره
bârgâh,bu1erko7eh,بارگاه
bârgîr (beygir),bu1erkbu2r,بارکير
bârgîr,bu1erkbu2r,بارکير
bârgîr,bu1erko7bu2r,بارگير
bâri',bu1eryo5,بارئ
bâri'nin,bu1ery||bo1ko3,باری‌نڭ
bâri'sine,bu1erysbo1h,باریسنه
bâri'ye,bu1ery||yh,باری‌یه
bâri,bu1ery,باری
bâri-i,bu1eryo5u4,بارئِ
bârid,bu1erd,بارد
bâridane,bu1erdebo1h,باردانه
bâriddir,bu1erddr,بارددر
bâride,bu1erdh,بارده
bâridede,bu1erdh||dh,بارده‌ده
bârideden,bu1erdh||dbo1,بارده‌دن
bârideye,bu1erdh||yh,بارده‌یه
bâridi,bu1erdy,باردی
bârigâh-ı,bu1erko7ehu4,بارگاهِ
bârika,bu1erfo2h,بارقه
bârika-asa,bu1erfo2h||eo6se,بارقه‌آسا
bârika-i,bu1erfo2h||u4,بارقه‌ِ
bârikaâsâ,bu1erfo2h||eo6se,بارقه‌آسا
bâriz,bu1erro1,بارز
bâriz,bu1o4eru4ro1o0,بَارِزْ
bârut,bu1erwbo2,باروت
bârver,bu1erwr,بارور
bârân,bu1erebo1,باران
bârân-ı,bu1erebo1u4,بارانِ
bârî,bu1ery,باری
bârî,bu1o4eru4bo5,بَارِئ
bârîk,bu1eryk,باریک
bârû,bu1erw,بارو
bârık,bu1erfo2,بارق
bâsur,bu1eswr,باسور
bâsûr,bu1eswr,باسور
bâsıra,bu1ezrh,باصره
bâsıranın,bu1ezrh||bo1ko3,باصره‌نڭ
bâtakrîr,bu1ebo2fo2ryr,باتقریر
bâtin,bu1o4etu4bo1o0,بَاطِنْ
bâtinî,bu1o4etu4bo1bu2,بَاطِني
bâtıl itikâd,bu1etl eabo2fo2ed,باطل اعتقاد
bâtıl,bu1etl,باطل
bâtıl,bu1o4etu4lo0,بَاطِلْ
bâtıla,bu1etlh,باطله
bâtılasıdır,bu1etlh||sydr,باطله‌سیدر
bâtılasından,bu1etlh||sbo1dbo1,باطله‌سندن
bâtılasını,bu1etlh||sbo1y,باطله‌سنی
bâtılaya,bu1etlh||yh,باطله‌یه
bâtılayı,bu1etlh||yy,باطله‌یی
bâtıldan,bu1etldbo1,باطلدن
bâtıldır,bu1etldr,باطلدر
bâtılı,bu1etly,باطلی
bâtılın,bu1etlko3,باطلڭ
bâtın'ın,bu1etbo1ko3,باطنڭ
bâtın,bu1etbo1,باطن
bâtın,bu1o4etu4bo1o0,بَاطِنْ
bâtın-ı,bu1etbo1u4,باطنِ
bâtına,bu1etbo1h,باطنه
bâtınadan,bu1etbo1h||dbo1,باطنه‌دن
bâtınayı,bu1etbo1h||yy,باطنه‌یی
bâtındaki,bu1etbo1dh||ky,باطنده‌کی
bâtından,bu1etbo1dbo1,باطندن
bâtınen,bu1etbo1e,باطنا
bâtınen,bu1etbo1eo44,باطناً
bâtınen,bu1etbo1o44e,باطنًا
bâtıni,bu1etbo1y,باطنی
bâtıniyesi,bu1etbo1yh||sy,باطنیه‌سی
bâtıniyye,bu1etbo1yh,باطنیه
bâtıniyyun,bu1etbo1ywbo1,باطنیون
bâtıniyyunun,bu1etbo1ywbo1ko3,باطنیونڭ
bâtınları,bu1etbo1lry,باطنلری
bâtınların,bu1etbo1lrko3,باطنلرڭ
bâtınlarına,bu1etbo1lrybo1h,باطنلرینه
bâtınlarında,bu1etbo1lrbo1dh,باطنلرنده
bâtınlarının,bu1etbo1lrybo1ko3,باطنلرینڭ
bâtınî,bu1etbo1y,باطنی
bâtınî,bu1o4etu4bo1bu2,بَاطِني
bâtını,bu1etbo1y,باطنی
bâtınıdır,bu1etbo1ydr,باطنیدر
bâtının,bu1etbo1ko3,باطنڭ
bâtınına,bu1etbo1bo1h,باطننه
bâtınında,bu1etbo1bo1dh,باطننده
bâtınındaki,bu1etbo1bo1dh||ky,باطننده‌کی
bâtınından,bu1etbo1bo1dbo1,باطنندن
bâtınını,bu1etbo1bo1y,باطننی
bâtıya,bu1etye,باطیا
bâvehm,bu1ewo4hm,باوَهم
bâvehm-i,bu1ewo4hmu4,باوَهمِ
bâvekar,bu1ewfo2er,باوقار
bâyi,bu1eya,بایع
bâyii,bu1eyay,بایعی
bâz,bu1ero1,باز
bâz-ül,bu1ero1 el,باز ال
bâz-ı,bu1ero1u4,بازِ
bâzan,bu1azo1eo44,بعضاً
bâzan,bu1azo1o44e,بعضًا
bâzergân,bu1ero1rkebo1,بازرکان
bâzil,bu1edo1l,باذل
bâzirgân teknesi,bu1ero1rkebo1 bo2kbo1h sy,بازرکان تکنه سی
bâzirgân,bu1ero1r kebo1,بازر کان
bâzirgân,bu1ero1rkebo1,بازرکان
bâzu,bu1ero1w,بازو
bâzî,bu1ero1y,بازی
bâzîçe,bu1ero1yxu3h,بازیچه
bâzû,bu1ero1w,بازو
bâzûbend,bu1ero1wbu1bo1d,بازوبند
bâzı,bu1azo1,بعض
bâzı,bu1azo1y,بعضی
bâzıları,bu1azo1lry,بعضلری
bâzısına,bu1azo1sbo1h,بعضسنه
bâğ,bu1eao1,باغ
bâğbân,bu1eao1bu1ebo1,باغبان
bâğistan-i,bu1eao1sbo2ebo1u4,باغستانِ
bâğistan-ı,bu1eao1sbo2ebo1u4,باغستانِ
bâğçe,bu1eao1xu3h,باغچه
bâşit,bu1eso3ybo2,باشیت
bî,bu1y,بی
bî-aman,bu1y||eo5mebo1,بی‌أمان
bî-amân,bu1y emebo1,بی امان
bî-esâs,bu1y eses,بی اساس
bî-gâye,bu1bu2ao1ebu2h,بيغايه
bî-günâh,bu1bu2 ko7o9bo1o4eho0,بي گُنَاهْ
bî-günâh,bu1bu2kbo1eh,بيکناه
bî-haber,bu1bu2 xo1o4bu1o4ro0,بي خَبَرْ
bî-hadd,bu1bu2xd,بيحد
bî-hemtâ,bu1bu2hmbo2e,بيهمتا
bî-ihtiyarem,bu1y||eu5xo1bo2yerm,بی‌إختیارم
bî-insaflar,bu1y||eu5bo1zefo1lr,بی‌إنصافلر
bî-lezaiz,bu1y||ldo1eyo5do1,بی‌لذائذ
bî-lüzûm,bu1bu2lro1wm,بيلزوم
bî-misal,bu1y||mbo3el,بی‌مثال
bî-misâl,bu1bu2mbo3el,بيمثال
bî-müdanî,bu1y||mdebo1y,بی‌مدانی
bî-müdânî,bu1y||mo9debo1y,بی‌مُدانی
bî-nazirinden,bu1y||bo1to1yrbo1dbo1,بی‌نظیرندن
bî-nihâye,bu1bu2bo1hebu2h,بينهايه
bî-nihâye,bu1y bo1hebu2h,بی نهايه
bî-nâz,bu1y||bo1ero1,بی‌ناز
bî-pervâ,bu1bu2bu3rwe,بيپروا
bî-riyâ,bu1bu2rbu2e,بيريا
bî-vefâ,bu1bu2wfo1e,بيوفا
bî-zevâl,bu1y ro1wel,بی زوال
bîadîl,bu1y||adyl,بی‌عدیل
bîaman,bu1y emebo1,بی امان
bîaman,bu1y||eo5mebo1,بی‌أمان
bîaman,bu1y||eo6mebo1,بی‌آمان
bîat,bu1ybo2,بیت
bîbaha,bu1y||bu1he,بی‌بها
bîbahâ,bu1y bu1he,بی بها
bîbedel,bu1y bu1dl,بی بدل
bîbehre,bu1y bu1hrh,بی بهره
bîbehre,bu1y||bu1hrh,بی‌بهره
bîbâk,bu1bu2bu1ek,بيباک
bîcan,bu1y xu1ebo1,بی جان
bîcâ,bu1bu2xu1e,بيجا
bîd,bu1bu2d,بيد
bîd-i mecnûn,bu1bu2d mxu1bo1wbo1,بيد مجنون
bîdar,bu1yder,بیدار
bîdil,bu1bu2dl,بيدل
bîdin,bu1y dybo1,بی دین
bîdin,bu1y||dybo1,بی‌دین
bîdâd,bu1bu2ded,بيداد
bîdâd,bu1yded,بیداد
bîdâdger,bu1bu2dedko7r,بيدادگر
bîdâr,bu1bu2der,بيدار
bîdâr,bu1yder,بیدار
bîdârbaht,bu1bu2derbu1xo1bo2,بيداربخت
bîedeb,bu1y edbu1,بی ادب
bîedeb,bu1y||eo5dbu1,بی‌أدب
bîedebane,bu1y||eo5dbu1ebo1h,بی‌أدبانه
bîeman,bu1y emebo1,بی امان
bîeman,bu1y||emebo1,بی‌امان
bîemanesine,bu1y||eo5mebo1h||sbo1h,بی‌أمانه‌سنه
bîemanî,bu1y||eo5mebo1y,بی‌أمانی
bîendişe,bu1y ebo1dyso3h,بی اندیشه
bîfasal,bu1y||fo1zel,بی‌فصال
bîfüturdur,bu1y||fo1bo2wrdr,بی‌فتوردر
bîgane,bu1yko7ebo1h,بیگانه
bîganedir,bu1yko7ebo1h||dr,بیگانه‌در
bîganelik,bu1yko7ebo1h||lk,بیگانه‌لک
bîganesin,bu1yko7ebo1h||sko3,بیگانه‌سڭ
bîgayeye,bu1y||ao1eyh||yh,بی‌غایه‌یه
bîgeran-ı,bu1yko7rebo1u4,بیگرانِ
bîgâne,bu1bu2ko7ebo1h,بيگانه
bîgâne,bu1ykebo1h,بیکانه
bîgüman,bu1y ko7mebo1,بی گمان
bîgüman,bu1y||ko7mebo1,بی‌گمان
bîgünah,bu1y ko7bo1eh,بی گناه
bîgünah,bu1y||ko7bo1eh,بی‌گناه
bîh,bu1bu2xo1,بيخ
bîhaber,bu1bu2xo1bu1r,بيخبر
bîhaber,bu1y xo1bu1r,بی خبر
bîhaber,bu1y||xo1bu1r,بی‌خبر
bîhaberim,bu1y||xo1bu1rm,بی‌خبرم
bîhaberlerin,bu1y||xo1bu1rlrko3,بی‌خبرلرڭ
bîhad,bu1y||xdo8,بی‌حدّ
bîhadd,bu1y xd,بی حد
bîhadd,bu1y||xdo8,بی‌حدّ
bîhareket,bu1y xrkbo2,بی حرکت
bîhayat,bu1y xbu2ebo2,بی حيات
bîhayâ,bu1y xbu2e,بی حيا
bîhemta,bu1y||hmbo2e,بی‌همتا
bîhemtâ,bu1y hmbo2e,بی همتا
bîhesab,bu1y||xsebu1,بی‌حساب
bîhesâb,bu1y xsebu1,بی حساب
bîhicab,bu1y||xxu1ebu1,بی‌حجاب
bîhisab,bu1y||xsebu1,بی‌حساب
bîhiss,bu1y xs,بی حس
bîhod olmak,bu1bu2xo1wdew,بيخوداو
bîhod,bu1bu2xo1wd,بيخود
bîhoş,bu1y||hwso3,بی‌هوش
bîhude,bu1bu2hdh,بيهده
bîhuş,bu1y||hwso3,بی‌هوش
bîhuşu,bu1yhwso3y,بیهوشی
bîhâdd,bu1bu2xd,بيحد
bîhâsıl,bu1y xezl,بی حاصل
bîhûde iş,bu1bu2hwdh ebu2so3,بيهوده ايش
bîhûde,bu1bu2hwdh,بيهوده
bîhûdelik,bu1bu2hwdh lk,بيهوده لک
bîhûş,bu1yhwso3,بیهوش
bîhûşe,bu1yhwso3h,بیهوشه
bîinsafa,bu1y||eu5bo1zefo1h,بی‌إنصافه
bîinsâf,bu1y ebo1zefo1,بی انصاف
bîiştibah,bu1y||eu5so3bo2bu1eh,بی‌إشتباه
bîkarar,bu1bu2fo2rer,بيقرار
bîkarar,bu1y||fo2rer,بی‌قرار
bîkarâr,bu1y fo2rer,بی قرار
bîkeder,bu1y||kdr,بی‌کدر
bîkeran-ı,bu1ykrebo1u4,بیکرانِ
bîkes,bu1yks,بیکس
bîkes,bu1y||ks,بی‌کس
bîkesem,bu1y||ksm,بی‌کسم
bîkesliğine,bu1y||kslko7bo1h,بی‌کسلگنه
bîkâr,bu1bu2ker,بيکار
bîkârların,bu1y||kerlrko3,بی‌کارلرڭ
bîl,bu1bu2l,بيل
bîle,bu1bu2lh,بيله
bîlezaiz,bu1y||ldo1eyo5do1,بی‌لذائذ
bîm,bu1bu2m,بيم
bîma'nâ,bu1y mabo1y,بی معنی
bîmarhaneye,bu1ymerxo1ebo1h||yh,بیمارخانه‌یه
