a,ه
hüceyrat,حجيرات
hüceyre,حجيره
hücre,حجره
hücum,هجوم
hücürât,حجرات
hüdhüd,هدهد
hükemâ,حکما
hükkâm,حکام
hükm,حکم
hükümat,حکومات
hükümdar,حکمدار
hükümet,حکومت
hükümran,حکمران
hükümrânî,حکمرانی
hülâsa,خلاصه
hülâsatan,خلاصة
hümâ,هما
hümâyûn,همایون
hüner,هنر
hünermend,هنرمند
hünkâr,خنکار
hünsâ,خنثی
hür,حر
hürmet,حرمت
hürmetkâr,حرمتکار
hürr,حر
hürriyet,حریت
hüsam,حسام
hüsn,حسن
hüsn-i ahlak,حسن اخلاق
hüsn-i idare,حسن اداره
hüsn-i sûret,حسن صورت
hüsr,خسر
hüsran,خسران
hüsranhîz,خسران خيز
hüsrev,خسرو
hüveydâ,هویدا
hüviyyet,هویت
hüzn,حزن
hüznengîz,حزن انگيز
hüzzam,حزام
ık'âd,اقعاد
ıkd,عقد
ıklîm,اقليم
ıktıdâ,اقتدا
ırdâ,ارضاع
ırk,عرق
ırken,عرقا
ırkî,عرقی
ırz,عرض
ırzâ,ارضاع
ısdâr,اصدار
ısfırâr,اصفرار
ıskât,اسقاط
ıslâh,اصلاح
ıslâhât,اصلاحات
ıslâhpezîr,اصلاح پذیر
ısrar,اصرار
ıstıbâr,اصطبار
ıstıfâ,اصطفا
ıstıfâî,اصطفائی
ıstılâh,اصطلاح
ıstılâhât,اصطلاحات
ıstınâ',اصطناع
ıstırab,اضطراب
ışk,عشق
ışka,عشقه
ıtk,عتق
ıtknâme,عتق نامه
ıtlak,اطلاق
ıtnâb,اطناب
ıtr,عطر
ıtrî,عطری
ıtriyyât,عطریات
ıttılâ',اطلاع
ıttılâât,اطلاعات
ıttırâd,اطراد
ıyâdet,عيادت
ıyâl,عيال
ız'âf,اضعاف
ızdırap,اضطراب
ızlâl,اضلال
ızlâl,اظلال
ızrâr,اضرار
ıztırâb,اضطراب
ıztırâbâver,اضطراب آور
ıztırâr,اضطرار
ıztırârî,اضطراری
iâde,اعاده
iâdeten,اعادة
iânât,اعانات
iâne,اعانه
iâşe,اعاشه
iba,ابا
ibâ',اباء
ibâd,عباد
ib'âd,ابعاد
ibâdât,عبادات
ibâdet,عبادت
ibadetgâh,عبادتگاه
ibâdethâne,عبادت خانه
ibâdullah,عبادالله
ibâhat,اباحت
ibâhî,اباحی
ibârât,عبارات
ibâre,عباره
ibâret,عبارت
ibâte,اباته
ibda,ابداع
ibdâ',ابداع
ibdâ'kâr,ابداعکار
ibham,ابهام
ibhâm,ابهام
ibhâmât,ابهامات
ibka,ابقا
ibkâ,ابقا
ibkâen,ابقاء
ibl,ابل
iblağ,ابلاغ
iblâğ,ابلاغ
iblik,ايبلق
iblis,ابليس
iblîs,ابليس
iblîsâne,ابليسانه
ibn,ابن
ibnet,ابنة
ibra,ابرا
ibrâ',ابراء
ibram,ابرام
ibrâm,ابرام
ibrânâme,ابرانامه
ibraz,ابراز
ibrâz,ابراز
ibre,ابره
ibret,عبرت
ibretâmîz,عبرت آميز
ibretbahş,عبرت بخش
ibreten,عبرة
ibrik,ابريق
ibrîk,ابریق
ibrişim,ابرشيم
ibrişim,ابریشم
ibtâl,ابطال
ibtidâ,ابتدا
ibtidâ'î,ابتدائی
ibtidâr,ابتدار
ibtihâc,ابتهاج
ibtika,ابتكاء
ibtika',ابتقاع
ibtilâ,ابتلا
ibtinâ,ابتنا
ibtinâ'en,ابتناء
ibzâr,ابزار
îcâb,ایجاب
îcâbât,ایجابات
icabet,اجابت
icâbet,اجابت
icabet etmek,اجابت ايتمك
îcâd,ایجاد
icale,اجاله
icâleten,عجالة
îcâr,ایجار
icare,اجاره
icâre,اجاره
icarei muacele,اجارهءمعجله
icarei muecele,اجارهءمؤجله
i'câz,اعجاز
îcâz,ایجاز
icazet,اجازت
icâzet,اجازت
icâzetnâme,اجازت نامه
icbar,اجبار
icbâr,اجبار
icbar etmek,اجبار ايتمك
iclâl,اجلال
icmâ',اجماع
icmâl,اجمال
icmâlen,اجمالا
icmâlî,اجمالی
icrâ,اجرا
icrâât,اجراآت
ictiba,اجتبا
ictihâd,اجتهاد
ictimâ',اجتماع
ictimâât,اجتماعات
ictimâî,اجتماعی
ictimâiyyât,اجتماعيات
ictimâiyyûn,اجتماعيون
ictinab,اجتناب
ictinâb,اجتناب
ictinab etmek,اجتناب ايتمك
ictira,اجترا
ictira etmek,اجترا ايتمك
ictisâr,اجتسار
içtihat,اجتهاد
içtima,اجتماع
îd,عيد
i'dâdî,اعدادی
i'dâm,اعدام
idâme,ادامه
idâre,اداره
idârehâne,اداره خانه
idârî,اداری
idbâr,ادبار
iddiâ,ادعا
idhâl,ادخال
idhâlât,ادخالات
îdiyye,عيدیه
idmân,ادمان
idrâk,ادراک
idrâr,ادرار
îfâ,ایفا
ifâdât,افادات
ifâde,افاده
ifâkat,افاقت
ifâze,افاضه
iffet,عفت
ifhâm,افهام
iflâh,افلاح
iflâs,افلاس
ifnâ,افنا
ifrâğ,افراغ
ifrât,افراط
ifrâtkâr,افراطکار
ifratperestî,افراط پرستی
ifrâz,افراز
ifrâzât,افراضات
ifrît,عفریت
ifsâd,افساد
ifşâ,افشا
ifşâât,افشاآت
iftâr,افطار
iftâriyye,افطاریه
iftihâr,افتخار
iftikâr,افتقار
iftirâ,افترا
iftirâk,افتراق
iftirâs,افتراس
iftitâh,افتتاح
iftizâh,افتضاح
iğbirâr,اغبرار
iğfâl,اغفال
iğlâk,اغلاق
iğlât,اغلاط
iğmâz,اغماض
iğnâ,اغنا
iğrâk,اغراق
iğtinâm,اغتنام
iğtişâş,اغتشاش
iğtişâşât,اغتشاشات
iğvâ,اغوا
ihâle,احاله
îhâm,ایهام
ihânet,اهانت
ihâta,احاطه
ihbâr,اخبار
ihbârnâme,اخبارنامه
ihdâ,اهدا
ihdâs,احداث
ihfâ,اخفا
ihfâf,اخفاف
ihkâk,احقاق
ihlâ,اخلا
ihlâk,اهلاک
ihlâl,اخلال
ihlâs,اخلاص
ihmâl,اهمال
ihmâlkâr,اهمالکار
ihrâc,اخراج
ihrâcât,اخراجات
ihrâk,احراق
ihrâm,احرام
ihrâz,احراز
ihsâ,احصا
ihsâî,احصائی
ihsâiyyât,احصائيات
ihsâiyye,احصائيه
ihsân,احسان
ihsâs,احساس
ihtâr,اخطار
ihticâc,احتجاج
ihtidâ,اهتدا
ihtifâ,اختفا
ihtifâl,احتفال
ihtikâr,احتکار
ihtilâc,اختلاج
ihtilâf,اختلاف
ihtilâfat,اختلافات
ihtilâl,اختلال
ihtilâlat,اختلالات
ihtilâm,احتلام
ihtilâs,اختلاس
ihtilât,اختلاط
ihtimâl,احتمال
ihtimal ki,احتمال که
ihtimâlât,احتمالات
ihtimâm,اهتمام
ihtinâk,اختناق
ihtirâ,اختراع
ihtirâat,اختراعات
ihtirak,احتراق
ihtirâm,احترام
ihtirâmen,احتراما
ihtirâs,احتراص
ihtirâz,احتراز
ihtisâr,اختصار
ihtisâren,اختصارا
ihtisâs,اختصاص
ihtişâm,احتشام
ihtitâm,اختتام
ihtivâ,احتوا
ihtiyâc,احتياج
ihtiyâcât,احتياجات
ihtiyâl,احتيال
ihtiyâr,اختيار
ihtiyârî,اختياری
ihtiyât,احتياط
ihtiyâten,احتياطا
ihtiyatkâr,احتياط کار
ihtizâr,احتضار
ihtizâz,اهتزاز
ihvân,اخوان
ihyâ,احيا
ihzâr,احضار
ihzârî,احضاری
îkâ,ایقا
ikâb,عقاب
ik'âd,اقعاد
ikâl,عقال
ikâme,اقامه
ikâmet,اقامت
ikâmetgah,اقامتگاه
îkâz,ایقاظ
ikbâl,اقبال
ikdâm,اقدام
iklîm,اقليم
ikmâl,اکمال
iknâ,اقناع
ikrâh,اکراه
ikrâhen,اکراها
ikrâm,اکرام
ikrâmiyye,اکراميه
ikrâr,اقرار
ikrâz,اقراض
iksîr,اکثير
iktibâs,اقتباس
iktibâsât,اقتباسات
iktidâ,اقتدا
iktidâr,اقتدار
iktifâ,اکتفا
iktihâl,اکتحال
iktirâh,اقتراه
iktirân,اقتران
iktisâ,اکتسا
iktisâb,اکتساب
iktisâd,اقتصاد
iktisâdî,اقتصادی
iktisâdiyyât,اقتصادیات
iktisâdiyyûn,اقتصادیون
iktisâr,اقتصار
iktitâf,اقتطاف
iktiza,اقتضا
iktizâ,اقتضا
ilâ,الی
i'lâ,اعلا
ilâc,علاج
ilâcnâpezîr,علاج ناپذیر
ilâh,الخ
ilâh,اله
ilâhe,الهه
ilâhî,الهی
ilâhî,الهی
ilâhiyyât,الهيات
i'lâm,اعلام
i'lân,اعلان
ilânihâye,الی نهایه
ilâvât,علاوات
ilâve,علاوه
ilâveten,علاوة
ilel,علل
ilelebed,الی الابد
ilelebet,الى‌الابد
ilgâ,الغا
ilhâd,الحاد
ilhâk,الحاق
ilhâm,الهام
ilhâmât,الهامات
ilim,علم
ilkâ,القا
ilkâh,القاح
illâ,الا
illet,علت
illî,علی
illiyyet,عليت
ilm,علم
ilmî,علمی
ilmiyye,علميه
ilsâk,الصاق
iltibâs,التباس
ilticâ,التجا
ilticâgâh,التجاگاه
iltifat,التفات
iltihâb,التهاب
iltihak,التحاق
iltihâm,التهام
iltikâm,التقام
iltimâs,التماس
iltisâk,التصاق
iltiyâm,التيام
iltizâm,التزام
iltizâz,التذاذ
ilzâm,الزام
îmâ,ایما
imâd,عماد
i'mâl,اعمال
imâle,اماله
imâm,امام
îmân,ایمان
i'mâr,اعمار
imâret,عمارت
imdâd,امداد
imhâ,امحا
imkân,امکان
imlâ,املا
imlâ,املاء
imrâr,امرار
imsâk,امساک
imsâkiyye,امساکيه
imtihân,امتحان
imtinâ,امتناع
imtisâl,امتثال
imtiyâz,امتياز
imtizâc,امتزاج
în,این
inâd,عناد
in'âm,انعام
inân,عنان
inâre,اناره
inâyât,عنایات
inâyet,عنایت
inbisât,انبساط
incizâb,انجذاب
ind,عند
indî,عندی
indifâ,اندفاع
ineb,عنب
infâk,انفاق
infâz,انفاذ
infiâl,انفعال
infihâm,انفهام
infikâk,انفكاك
infikâk,انفکاک
infilâk,انفلاق
infirâd,انفراد
infisâd,انفساد
infisâl,انفصال
inhibât,انهباط
inhidâm,انهدام
inhilâl,انحلال
inhimâk,انهماک
inhinâ,انحنا
inhirâf,انحراف
inhisâf,انخساف
inhisâr,انحصار
inhitat,انحطاط
inhizâm,انهزام
in'ikâd,انعقاد
in'ikâs,انعكاس
in'ikâs,اهعکاس
in'itâf,انعطاف
in'izâl,انعزال
inkâr,انکار
inkılâb,انقلاب
inkıtâ,انقطاع
inkıyâd,انقياد
inkızâ,انقضا
inkibâz,انقباض
inkirâz,انقراض
inkisâm,انقسام
inkisâr,انکسار
inkişâf,انکشاف
insâf,انصاف
insânî,انسانی
insaniyu'l-merkez,انسانی المرکز
insâniyyet,انسانيت
insicâm,انسجام
insidâd,انسداد
insikâb,انسقاب
insiyâk,انسياق
insiyâkî,انسياقی
insücin,انس و جن
inşâ,انشا
inşiâb,انشعاب
inşikâk,انشقاق
inşirâh,انشراح
intâc,انتاج
intâk,انطاق
intânî,انتانی
intibâ,انطباع
intibâh,انتباه
intibâk,انطباق
intifâ,انطفا
intifâ',انتفاع
intihâ,انتها
intihâb,انتخاب
intihâbât,انتخابات
intihâl,انتحال
intihâr,انتحار
intihaz,انتهاز
intikâd,انتقاد
intikâl,انتقال
intikâm,انتقام
intikâmcû,انتقام جو
intikaş,انتقاش
intisâb,انتساب
intişâr,انتشار
intizâ',انتزاع
intizâm,انتظام
intizamperver,انتظام پرور
intizâr,انتظار
inzâl,انزال
inzibât,انضباط
inzimâm,انضمام
inzivâ,انزوا
inzivagâh,انزواگاه
iplik,اپلك
iprenmek,اپرنمك
ipretmek,اپرتمك
ipsid,اپسد
ipsid,اپسيد
iptida,ابتدا
iptidar,ابتدار
iptihaç,ابتهاج
iptila,ابتلا
iptisam,ابتسام
îrâd,ایراد
irâde,اراده
irâdet,ارادت
irâ'e,ارائه
îrânî,ایرانی
i'râz,اعراض
ircâ',ارجاع
irfân,عرفان
irfanperver,عرفان پرور
irs,ارث
irsâl,ارسال
irsen,ارثا
irsî,ارثی
irsiyyet,ارثيت
irşâd,ارشاد
irtiâş,ارتعاش
irtibât,ارتباط
irticâ,ارتجاع
irticakâr,ارتجاعکار
irticâlen,ارتجالا
irtidâd,ارتداد
irtifâ,ارتفاع
irtihâl,ارتحال
irtikâ,ارتقا
irtikâb,ارتکاب
irtişâ,ارتشا
irtizâk,ارتزاق
irzâ,ارضا
irzâ',ارضاع
isâbet,اصابت
is'âd,اصعاد
isâet,اسائت
îsâl,ایصال
isâle,اساله
is'âr,اسعار
isbât,اثبات
îsevî,عيسوی
îseviyyet,عيسویت
isfenc,اسفنج
ishâl,اسهال
iskân,اسکان
iskat,اسقاط
iskât,اسکات
islâm,اسلام
islâmiyyet,اسلاميت
ism,اثم
ism,اسم
ismet,عصمت
isnâ'aşer,اثنی عشر
isnâd,اسناد
isneyn,اثنين
ispat,اثبات
isrâf,اسراف
issare,اثاره
İstanbul,استانبول
istî'âb,استيعاب
istiâne,استعانه
istib'âd,استبعاد
istibdâd,استبداد
istibdâdkâr,استبدادکار
isticâbet,استجابت
isti'câl,استعجال
istid'â,استدعا
istîdâd,استعداد
istid'ânâme,استدعانامه
istidlâl,استدلال
isti'fâ,استعفا
istifâdebahş,استفاده بخش
istifhâm,استفهام
istifrâğ,استفراغ
istigâse,استغاثه
istiğnâ,استغنا
istiğrâk,استغراق
istihâle,استحاله
istihâre,استخاره
istihâse,استحاثه
istihbâr,استخبار
istihbârât,استخبارات
istihdâf,استهداف
istihdâm,استخدام
istihfâf,استخفاف
istihfâfkâr,استخفافکار
istihkak,استحقاق
istihkâm,استحکام
istihkâr,استحقار
istihlâk,استهلاک
istihmâm,استحمام
istihrâc,استخراج
istihsâl,استحصال
istihsân,استحسان
istihyâ,استحيا
istihzâ,استهزا
istihzâr,استحضار
isti'kâf,اسعکاف
istikâmet,استقامت
istikbâh,استقباح
istikbâl,استقبال
istikbâr,استکبار
istikfâf,استکفاف
istiklâl,استقلال
istikmâl,استکمال
istikrâh,استکراه
istikrâr,استقرار
istikrâz,استقراض
istikşâf,استکشاف
istîlâ,استيلا
isti'lâm,استعلام
istilzâm,استلزام
istimâ',استماع
isti'mâl,استعمال
istimdâd,استمداد
istimhâl,استمهال
istimlâk,استملاک
istimnâ',استمناء
istimrâr,استمرار
istinâd,استناد
istinâden,استنادا
istinadgâh,استنادگاه
istînâf,استيناف
istinbât,استنباط
istinkâf,استنکاف
istinşâk,استنشاق
istintâk,استنطاق
istirâhat,استراحت
istirdâd,استرداد
istirhâm,استرحام
istirhamkâr,استرحامکار
istiskâ,استسقا
istiskâl,استثقال
istisnâ,استثنا
istisnâ'î,استثنائی
istişâre,استشاره
istişhâd,استشهاد
istitâat,استطاعت
istitâr,استتار
istitrâden,استطرادا
istivâ,استوا
istiz'âf,استضعاف
istîzâh,استيضاح
istîzân,استيذان
isyân,عصيان
îş,عيش
işâa,اشاعه
iş'âr,اشعار
işârât,اشارات
işâret,اشارت
işâreten,اشارة
işbâ',اشباع
işgâl,اشغال
işhâd,اشهاد
işkence,اشکنجه
işmi'zâz,اشمئزاز
işrâk,اشراق
işrâkî,اشراقی
işret,عشرت
işrîn,عشرین
işti'âl,اشتعال
iştibâh,اشتباه
iştigâl,اشتغال
iştihâ,اشتها
iştihâengîz,اشتها انگيز
iştihâr,اشتهار
iştikâk,اشتقاق
iştimâl,اشتمال
iştirâ,اشترا
iştirâk,اشتراک
iştirâkiyye,اشتراکيه
iştiyâk,اشتياق
işve,عشوه
işvebâz,عشوه باز
işveger,عشوه گر
işvekâr,عشوه کار
i'tâ,اعطا
itâat,اطاعت
itab,اتعاب
itâb,عتاب
i'tâk,اعتاق
itâle,اطاله
it'âm,اطعام
itbâ,اتباع
itfâ,اطفا
itfâiyye,اطفائيه
ithaf,اتحاف
ithâf,اتحاف
itham,اتهام
ithâm,اتهام
itibâr,اعتبار
itibâren,اعتبارا
itibârî,اعتباری
i'tidâl,اعتدال
itikâd,اعتقاد
itikâdât,اعتقادات
itikadiyât,اعتقادیات
i'tikâf,اعتکاف
i'tilâ,اعتلا
itilâf,ائتلاف
itilafkâr,ائتلافکار
itimâd,اعتماد
itimâden,اعتمادا
itimâdnâme,اعتمادنامه
itinâ,اعتنا
itinakâr,اعتناکار
itirâf,اعتراف
itisâf,اعتساف
itiyâd,اعتياد
i'tizâl,اعتزال
i'tizâr,اعتذار
itkân,اتقان
itlaf,اتلاف
itlâf,اتلاف
itmam,اتمام
itmâm,اتمام
itmînân,اطمينان
ittiba,اتباع
ittibâ,اتباع
ittibâen,اتباعا
ittifak,اتفاق
ittifâk,اتفاق
ittifâken,اتفاقا
ittifaki,اتفاقى
ittifâkî,اتفاقی
ittihad,اتحاد
ittihâd,اتحاد
ittihâm,اتهام
ittihaz,اتخاذ
ittihâz,اتخاذ
ittikâ,اتكا
ittikâ,اتکا
ittikâl,اتكال
ittikan,اتقان
ittisâ,اتساع
ittisaf,اتصاف
ittisal,اتصال
ittisâl,اتصال
ityan,اتيان
ityân,اتيان
ivaz,عوض
ivazan,عوضا
i'vicâc,اعوجاج
iyâbüzihâb,عياب و ذهاب
iyâl,عيال
iyân,عيان
izâbe,اذابه
iz'âc,ازعاج
izâe,اضائه
iz'âf,اضعاف
izâfe,اضافه
izâfet,اضافت
izâfeten,اضافة
izâfî,اضافی
izâfiyyet,اضافيت
îzâh,ایضاح
îzâhât,ایضاحات
îzâhen,ایضاحا
izâle,ازاله
izâm,عظام
i'zâm,اعزام
iz'ân,اذعان
izâr,ازار
izâr,عذار
i'zâz,اعزاز
izdihâm,ازدحام
izdivâc,ازدواج
izdiyâd,ازدیاد
îzed,ایزد
izhâr,اظهار
izin,اذن
izkâr,اذکار
izlâl,اذلال
izmihlâl,اضمحلال
izn,اذن
izz,عز
izzet,عزت
jâj,ژاژ
jâjhây,ژاژخای
jâle,ژاله
jeng,ژنگ
jengâr,ژنگار
jerf,ژرف
jerfâ,ژرفا
jerfbîn,ژرف بين
jinde,ژنده
jindepûş,ژنده پوش
jiyân,ژیان
jülîde,ژوليده
kabâ,قبا
kabahat,قباحت
kabâih,قبائح
kabâil,قبائل
kabîh,قبيح
kabîl,قبيل
kâbil,قابل
kabîle,قبيله
kâbile,قابله
kâbiliyet,قابليت
kâbiliyyât,قابليات
kabir,قبر
kabl,قبل
kablelmîlad,قبل الميلاد
kablettârih,قبل التاریخ
kablettarihî,صبل التاریخی
kabr,قبر
kabristan,قبرستان
kabul,قبول
kabz,قبض
kabza,قبضه
kad,قد
kadd,قد
kadeh,قدح
kadem,قدم
kademe,قدمه
kader,قدر
kadh,قدح
kadı,قاضی
kadid,قدید
kâdilkudât,قاضی القضات
kadim,قدیم
kadîmen,قدیما
kadîr,قدیر
kâdir,قادر
kadirdân,قدردان
kadirşinâs,قدرشناس
kadr,قدر
kadrdân,قدردان
kadrşinâs,قدرشناس
kâfile,قافله
kafiyeperdâz,قافيه پرداز
kahbe,قحبه
kâhir,قاهر
kahpe,قحبه
kaht,قحط
kâid,قائد
kâide,قاعده
kâideten,قاعدة
kâil,قائل
kâim,قائم
kâime,قائمه
kâimmakam,قائم مقام
kâl,قال
kâlıb,قالب
kaliçe,قاليچه
kâmet,قامت
kamus,قاموس
kâni,قانع
kanun,قانون
kanunî,قانونی
kâri',قارء
kâria,قارئه
kâri'în,قارئين
karûre,قاروره
kâsid,قاصد
kâtıbeten,قاطبة
kâti',قاطع
katil,قتل
kâtil,قاتل
katl,قتل
kâzî,قاضی
kıbâb,قباب
kıbel,قبل
kıble,قبله
kıbtî,قبطی
kıdem,قدم
kıdve,قدوه
kırâat,قرائت
kırâathâne,قرائت خانه
kıtal,قتال
kubh,قبح
kubûr,قبور
kudemâ,قدما
kudret,قدرت
kudsî,قدسی
kudsiyân,قدسيان
kudsiyet,قدسيت
kudsiyetşiken,قدسيت شکن
kudûm,قدوم
kudûmzen,قدوم زن
kurâ,قراء
kurrâ,قراء
mahvuispat,محوواثبات
meşveret,مشورت
nev'an mâ,نوعا ما
neve,نوه
nevid,نوید
nevin,نوین
nevm,نوم
nevmîd,نوميد
nevnihal,نونهال
neyistan,نيستان
neyzâr,نيزار
neyzen,نيزن
nîk,نيک
nikbin,نيکبين
nilgun,نيلگون
nîm,نيم
nîm cahilî,نيم جاهلی
nîm muzlim,نيم مظلم
nîm resmî,نيم رسمی
nîreng,نيرنگ
niyâbet,نيابت
niyâm,نيام
niyâz,نياز
niyâzmend,نيازمند
niyyet,نيت
nîze,نيزه
nüve,نوه
nüvid,نوید
nüvîs,نويس
o,اول
ol,اول
olmak,اولمق
ölmek,اولمك
ömr,عمر
örf,عرف
örfen,عرفا
örfî,عرفی
örfiyyât,عرفيات
öşr,عشر
özr,عذر
özrhâh,عذرخواه
pâ,پا
pâbend,پابند
pâbercâ,پابرجا
pâberikâb,پابرکاب
pâbeste,پابسته
pâbirehne,پابرهنه
pâbûsî,پابوسی
pâcâme,پاجامه
pâçe,پاچه
pâdşâh,پادشاه
pâdşâhî,پادشاهی
pâdzehr,پادزهر
paha,بها
pâk,پاک
pâkbâz,پاکباز
pâkdâmen,پاک دامن
pâki,پاكى
pâkîze,پاکيزه
pâlân,پالان
pâlânduz,پالان دوز
pâmâl,پامال
pâpûş,پاپوش
pârçe,پارچه
pâre,پاره
pars,پارس
pars,پارس
pârsâ,پارسا
pârsî,پارسی
pâsban,پاسبان
pâş,پاش
pây,پای
pâyân,پایان
pâybend,پایبند
pâybûsî,پایبوسی
pâydâr,پایدار
pâye,پایه
pâyende,پاینده
pâyidar,پایدار
pâyin,پایين
pâyitaht,پایتخت
pâyîz,پایيز
pâykûb,پایکوب
pâzâr,بازار
peder,پدر
pederâne,پدرانه
pederî,پدری
pederşâhî,پدرشاهی
pehlevân,پهلوان
pehlû,پهلو
pehn,پهن
pehnâver,پهناور
pejmürde,پژمرده
pelas,پلاس
peleng,پلنگ
pelîd,پليد
penah,پناه
penahgâh,پناهگاه
penâhî,پناهی
penbe,پناهی
penc,پنج
pence,پنجه
pencüdü,پنج و دو
pencüse,پنج و سه
pencüyek,پنج و یک
pençe,پنجه
pend,پند
pendname,پندنامه
penîr,پنير
per,پر
perakende,پراکنده
perçem,پرچم
perdedar,پرده دار
perend,پرند
perende,پرنده
perest,پرست
perestâr,پرستار
perestîde,پرستيده
perestiş,پرستش
perestişgâh,پرستش
perestişkâr,پرستشکار
perestişkârâne,پرستشکارانه
perestû,پرستو
pergâl,پرگال
pergâr,پرگار
perhizkâr,پرهيزکار
perîçihre,پری چهره
perihan,پری خان
perîpeyker,پری پيکر
perîşan,پریشان
perîşanhal,پریشان حال
perîveş,پری وش
perniyân,پرنيان
pertev,پرتو
pertevsuz,پرتوسوز
pervâ,پروا
pervâne,پروانه
pervâneveş,پروانه وش
pervâsız,پرواسز
pervaz,پرواز
perver,پرور
perverdigâr,پروردگار
pervin,پروین
pes,پس
pesend,پسند
pesendîde,پسندیده
pesmânde,پس مانده
peszinde,پس زنده
peşîman,پشيمان
peşin,پيشين
peşm,پشم
peşşe,پشه
peşşebend,پشه بند
peştemal,پشتمال
peyâm,پيام
peyamber,پيامبر
peydâ,پيدا
peyderpey,پی در پی
peygam,پيغام
peygamber,پيغمبر
peyk,پيک
peykân,پيکان
peykar,پيكار
peyke,پيکه
peyker,پيکر
peymâ,پيما
peymâne,پيمانه
peyrev,پيرو
pınar,پيڭار
pırlangıç,پرلانغيچ
pîl,پيل
pinhan,پنهان
pîr,پير
pîrahen,پيراهن
pîrâye,پيرایه
pîrezen,پيره زن
pistan,پستان
piste,پسته
pîş,پيش
pîşânî,پيشانی
pîşdar,پيشدار
pîşe,پيشه
pîşekâr,پيشه کار
pîşgâh,پيشگاه
pîşgîr,پيشگير
pîşîn,پيشين
pîşva,پيشوا
piyâde,پياده
piyâle,پياله
post,پست
postîn,پستين
postnişin,پست نشي ن
pûd,پود
puhte,پخته
pul,پول
pûlâd,پولاد
pulat,پولاد
pur,پر
pûr,پور
pûş,پوش
pûşîde,پوشيده
pûte,پوته
pûyân,پویان
pûziş,پوزش
pür,پر
pürhûn,پرخون
pürsükût,پرسکوت
pürz,پرز
püser,پسر
püşt,پشت
püştîban,پشتيبان
rabb,رب
rabbânî,ربانی
rabbî,ربی
râbıta,رابظه
râbıtadar,رابطه دار
râbi,رابع
râbian,رابعا
rabt,ربط
râci,راجی
râci',راجع
racîm,رجيم
ra'd,رعد
radde,راده
rağbet,رغبت
râh,راه
râhib,راهب
rahîm,رحيم
rahl,رحل
rahm,رحم
rahm,رحم
rahman,رحمان
rahmet,رحمت
râhname,راهنامه
rahne,رخنه
rahnüma,راهنما
rahşan,رخشان
rahşende,رخشنده
raht,رخت
rahvar,راهوار
râhzen,راهزن
raiyyet,رعيت
râkım,راقم
rakîb,رقيب
râkib,راکب
râkiben,راکبا
râkid,راکد
rakik,رقيق
rakkas,رقاص
rakkase,رقاصه
raks,رقص
râm,رام
ramak,رمق
ramazaniye,رمضانيه
ra'nâ,رعنا
rasad,رصد
rasadhane,رصدخانه
rasadî,رصدی
râsih,راسخ
rassad,رصاد
râst,راست
râstbin,راست بين
râstgû,راست گو
râstperverâne,راست پرورانه
ra'şe,رعشه
ra'şedâr,رعشه دار
ratbüyâbis,رطب و یابس
râtib,راطب
râtibe,راتبه
ratl,رطل
rauf,رؤف
râvi,راوی
ravza,روضه
rây,رای
râyât,رایات
rayb,ریب
râyet,رایت
râygân,رایگان
râyic,رایج
râyiha,رایحه
râyihadar,رایحه دار
râz,راز
râzık,رازق
râzi,راضی
reâya,رعایا
rebî',ربيع
recâ,رجا
recm,رجم
recül,رجل
recüliyyet,رجليت
redd,رد
ref',رفع
refâh,رفاه
refâkat,رفاقت
re'fet,رأفت
reff,رف
refî',رفيع
refik,رفيق
refîka,رفيقه
reft,رفت
reftâr,رفتار
reg,رگ
regzen,رگ زن
reh,ره
rehâ,رها
rehâkâr,رهاکار
rehavet,رخاوت
rehavetkâr,رخاوتکار
rehber,رهبر
rehgüzâr,رهگذار
rehîn,رهين
rehn,رهن
rehnüma,رهنما
reis,رئيس
rekâket,رکاکت
rekz,رکز
remîde,رميده
remiz,رمز
reml,رمل
remmal,رمال
remz,رمز
renc,رنج
rencber,رنجبر
rencîde,رنج دیده
rencûr,رنجور
reng,رنگ
rengâreng,رنگارنگ
rengin,رنگين
re's,رأس
resâ,رسا
resâil,رسائل
re'sen,رأسا
resm,رسم
resmen,رسما
resmiyyet,رسميت
resul,رسول
re'sülmal,رأس المال
reşehat,رشحات
reşid,رشيد
reşk,رشک
reşkâver,رشک آور
retküfetk,رتق و فتق
revâ,روا
revâbıt,روابط
revac,رواج
revak,رواق
revân,روان
reviş,روش
revnak,رونق
revnakbahş,رونق بخش
revnakdar,رونقدار
revzen,روزن
re'y,رأی
re'y,رأی
reyhan,ریحان
rez,رز
rezâil,رذائل
rezâlet,رذالت
rezzak,رزاق
rıdvan,رضوان
rıhlet,رحلت
rızâ,رضا
rızk,رزق
riâyet,رعایت
riâyetkâr,رعایتکار
ribâ,ربا
ribâhar,رباخوار
ribat,رباط
ricakâr,رجاکار
ricâl,رجال
ric'at,رجعت
ridâ,ردا
rie,رئه
rihlet,رحلت
rikâb,ركاب
rikâb,رکاب
rikkat,رقت
rind,رند
rîş,ریش
rîşdâr,ريشدار
rîşe,ریشه
rîşhand,ریشخند
rişvet,رشوت
rivâyât,روایات
rivâyet,روایت
riyâ,ریا
riyâkâr,ریاکار
riyâkârâne,ریاکارانه
riyâset,ریاست
riyâz,ریاض
riyâzet,ریاضت
riyâzî,ریاضی
riyâziyat,ریاضيات
