âbâ,eo6bu1ec
istifsâr,eu4so0bo2u4fo1o0so4ero0
istiğfâr,eu4so0bo2u4ao1o0fo1o4ero0
istiğnâ,eu4so0bo2u4ao1o0bo1o4e
istiğnâ-yı kemâl,eu4so0bo2u4ao1o0bo1o4ebu2u4 ko4mo4elo0
istiğnâ-yı mutlak,eu4so0bo2u4ao1o0bo1o4ebu2u4 mo9to0lo4fo2o0
istiğnâ-yı zâtî,eu4so0bo2u4ao1o0bo1o4ebu2u4 do1o4ebo2u4bu2
istiğrâk,eu4so0bo2u4ao1o0ro4efo2o0
istihâle,eu4so0bo2u4xo4elo4h
istihdâf,eu4so0bo2u4ho0do4efo1o0
istihdâm,eu4so0bo2u4xo1o0do4emo0
istihfâf,eu4so0bo2u4xo1o0fo1o4efo1o0
istihsâl,eu4so0bo2u4xo0zo4elo0
istihsân,eu4so0bo2u4xo0so4ebo1o0
istihzâ,eu4so0bo2u4ho0ro1o4e
istikĀmet,eu4so0bo2u4fo2o4emo4bo2o0
istikbâl,eu4so0bo2u4fo2o0bu1o4elo0
istikbâl,eu4so0bo2u4fo2o0bu1o4elo0
istikbâl-i dünyevî,eu4so0bo2u4fo2o0bu1o4elu4 do9bo1o0bu2o4wu4bu2
istiklâl,eu4so0bo2u4fo2o0lo4elo0
istikrâ,eu4so0bo2u4fo2o0ro4e
istikamet,eu4so0bo2u4fo2o4emo4bo2o0
istîlâ,eu4so0bo2bu2lo4e
istilzâm,eu4so0bo2u4lo0ro1o4emo0
isti'mâl,eu4so0bo2u4ao0mo4elo0
istimrâr,eu4so0bo2u4mo0ro4ero0
istinâbe,eu4so0bo2u4bo1o4ebu1o4h
istinâden,eu4so0bo2u4bo1o4edo44e
istînâs,eu4so0bo2u4bu2bo1o4eso0
istinkâf,eu4so0bo2u4bo1o0ko4efo1o0
istinsâh,eu4so0bo2u4bo1o0so4exo1o0
istintâk,eu4sbo2u4bo1o0to4efo2o0
istirâhat,eu4so0bo2u4ro4exo4bo2u4
istirhâm,eu4so0bo2u4ro0xo4emo0
istîzâh,eu4so0bo2bu2zo1o4exo0
iş'âr,eu4so3o0ao4ero0
işâreten,eu4so3o4ero4bo2o44e
işâret-i gaybiye,eu4so3o4ero4bo2u4 ao1o4bu2o0bu1u4bu2o4h
işârî,eu4so3o4erbu2
işgüzâr,eu4bu2so3o0ko7o9do1o4ero0
işkâl,eu4so3o0ko4elo0
işret,au4so3o0ro4bo2o0
iştiâl,eu4so3o0bo2u4ao4elo0
iştigĀl,eu4so3o0bo2u4ao1o4elo0
iştihâr,eu4so3o0bo2u4ho4ero0
iştirâk,eu4so3o0bo2u4ro4eko0
iştirâk-i emvâl,eu4so3o0bo2u4ro4eku4 eo4mo0wo4elo0
iştirâk-i a'mâl,eu4so3o0bo2u4ro4eku4 eo4ao0mo4elu4
iştirâk-i a'mâl-i uhreviye,eu4so3o0bo2u4ro4eku4 eo4ao0mo4elu4  eo9xo1o0ro4wu4bu2o4h
iştiyâk,eu4so3o0bo2u4bu2o4efo2o0
işareten,eu4so3o4ero4bo2o44e
i'tâ,eu4ao0to4e
itâb-ı nâs,au4bo2o4ebu1u4 bo1o4eso0
itfâ,eu4to0fo1o4e
ithâm,eu4bo2o0ho4emo0
ithâmnâme,eu4bo2o0ho4emo0bo1o4emo4h
i'tibârî,eu4ao0bo2u4bu1o4erbu2
i'tidâl,eu4ao0bo2u4do4elo0
i'tikĀd,eu4ao0bo2u4fo2o4edo0
i'tikad,eu4ao0bo2u4fo2o4edo0
i'timâd,eu4ao0bo2u4mo4edo0
i'tirâznâme,eu4ao0bo2u4ro4ezo1o0bo1o4emo4h
itlâf,eu4bo2o0lo4efo1o0
itmâm,eu4bo2o0mo4emo0
itmi'nân,eu4to0mu4bo5o0bo1o4ebo1o0
itmam,eu4bo2o0mo4emo0
ittifâk,eu4bo2u4o8fo1o4efo2o0
ittihâd-ı hakîkî,eu4bo2u4o8xo4edu4 xo4fo2bu2fo2bu2
ittihâd-ı sikke,eu4bo2u4o8xo4edu4 su4ko4o8h
ittihâz,eu4bo2u4o8xo1o4edo1o0
ittisâl,eu4bo2u4o8zo4elo0
ittisĀl,eu4bo2u4o8zo4elo0
îzâh,ebu2zo1o4exo0
îzâhât,ebu2zo1o4exo4ebo2o0
izâle,eu4ro1o4elo4h
i'zâm,eu4ao0to1o4emo0
iz'ân,eu4do1o0ao4ebo1o0
izdihâm,eu4ro1o0du4xo4emo0
izhâr,eu4to1o0ho4ero0
izhâr-ı hâcet,eu4to1o0ho4eru4 xo4exu1o4bo2o0
izn-i ilâhî,eu4do1o0bo1u4 eu4lhbu2
izzet,au4ro1o4o8bo2o0
izzet-i celâl,au4ro1o4o8bo2u4 xu1o4lo4elo0
izzet-i îmân,au4ro1o4o8bo2u4 eu4bu2mo4ebo1o0
jurnal,ro3o4wro0bo1o4elo0
kĀbîl,fo2o4ebu1u4lo0
kĀdir,fo2o4edu4ro0
kĀdir,fo2o4edu4ro0
kâffe,ko4efo1o4o8h
kâfî,ko4efo1bu2
kâfir,ko4efo1u4ro0
kâhin,ko4ehu4bo1o0
kĀide,fo2o4eau4do4h
kâinât,ko4ebo5u4bo1o4ebo2o0
kĀl,fo2o4elo0
kâmil,ko4emu4lo0
kâmilîn,ko4emu4lu4bu2bo1o0
kâmilîn-i nev'-i beşer,ko4emu4lbu2bo1u4 bo1o4wo0au4 bu1o4so3o4ro0
kĀnûnî,fo2o4ebo1o9wbo1u4bu2
kĀnûn-u emrî,fo2o4ebo1o9wbo1o9 eo4mo0rbu2
kĀnûn-u kerem,fo2o4ebo1o9wbo1o9 ko4ro4mo0
kâşif,ko4eso3u4fo1o0
kâtib,ko4ebo2u4bu1o0
kâtibîn-i kirâm,ko4ebo2u4bu1bu2bo1u4 ku4ro4emo0
kebîr,ko4bu1bu2ro0
kefe-i mîzân,ko4fo1o4u4 mu4bu2ro1o4ebo1o0
kefeteyn-i havf u reca,ko4fo1o4bo2o4bu2o0bo1u4 xo1o4wo0fo1o9 w ro4xu1o4e
keffâret,ko4fo1o4o8ero4bo2o0
kehkeşân,ko4ho0ko4so3o4ebo1o0
kehribâr,ko4ho0ru4bu1o4ero0
kelâm,ko4lo4emo0
kelâm,ko4lo4emo0
kemâl,ko4mo4elo0
kemâlât,ko4mo4elo4ebo2o0
kemâlî,ko4mo4elbu2
kemâl-i ciddiyet,ko4mo4elu4 xu1u4du4o8bu2o4bo2o0
kemâl-i evsâf,ko4mo4elu4 eo4wo0zo4efo1o0
kemâl-i ferah ve saâdet,ko4mo4elu4 fo1o4ro4xo0 wo4 so4ao4edo4bo2o0
kemâl-i fahr,ko4mo4elu4 fo1o4xo1o0ro0
kemâl-i hikmet,ko4mo4elu4 xu4ko0mo4bo2o0
kemâl-i hilkat,ko4mo4elu4 xo1u4lo0fo2o4bo2o0
kemâl-i hürmet,ko4mo4elu4 xo9ro0mo4bo2o0
kemâl-i hulûs ve iştiyâk,ko4mo4elu4 xo1o9lo9wzo0 wo4 eu4so3o0bo2u4bu2o4efo2o0
kemâl-i iftihâr,ko4mo4elu4 eu4fo1o0bo2u4xo1o4ero0
kemâl-i ihtirâm,ko4mo4elu4 eu4xo0bo2u4ro4emo0
kemâl-i ilmî,ko4mo4elu4 au4lo0mbu2
kemâl-i îmân,ko4mo4elu4 ebu2mo4ebo1o0
kemâl-i imtiyâz,ko4mo4elu4 eu4mo0bo2u4bu2o4ero1o0
kemâl-i intizâm,ko4mo4elu4 eu4bo1o0bo2u4to1o4emo0
kemâl-i intizĀm,ko4mo4elu4 eu4bo1o0bo2u4to1o4emo0
kemâl-i iştiyâk,ko4mo4elu4 eu4so3o0bo2u4bu2o4efo2o0
kemâl-i iştiyâk,ko4mo4elu4 eu4so3o0bo2u4bu2o4efo2o0
kemâl-i kerem,ko4mo4elu4 ko4ro4mo0
kemâl-i kudret,ko4mo4elu4 fo2o9do0ro4bo2o0
kemâl-i merhamet,ko4mo4elu4 mo4ro0xo4mo4bo2o0
kemâl-i metânet,ko4mo4elu4 mo4bo2o4ebo1o4bo2o0
kemâl-i me'yûsiyet,ko4mo4elu4 mo4eo5o0bu2o9wsu4bu2o4bo2o0
kemâl-i mîzân,kmo4eo4lu4 mbu2ro1o4ebo1o0
kemâl-i muhabbet,ko4mo4elu4 mo9xo4bu1o4o8bo2o0
kemâl-i mutlak,ko4mo4elu4 mo9to0lo4fo2o0
kemâl-i muvâzene,ko4mo4elu4 mo9wo4ero1o4bo1o4h
kemâl-i rızâ,ko4mo4elu4 ru4zo1o4e
kemâl-i rahmet,ko4mo4elu4 ro4xo0mo4bo2o0
kemâl-i sıfât,ko4mo4elu4 zu4fo1o4ebo2o0
kemâl-i suhûlet,ko4mo4elu4 so9ho9wlo4bo2o0
kemâl-i sabır,ko4mo4elu4 zo4bu1u4ro0
kemâl-i sadâkat,ko4mo4elu4 zo4do4efo2o4bo2o0
kemâl-i şevk,ko4mo4elu4 so3o4wo0fo2o0
kemâl-i teslîmiyet,ko4mo4elu4 bo2o4so0lbu2mu4bu2o4bo2o0
kemâl-i taaccüb,ko4mo4elu4 bo2o4ao4xu1o9o8bu1o0
kemâl-i vuzûh,ko4mo4elu4 wo9zo1o9wxo0
kemâl-i acz,ko4mo4elu4 ao4xu1o0ro1o0
kemâl-i adâlet,ko4mo4elu4 ao4do4elo4bo2o0
kemâl-i zâtî,ko4mo4elu4 do1o4ebo2bu2
kemâl-i zat,ko4mo4elu4 do1o4ebo2o0
kemâl-i zaaf,ko4mo4elu4 zo1o4ao4fo1o0
kemiyet,ko4mu4bu2o4bo2o0
kemmen,ko4mo44o8e
kemter,ko4mo0bo2o4ro0
kerâhet,ko4ro4eho4bo2o0
kerâmet-i esrâr-ı kur'âniye,ko4ro4emo4bo2u4 eo4so0ro4eru4 fo2o9ro0ebo1u4bu2o4h
kerâmet-i aleviye,ko4ro4emo4bo2u4 ao4lo4wu4bu2o4h
kerâmet-i zĀhire,ko4ro4emo4bo2u4 to1o4ehu4ro4h
kerem,ko4ro4mo0
kerem-i ilâhî,ko4ro4mu4 eu4lhbu2
kerîm,ko4rbu2mo0
kerîm-i mutlak,ko4rbu2mu4 mo9to0lo4fo2o0
kerîm-i rahîm,ko4ru4bu2mu4 ro4xu4bu2mo0
kerr u fer,ko4ro9o8 w fo1o4ro0
kerrât,ko4ro4o8ebo2o0
kesâfet,ko4bo3o4efo1o4bo2o0
kesb,ko4so0bu1o0
kesb-i teşahhus-u şöhret,ko4so0bu1u4 bo2o4so3o4xo1o9o8zo9 so3o9ho0ro4bo2o0
kesîf,ko4bo3bu2fo1o0
kesîr,ko4bo3u4bu2ro0
kesret,ko4bo3o0ro4bo2o0
kesret-i mutlaka,ko4bo3o0ro4bo2u4 mo9to0lo4fo2o4h
kesafet,ko4bo3o4efo1o4bo2o0
keşfen,ko4so3o0fo1eo44
keşfî,ko4so3o0fo1bu2
keşf-i sahîh,ko4so3o0fo1u4 zo4xu4bu2xo0
keşif,ko4so3u4fo1o0
keşmekeş,ko4so3o0mo4ko4so3o0
keşşâf,ko4so3o4o8efo1o0
kevn ü mekân,ko4wbo1o9 w mo4ko4ebo1o0
kevnî,ko4wo0bo1bu2
kevser-i kur'ânî,ko4wo0bo3o4ru4 fo2o9ro0eo6bo1u4bu2
keyfen,ko4bu2o0fo1o44e
keyfiyet,ko4bu2o0fo1u4bu2o4bo2o0
keyfiyeten,ko4bu2o0fo1u4bu2o4bo2o44e
kısâs,fo2u4zo4ezo0
kısm-ı a'zam,fo2u4so0mu4 eo4ao0to1o4mo0
kışır,fo2u4so3u4ro0
kışr-ı zâhirî,fo2u4so3o0ru4 to1o4ehu4rbu2
kıt'a,fo2u4to0ao4h
kıyâm,fo2u4bu2o4emo0
kıyâm,fo2u4bu2o4emo0
kıyâmet-i kübrâ,fo2u4bu2o4emo4bo2u4 ko9bu1o0ro4e
kıyâm-ı avâm,fo2u4bu2o4emu4 ao4wo4emo0
kıyâsen,fo2u4bu2o4eso44e
kıyâs-ı binnefs,fo2u4bu2o4esu4 bu1u4elbo1o4o8fo1o0so0
kıyâs-ı temsîlî,fo2u4bu2o4esu4 bo2o4mo0bo3u4bu2lu4bu2
kıyâs-ı adlî,fo2u4bu2o4esu4 ao4do0lu4bu2
kıymetdar,fo2bu2mo4bo2o0do4ero0
kıyamet-i umumiye,fo2u4bu2emo4bo2u4 ao9mo9wmu4bu2o4h
kıyye,fo2u4bu2o4o8h
kifâyet,ku4fo1o4ebu2o4bo2o0
kile,kbu2lo4h
kinâye,ku4bo1o4ebu2o4h
kisve,ku4so0wo4h
kisve-i ilmiye,ku4so0wo4u4 au4lo0mu4bu2o4h
kitâbet,ku4bo2o4ebu1o4bo2o0
kitâbeten,ku4bo2o4ebu1o4bo2o44e
kitâbet-i kudret,ku4bo2o4ebu1o4bo2u4 fo2o9do0ro4bo2o0
kitâb-ı kebîr,ku4bo2o4ebu1u4 ko4bu1u4bu2ro0
kitâb-ı kebîr-i âlem,ku4bo2o4ebu1 ko4bu1u4bu2ru4 ao4elo4mo0
kitâb-ı mübîn,ku4bo2o4ebu1u4 mo9bu1u4bu2bo1o0
kitâb-ı mübîn,ku4bo2o4ebu1u4 mo9bu1bu2bo1o0
kitâb-ı rabbânî,ku4bo2o4ebu1u4 ro4bu1o4o8ebo1bu2
kitle-i nâriye,ku4bo2o0lo4u4 bo1o4eru4bu2o4h
kizb,ku4do1o0bu1o0
kof,fo2o9wfo1o0
komite,fo2o9wmu4bu2bo2o4h
kozmoğrafya,fo2o9wro1o0mo9wao1o0ro4efo1o0bu2o4h
kübrâ,ko9bu1o0ro4e
küffâr,ko9fo1o4o8ero0
küfrân,ko9fo1o0ro4ebo1o0
küfrân-ı ni'met,ko9fo1o0ro4ebo1u4 bo1u4ao0mo4bo2o0
küfr-ü meşkûk,ko9fo1o0ru4 mo4so3o0ko9wko0
küfr-ü mutlak,ko9fo1o0ro9 mo9to0lo4fo2o0
küfr-ü mağrûrâne,ko9fo1o0ru4 mo4ao1o0ro9wro4ebo1o4h
küfür,ko9fo1o9ro0
küfüv,ko9fo1o9wo0
külfet,ko9lo0fo1o4bo2o0
külhân,ko9lo0xo1o4ebo1o0
külhĀn,ko9lo0xo1o4ebo1o0
küll,ko9lo8
küllî,ko9lo8bu2
küllî,ko9lo8bu2
küllî irâde,ko9lo8bu2 eu4ro4edo4h
külliyât,ko9lu4o8bu2o4ebo2o0
külliyât-ı umûr,ko9lu4o8bu2eo4bo2u4 eo9mo9wro0
külliyet,ko9lu4o8bu2o4bo2o0
künh,ko9bo1o0ho0
kürbet,ko9ro0bu1o4bo2o0
küre-i arz,ko9ro4u4 eo4ro0zo1o0
küsûf,ko9so9wfo1o0
küsûrat,ko9so9wro4ebo2o0
küşâde,ko9so3o4edo4h
kütüb,ko9bo2o9bu1o0
kütüb-ü mukaddese,ko9bo2o9bu1o9 mo9fo2o4do4o8so4h
kütüb-ü mukaddese-i semâviye,ko9bo2o9bu1o9 mo9fo2o4do4o8so4u4 so4mo4ewu4bu2o4h
kubh-u mutlak,fo2o9bu1o9xo9 mo9to0lo4fo2o0
kubûr,fo2o9bu1o9wro0
kubuh,fo2o9bu1o9xo0
kuddûs,fo2o9do9o8wso0
kudret,fo2o9do0ro4bo2o0
kudret-i mutlaka,fo2o9do0ro4bo2u4 mo9to0lo4fo2o4h
kudsî,fo2o9do0sbu2
kudsiyet,fo2o9do0su4bu2o4bo2o0
kulüp,fo2o9lo9wbu1o0
kumandan-ı a'zam,fo2o9wmo4ebo1o0do4ebo1u4 eo4ao0to1o4mo0
kur'ân-ı ezher,fo2o9ro0eo6bo1u4 eo4ro1o0ho4ro0
kur'ân-ı mübîn,fo2o9ro0ebo1u4 mo9bu1bu2bo1o0
kur'ân-ı mu'cizü'l-beyân,fo2o9ro0ebo1u4 mo9ao0xu1u4ro1o9 elo0bu1o4bu2o4ebo1o0
kur'ân-ı azamet,fo2o9ro0ebo1u4 ao4to1o4mo4bo2o0
kurbiyet,fo2o9ro0bu1u4bu2o4bo2o0
kurbiyet-i ilâhiye,fo2o9ro0bu1u4bu2o4bo2u4 eu4lo4hu4bu2o4h
kurbiyet-i mekan,fo2o9ro0bu1u4bu2o4bo2u4 mo4ko4ebo1o0
kurbiyet-i zaman,fo2o9ro0bu1u4bu2o4bo2u4 ro1o4mo4ebo1o0
kurb-u huzûr,fo2o9ro0bu1u4 xo9zo1o9wro0
kurs,fo2o9ro0zo0
kurûn-u ûlâ,fo2o9ro9wbo1o9 eo9wlbu2
kurûn-u uhrâ,fo2o9ro9wbo1o9 eo9xo1o0rbu2
kutbiyet,fo2o9to0bu1u4bu2o4bo2o0
kutb-u a'zam,fo2o9to0bu1u4 eo4ao0to1o4mo0
kutub,fo2o9to9bu1o0
kutur,fo2o9to9ro0
kuvve,fo2o9wo4o8h
kuvve-i gadabiye,fo2o9wo4o8u4 ao1o4zo1o4bu1u4bu2o4h
kuvve-i hâfıza,fo2o9wo4o8u4 xo4efo1u4to1o4h
kuvve-i müfekkire,fo2o9wo4o8u4 mo9fo1o4ku4o8ro4h
kuvve-i müvellide,fo2o9wo4o8u4 mo9wo4lu4o8do4h
kuvve-i musavvire,fo2o9wo4o8u4 mo9zo4wu4o8ro4h
kuvve-i ma'neviye,fo2o9wo4o8u4 mo4ao0bo1o4wu4bu2o4h
kuvve-i şeheviye,fo2o9wo4o8u4 so3o4ho4wu4bu2o4h
kuvve-i vâhime,fo2o9wo4o8u4 wo4ehu4mo4h
kuvve-i akliye,fo2o9wo4o8u4 ao4fo2o0lu4bu2o4h
kuvve-i zâika,fo2o9wo4o8u4 do1o4ebo5u4fo2o4h
kabûl-ü nebevî,fo2bu1o9wlo9 bo1o4bu1o4wu4bu2
kabûl-ü teslîmî,fo2o4bu1o9wlo9 bo2o4so0lu4bu2mo0
kabûl-ü adem,fo2o4bu1o9wlu4 ao4do4mo0
kabz,fo2o4bu1o0zo1o0
kabz-ı ervâh,fo2o4bu1o0zo1u4 eo4ro0wo4exo0
kabza,fo2o4bu1o0zo1o4h
kabza-i tasarruf,fo2o4bu1o0zo1o4u4 bo2o4zo4ro9o8fo1o0
kadem,fo2o4do4mo0
kader,fo2o4do4ro0
kaderî,fo2o4do4rbu2
kadîm,fo2o4dbu2mo0
kadîm-i lemyezel,fo2o4du4bu2mu4 lo4mo0 bu2o4ro1o4lo0
kadîr,fo2o4du4bu2ro0
kadîr-i ezelî,fo2o4dbu2ru4 eo4ro1o4lbu2
kadîr-i hakîm,fo2o4dbu2ru4 xo4kbu2mo0
kadîr-i mutlak,fo2o4dbu2ru4 mo9to0lo4fo2o0
kadîr-i rahîm,fo2o4dbu2ru4 ro4xbu2mo0
kadîr-i zülcelâl,fo2o4dbu2ru4 do1o9w elo0xu1o4lo4elo0
kahır,fo2o4ho0ro0
kaht,fo2o4xo0to0
kaht ve galâ,fo2o4xo0to9 wo4 ao1o4lo4e
kaideten,fo2o4eau4do4ho2o44
kal',fo2o4lo0ao0
kalb,fo2o4lo0bu1o0
kalem-i kudret,fo2o4lo4mu4 fo2o9do0ro4bo2o0
kalem-i kader,fo2o4lo4mu4 fo2o4do4ro0
kalem-i kader-i ilâhî,fo2o4lo4mu4 fo2o4do4ru4 eu4lo6hbu2
kalp lira,fo2o4elo0bu3o0 lbu2ro4h
kalak,fo2o4lo4fo2o0
kamer,fo2o4mo4ro0
kanâat,fo2o4bo1o4eao4bo2o0
kanun-u tekâmül,fo2o4ebo1o9wbo1o9 bo2o4ko4emo9lo0
karâbet,fo2o4ro4ebu1o4bo2o0
karın,fo2o4ru4bo1o0
karîn,fo2o4rbu2bo1o0
karîne,fo2o4rbu2bo1o4h
karye,fo2o4ro0bu2o4h
kasâvet,fo2o4so4ewo4bo2o0
kasâvet-i vahşiyâne,fo2o4seo4wo4bo2u4 wo4xo0so3u4bu2o4ebo1o4h
kasd-ı tezyîn,fo2o4zo0du4 bo2o4ro1o0bu2bu2u4bo1o0
kasem,fo2o4so4mo0
kasır,fo2o4zu4ro0
kasır,fo2o4zu4ro0
kasîde,fo2o4zbu2do4h
kasr-ı islâmiyet,fo2o4zo0ru4 eu4so0leo4mu4bu2o4bo2o0
kasr-ı nazar,fo2o4zo0ru4 bo1o4to1o4ro0
kat',fo2o4to0ao0
kat'î,fo2o4to0abu2
kat'î,fo2o4to0abu2
katil,fo2o4bo2u4lo0
kat'iyen,fo2o4to0au4bu2o44e
kat'iyet,fo2o4to0au4bu2o4bo2o0
katolik,fo2o4ebo2o9wlu4bu2ko0
katre,fo2o4to0ro4h
kat'an,fo2o4to0aeo44
kavî,fo2o4wbu2
kavil,fo2o4wu4lo0
kavlen,fo2o4wo0leo44
kavlî,fo2o4wo0lbu2
kayd-ı haysiyet,fo2o4bu2o0du4 xo4bu2o0bo3u4bu2o4bo2o0
kayıd,fo2o4bu2o0do0
kayyûm,fo2o4bu2o9o8wmo0
kazâ,fo2o4zo1o4e
kazâ-yı ilâhî,fo2o4zo1o4ebu2u4 eu4lo6hbu2
kazĀ-yı rabbânî,fo2o4zo1o4ebu2u4 ro4bu1o4o8ebo1bu2
kaziye,fo2o4zo1u4bu2o4h
kazayı hacet,fo2o4zo1o4ebu2u4 xo4exu1o4bo2o0
lâdînî,lo4edbu2bo1bu2
lâdînî,lo4edbu2bo1bu2
lâhik,lo4exu4fo2
lâhika,lo4exu4fo2o4h
lâhûtî,leo4ho9wbo2bu2
lâyemût,lo4ebu2o4mo9wbo2o0
lâyiha,lo4ebu2u4xo4h
lâzım-ı zarûrî,lo4ero1u4mu4 zo1o4ro9wrbu2
leffen,lo4fo1o44o8e
lemeât,lo4mo4ao4ebo2o0
letâfet,lo4to4efo1o4bo2o0
levâzım,lo4wo4ero1u4mo0
levâzımât,lo4wo4ero1u4mo4ebo2o0
levâzımât-ı arziye,lo4wo4ero1u4mo4ebo2u4 eo4ro0zo1u4bu2o4h
levh-i ezelî,lo4wo0xu4 eo4ro1o4lbu2
levh-i misâlî,lo4wo0xu4 mu4bo3o4elu4bu2
levh-i mahfûz,lo4wo0xu4 mo4xo0fo1o9wto1o0
levh-i mahfûz-u a'zam,lo4wo0xu4 mo4xo0fo1o9wto1u4 eo4ao0to1o4mo0
levh-i mahv u isbât,lo4wo0xu4 mo4xo0wo9 w eu4bo3o0bu1o4ebo2o0
levn,lo4wo0bo1o0
leyle-i kadir,lo4bu2o0lo4u4 fo2o4du4ro0
leyli,lo4bu2o0lu4bu2
leyl-i münevver,lo4bu2o0lu4 mo9bo1o4wo4o8ro0
leziz,lo4do1bu2do1o0
lezzet-i ma'rifet,lo4do1o4o8bo2u4 mo4ao0ru4fo1o4bo2o0
lezzet-i rûhâni,lo4do1o4o8bo2u4 ro9wxo4ebo1u4bu2o4h
lezzet-i şeytaniye,lo4do1o4o8bo2u4 so3o4bu2o0to4ebo1u4bu2o4h
libâs,lu4bu1o4eso0
lisân,lu4so4ebo1o0
lisân-ı duâ,lu4so4ebo1u4 do9ao4e
lisân-ı hâl,lu4so4ebo1u4 xo4elo0
lisân-ı mahsûs,lu4so4ebo1u4 mo4xo1o0zo9wzo0
lisân-ı ma'nâ,lu4so4ebo1u4 mo4ao0bo1o4e
lisân-ı nübüvvet,lu4so4ebo1u4 bo1o9bu1o9wo4o8bo2o0
lisân-ı nahvî,lu4so4ebo1u4 bo1o4xo0wbu2
livâ,lu4wo4e
liyâkat,lu4bu2o4efo2o4bo2o0
lüb,lo9bu1o0
lütf-u yezdân,lo9to0fo1o9 bu2o4ro1o0do4ebo1o0
lütûf,lo9to9fo1o0
lafız,lo4fo1u4to1o0
lafz-ı kâfir,lo4fo1o0to1u4 ko4efo1u4ro0
lafz-ı mücessem,lo4fo1o0to1u4 mo9xu1o4so4o8mo0
lafz-ı ma'nidâr,lo4fo1o0to1u4 mo4ao0bo1bu2do4ero0
lafzî,lo4fo1o0to1bu2
lafzan,lo4fo1o0to1o44e
latîf,lo4tbu2fo1o0
latîf,lo4tbu2fo1o0
latîfe,lo4tbu2fo1o4h
latîfe,lo4tbu2fo1o4h
mâ,mo4e
mâdûn,mo4edo9wbo1o0
mâhir,mo4ehu4ro0
mâhirâne,mo4ehu4ro4ebo1o4h
mâhiyet,mo4ehu4bu2o4bo2o0
mâhiyet-i hüviyet,mo4ehu4bu2o4bo2u4 ho9wu4bu2o4bo2o0
mâhiyet-i hayat,mo4ehu4bu2o4bo2u4 xo4bu2o4ebo2o0
mâhiyet-i ilmiye,mo4ehu4bu2o4bo2u4 au4lo0mu4bu2o4h
mâhiyet-i insaniye,mo4ehu4bu2o4bo2u4 eu4bo1o0so4ebo1u4bu2o4h
mâhiyet-i mücerrede,mo4ehu4bu2o4bo2o0 mo9xu1o4ro4o8do4h
mâ-i rahmet,mo4ecu4 ro4xo0mo4bo2o0
mâil-i kamer,mo4ebo5u4lu4 fo2o4mo4ro0
mâlâya'nî,mo4elo4e bu2o4ao0bo1bu2
mâlik,mo4elu4ko0
mâlik-i ebedî,mo4elu4ku4 eo4bu1o4dbu2
mâni',mo4ebo1u4ao0
mâşâllâh,mo4eso3o4eco4 ello8ho0
mâadâ,mo4eao4do4e
mâyi',mo4ebu2u4ao0
mâzî,mo4ezo1bu2
meâl,mo4eo6lo0
meâl-i icmâlî,mo4bo5o4elu4 eu4xu1o0mo4elbu2
mebde',mo4bu1o0do4eo5o0
mebde'-i cihâd,mo4bu1o0do4eo5u4 xu1u4ho4edo0
mebde'-i hilkat,mo4bu1o0do4eo5u4 xo1u4lo0fo2o4bo2o0
mebde'-i hareket,mo4bu1o0do4eo5u4 xo4ro4ko4bo2o0
mebde'-i te'lîf,mo4bu1o0do4eo5u4 bo2o4eo5o0lbu2fo1o0
mebde'-i vahdet,mo4bu1o0do4eo5u4 wo4xo0do4bo2o0
mebhas,mo4bu1o0xo4bo3o0
mebnî,mo4bu1o0bo1bu2
meb'ûs,mo4bu1o0ao9wbo3o0
meb'ûs,mo4bu1o0ao9wbo3o0
mebzûl,mo4bu1o0do1o9wlo0
mebzûliyet,mo4bu1o0do1o9wlu4bu2o4bo2o0
mebzûliyet-i mutlaka,mo4bu1o0do1o9wlu4bu2o4bo2u4 mo9to0lo4fo2o4h
mecâl,mo4xu1o4elo0
mecâz,mo4xu1o4ero1o0
mecâzî,mo4xu1o4ero1bu2
meclis-i halvet,mo4xu1o0lu4su4 xo1o4lo0wo4bo2o0
meclis-i ihvân,mo4xu1o0lu4su4 eu4xo1o0wo4ebo1o0
meclis-i münevver,mo4xu1o0lu4su4 mo9bo1o4wo4o8ro0
mecmû',mo4xu1o0mo9wao0
mecmûa,mo4xu1o0mo9wao4h
mecnun,mo4xu1o0bo1o9wbo1o0
mecrâ,mo4xu1o0ro4e
mecûsî,mo4xu1o9wsbu2
meczûb,mo4xu1o0do1o9wbu1o0
medâr,mo4do4ero0
medâr,mo4do4ero0
medâr-ı bereket,mo4do4eru4 bu1o4ro4ko4bo2o0
medâr-ı bahis,mo4do4eru4 bu1o4xu4bo3o0
medâr-ı feyz,mo4do4eru4 fo1o4bu2o0zo1o0
medâr-ı fahr,mo4do4eru4 fo1o4xo1o0ro0
medâr-ı gam,mo4do4eru4 ao1o4mo0
medâr-ı gam ve elem,mo4do4eru4 ao1o4mo0 wo4eo4lo4mo0
medâr-ı hüsn-ü maîşet,mo4do4eru4 xo9so0bo1o9 mo4abu2so3o4bo2o0
medâr-ı hamd,mo4do4eru4 xo4mo0do0
medâr-ı ibret,mo4do4eru4 au4bu1o0ro4bo2o0
medâr-ı iftihâr,mo4do4eru4 eu4fo1o0bo2u4xo1o4ero0
medâr-ı iltibâs,mo4do4eru4 eu4lo0bo2u4bu1o4eso0
medâr-ı imtiyâz,mo4do4eru4 eu4mo0bo2u4bu2o4ero1o0
