a,eo6
sarîh,zrbu2x
sarkan,zerfo2ebo1
sarkık,zerfo2bu2fo2
sarkılmak,zerfo2bu2lmfo2
sarkıntı,zerfo2bu2bo1bo2y
sarkıntılık,zerfo2bu2bo1bo2bu2lfo2
sarkıtmak,zerfo2bu2bo2mfo2
sarkma,zerfo2mh
sarkmak,zerfo2mfo2
sarma,zermh
sarmak,zermfo2
sarmaş dolaş,zermeso3 dwleso3
sarmaşık,zermeso3bu2fo2
sarmısak,zermsefo2
sarmısaklı,zermsefo2ly
sarnıc,zerbo1bu2xu1
sarnıc,zhrbo1xu1
sarp,zerbu3
sarplaşmak,zerbu3leso3mfo2
sarraf,zrefo1
sarrâfîye,zrefo1bu2h
sarraflık,zrefo1lfo2
sarsar,zrzr
sarsılış,zerzbu2elbu2so3
sarsılma,zerzbu2lmh
sarsılmak,zerzbu2lmfo2
sarsıntı,zerzbu2bo1bo2y
sarsma,zerzmh
sarsmak,zerzmfo2
sarsıklık,zerzbu2fo2lfo2
sası,zezy
Sasun,zezwbo1
satan,zebo2ebo1
sataşmak,zebo2eso3mfo2
satdırmak,zebo2dbu2rmfo2
saten,zebo2bo1
satıcı,zebo2xu1y
satıcılık,zebo2bu2xu1bu2lfo2
satıh,stx
satılık,zebo2bu2lfo2
satılma,zebo2bu2lmh
satılmak,zebo2bu2lmfo2
satılmış,zebo2bu2lmso3
satım,zebo2bu2m
satın,zebo2bu2bo1
satın,zebo2wbo1
satınalmak,zebo2wbo1 eo6lmfo2
satır,setbu2r
satır,str
satırcı,setbu2rxu1y
satış,zebo2bu2so3
satma,zebo2mh
satmak,zebo2mfo2
satranç,ztrbo1xu1
satrançlı,ztrbo1xu1ly
satvet,stwbo2
sava,zewe
savâb,zwebu1
savacı,sewexu1y
savak,zewefo2
savan,zewebo1
savaş,zeweso3
savaşmak,zeweso3mfo2
savat,zewebo2
savatlı,zewebo2ly
savlet,zwlbo2
savmak,zewmfo2
savruk,zewrwfo2
savrulmak,zewrwlmfo2
savsaklamak,zewsefo2lemfo2
savt,zwbo2
savul,zewl
savulmak,zewlmfo2
savur,zewwr
savurmak,zewwrmfo2
savuşdurmak,zewwso3dbu2rmfo2
savuşmak,zewwso3mfo2
savuşmaz,zewwso3mero1
sa’y,say
saya,zebu2e
saydelâni,sbu2dlebo1y
sâye,sebu2h
sâyedâr,sebu2h||der
sa’yetmek,say ebu2bo2mk
sayfiye,zbu2fo1bu2h
saygı,zebu2ao1y
saygılı,zebu2ao1bu2ly
saygısız,zebu2ao1bu2sro1
saygısızlık,zebu2ao1bu2sro1lfo2
sayha,zbu2xh
sayı,zebu2y
sayıcı,zebu2bu2xu1y
sayıklama,zebu2bu2fo2lemh
sayıklamak,zebu2bu2fo2lemfo2
sayılı,zebu2bu2ly
sayılmak,zebu2bu2lmfo2
sayın,zebu2bu2bo1
sayılır,zebu2bu2lbu2r
sayısız,zebu2bu2sro1
saymak,zebu2mfo2
saymamazlık,zebu2mero1lfo2
sayvan,zebu2webo1
saz,sero1
sazan,sero1ebo1
sazcı,sero1xu1y
sâzende,sero1bo1dh
sazlık,sero1lfo2
se,sh
sebat,bo3bu1ebo2
sebatlı,bo3bu1ebo2ly
sebeb,sbu1bu1
sebebiyet,sbu1bu1bu2bo2
sebebli,sbu1bu1ly
sebebsiz,sbu1bu1sro1
sebil,sbu1bu2l
sebilci,sbu1bu2lxu1y
sebketmek,sbu1fo2 ebu2bo2mk
sebze,sbu1ro1h
seccâde,sxu1edh
seccâdeci,sxu1edh||xu1y
secde,sxu1dh
seçî,sxu1a
seciye,sxu1bu2h
seciyeli,sxu1bu2h||ly
seciyesiz,sxu1bu2h||sro1
seçdirmek,sxu3dbu2rmk
seçici,sxu3bu2xu1y
seçilmek,sxu3lmk
seçim,sxu3bu2m
seçiş,sxu3bu2so3
seçkin,sxu3kbu2bo1
seçme,sxu3mh
seçmece,sxu3mh||xu1h
seçmek,sxu3mk
sed,sd
sedef,zdfo1
sedefotu,zdfo1 ewbo2y
sedir,sdbu2r
sedye,sdbu2h
sefâhet,sfo1ehbo2
sefâlet,sfo1elbo2
sefâret,sfo1erbo2
sefârethâne,sfo1erbo2xo1ebo1h
sefer,sfo1r
seferber,sfo1rbu1r
seferberlik,sfo1rbu1rlk
seferi,sfo1ry
Seferihisar,sfo1rbu2xzer
seferlik,sfo1rlk
sefertası,sfo1rtesy
sefih,sfo1bu2h
sefil,sfo1bu2l
sefine,zfo1bu2bo1h
sefir,sfo1bu2r
seğâh,sko7eh
seğirmek,sko7rmk
seğirtmek,sko7rbo2mk
seğmen,sko7mbo1
seğmen,sko7bu2ebo1
seher,sxr
seherî,sxry
sehim,shm
sehiv,shw
sehpâ,shbu3e
sehven,shweo44
sekdirme,skdbu2rmh
sekdirmek,skdbu2rmk
sekene,skbo1h
seki,sky
sekilli,skbu2ly
sekiz,skro1
sekizer,skro1r
sekizinci,skro1bo1xu1y
sekizli,skro1ly
sekizlik,skro1lk
sekme,skmh
sekmek,skmk
seksek,sksk
seksen,sksebo1
seksener,sksebo1r
sekseninci,sksebo1bo1xu1y
seksenlik,sksebo1lk
sekte,skbo2h
sektedâr,skbo2h||der
sel,sl
sel,sbu2l
selâm,slem
selâmet,slembo2
selâmlamak,slemlemfo2
selâmlaşmak,slemleso3mfo2
selâmlık,slemlfo2
selâset,slesbo2
selâsetli,slesbo2ly
seletıyn,sletbu2bo1
selb,slbu1
selçûkî,slxu1wfo2y
sele,slh
selef,slfo1
selika,slbu2fo2h
selim,slbu2m
selimiye,slbu2mbu2h
selîs,slbu2s
sellüloid,sh||lwlwbo5bu2d
selvi,slwy
selvi,srwy
selvilik,slwbu2lk
sem,sm
semâ,smea
semâhâne,smeaxo1ebo1h
semâhat,smexbo2
semahatlû,smexbo2lw
semâî,smeay
semâvât,smewebo2
semâvî,smewy
semâyî,smeay
semâî,smeay
semen,smbo1
semer,smr
semerci,smrxu1y
semercilik,smrxu1bu2lk
semere,bo3mrh
semerli,smrly
semih,smbu2x
semirmek,smbu2rmk
semirtmek,smbu2rbo2mk
semiz,smbu2ro1
semizce,smbu2ro1xu1h
semizlik,smbu2ro1lk
semizotu,smbu2ro1ewbo2
sempati,sh||mbu3ebo2y
semt,smbo2
semturre’s,smbo2 elreo5s
sen,sbo1
senâ,bo3bo1e
senâkâr,bo3bo1eker
sendelemek,sbo1dh||lmk
sendika,sbo1dbu2fo2h
sene,sbo1h
sened,sbo1d
senetleşmek,sbo1dlso3mk
senetli,sbo1dly
senevî,bo3bo1wy
senevî,sbo1wy
senfoni,sh||bo1fo1wbo1y
senin,sbo1k
seninki,sbo1kky
senk,sbo1k
sepet,sbu3bo2
sepetçi,sbu3bo2xu1y
sepetleme,sbu3bo2lmh
sepetlik,sbu3bo2lk
septik,sh||bu3bo2bu2k
serâb,srebu1
serâir,srebo5r
serâpâ,srebu2e
serasker,sraskr
seraskerlik,sraskrlk
serbâz,srbu1ero1
serbest,srbu1sbo2
serbestî,srbu1sbo2y
serbestlik,srbu1sbo2lk
serçe,srxu3h
serçeparmak,zrxu3h||bu3ermefo2
serdâr,srder
serdarlık,srderlfo2
serdetmek,srd ebu2bo2mk
serdirmek,srdbu2rmk
serefraz,srefo1rero1
seren,srbo1
serenat,zrh||bo1ed
sereserpe,zrh||srbu3h
seretan,srtebo1
serfürû,srfo1rw
sergerde,srko7rdh
sergi,srko7y
sergüzeşt,srko7do1so3bo2
serhad,srxd
serî,srbu2a
serîân,srbu2aeo44
Serik,srbu2k
serili,srbu2ly
serilmek,srbu2lmk
serin,srbu2bo1
serinlemek,srbu2bo1lmk
serinlenmek,srbu2bo1lbo1mk
serinleşmek,srbu2bo1lso3mk
serinletmek,srbu2bo1lbo2mk
serinlik,srbu2bo1lk
serîr,srbu2r
serîn,srbu2ry
serîriyât,srbu2rbu2ebo2
serkeş,srkso3
serkeşlik,srkso3lk
serlevha,srlwxh
sermâye,srmebu2h
sermâyedâr,srmebu2h||der
sermâyeli,srmebu2h||ly
sermâyesiz,srmebu2h||sro1
sermâyesizlik,srmebu2h||lk
serme,srmh
sermed,srmd
sermedî,srmdy
sermek,srmk
sermest,srmsbo2
sermestî,srmsbo2y
sermuharrir,srmxrr
sermürettib,srmrbo2bu1
serom,srwm
serpdirmek,srbu3dbu2rmk
serpilmek,srbu3bu2lmk
serpinti,srbu3bu2bo1bo2y
serpişdirmek,srbu3so3dbu2rmk
serpme,srbu3mh
serpmek,srbu3mk
serpuş,srbu3wso3
sersem,srsm
sersemlemek,srsmlh||mk
sersemlik,srsmlk
serseri,srsry
serserice,srsrbu2xu1h
serserilik,srsrbu2lk
sert,srd
sert,srbo2
sertlendirmek,srbo2lbo1dbu2rmk
sertlenmek,srbo2llbo1mk
sertleşdirmek,srbo2lso3dbu2rmk
sertleşmek,srbo2lso3mk
sertlik,srbo2lk
servet,bo3rwbo2
servetli,bo3rwbo2ly
serzeniş,srro1so3
ses,ss
seslemek,sslh||mk
sesli,ssly
sessiz,sssro1
set,sbo2
set,zbo2
setretmek,sbo2rebu2bo2mk
setir,sbo2r
sevâb,bo3webu1
sevablı,bo3webu1ly
sevablık,bo3webu1lfo2
sevabık,bo3webu1fo2
sevdâ,swde
sevdâlı,swdely
sevdâzede,swdero1dh
sevdirmek,swdbu2rmk
sevgi,swko7y
sevgili,swko7bu2ly
sevilir,swbu2lbu2r
sevilmek,swbu2lmk
sevim,swbu2m
sevimli,swbu2mly
sevimsiz,swbu2msro1
sevinç,swbu2bo1xu1
sevinçli,swbu2bo1xu1ly
sevindirmek,swbu2bo1dbu2rmk
seviniş,swbu2bo1bu2so3
sevinmek,swbu2bo1mk
sevir,bo3wr
sevişme,swbu2so3mh
sevişmek,swbu2so3mk
seviye,swbu2h
sevk,swfo2
sevketmek,swfo2 ebu2bo2mk
sevkıyât,swfo2bu2ebo2
sevme,swmh
sevmek,swmk
seyâhat,sbu2exbo2
seyâhatnâme,sbu2exbo2bo1emh
seyelân,sbu2lebo1
seyir,sbu2r
seyirci,sbu2rxu1y
seyis,sebu2s
Seyitgâzi,sbu2d ao1ero1y
seylâb,sbu2lebu1
seyran,sbu2rebo1
seyrek,sko7rk
seyrek,sbu2rk
seyrekce,sko7rkxu1h
seyrekleşmek,sko7rklso3mk
seyrekleştirmek,sko7rklso3dbu2rmk
seyreklik,sko7rklk
seyretmek,sbu2rebu2bo2mk
seyyah,sbu2ex
seyyâl,sbu2el
seyyar,sbu2er
seyyâre,sbu2erh
seyyibe,bo3bu2bu1h
seyyidlik,sbu2bu2dlk
seyyie,sbu2o8bo5h
sezâ,sro1e
sezâvâr,sro1ewer
sezdirmek,sro1dbu2rdmk
sezgi,sro1ko7y
sezilmek,sro1bu2lmk
seziş,sro1bu2so3
sezme,sro1mh
sezmek,sro1mk
sezon,sh||ro1wbo1
sıbyan,zbu1bu2ebo1
sıcacık,zbu2xu1exu1fo2
sıcak,zbu2xu1efo2
sıcakkanlı,zbu2xu1efo2 fo2ebo1ly
sıcaklık,zbu2xu1efo2lfo2
sıçan,zbu2xu3ebo1
sıçandişi,zbu2xu3ebo1 dbu2so3y
sıçankulağı,zbu2xu3ebo1 fo2wleao1y
sıçanotu,zbu2xu3ebo1 ewbo2y
sıçanyolu,zbu2xu3ebo1 bu2wly
sıçramak,zbu2xu3remfo2
sıçratmak,zbu2xu3rebo2mfo2
sıçrayıcı,zbu2xu3rebu2xu1y
sıdk,zdfo2
sıfat,zfo1bo2
sıfır,zfo1r
sığ,zbu2ao1
sığamak,zbu2ao1emfo2
sığdırmak,zbu2ao1dbu2rmfo2
sığınmak,zbu2ao1bu2bo1mfo2
sığır,zbu2ao1bu2r
sığırcık,zbu2ao1bu2rxu1fo2
sığırdili,zbu2ao1bu2rdbu2ly
sığırgözü,zbu2ao1bu2rkwro1y
sığırlık,zbu2ao1bu2rlfo2
sığırtmaç,zbu2ao1bu2rbo2mexu1
sığışdırmak,zbu2ao1bu2so3dbu2rmfo2
sığışmak,zbu2ao1bu2so3mfo2
sığlık,zbu2ao1lfo2
sığmak,zbu2ao1mfo2
sıhhat,zxbo2
sıhhiye,zxbu2h
sıhrî,zhry
sıhriyet,zhrbu2bo2
sık,zbu2fo2
sıkboğaz,zbu2fo2 bu1wao1ero1
sıkı,zbu2fo2y
sıkıfıkı,zbu2fo2 fo1bu2fo2y
sıkılma,zbu2fo2bu2lmh
sıkılmak,zbu2fo2bu2lmfo2
sıkıntı,zbu2fo2bu2bo1bo2y
sıkışdırmak,zbu2fo2bu2so3dbu2rmfo2
sıkışmak,zbu2fo2bu2so3mfo2
sıklam,zbu2fo2lem
sıklaşdırmak,zbu2fo2leso3dbu2rmfo2
sıklaşmak,zbu2fo2leso3mfo2
sıklet,bo3fo2lbo2
sıkletsiz,bo3fo2lbo2sro1
sıklık,zbu2fo2lbu2fo2
sıkma,zbu2fo2mh
sıkmak,zbu2fo2mfo2
sıksık,zbu2fo2||zbu2fo2
sıla,zlh
sımsıkı,zbu2m||zbu2fo2
sınâat,zbo1eabo2
zanaat,zbo1eabo2
sınâî,zbo1eay
sınamak,zbu2bo1emfo2
sınanmak,zbu2bo1ebo1mfo2
Sındırgı,zbu2bo1dbu2rao1y
sınıf,zbo1fo1
sınır,sbu2bo1wr
sınır,sbo1wr
sınırdaş,sbu2bo1wrdeso3
sır,sr
sır,zbu2r
sıra,zbu2rh||
sıra,zrh
sıraca,zbu2rexu1h
sıracalı,zbu2rexu1h||ly
sıralamak,zbu2rh||lemfo2
sıralanmak,zbu2rh||lebo1mfo2
sıralı,zbu2rh||ly
sırasız,zbu2rh||sro1
sırat,zret
sıratköprüsü,zret kwbu3rwsy
sıravârî,zbu2rh||wery
sırça,zbu2rxu3h||
sırça,zrxu3h
sırdaş,srdeso3
sırf,zrfo1
sırık,zbu2rlfo2
sırım,zbu2rbu2m
sırıtkan,zbu2rbu2bo2fo2ebo1
sırıtkanlık,zbu2rbu2bo2fo2ebo1lfo2
sırıtma,zbu2rbu2bo2mh
sırıtmak,zbu2rbu2bo2mfo2
sırma,zbu2rmh
sırmalı,zbu2rmh||ly
sırmakeş,zbu2rmh||kso3
Sırp,zrbu3
Sırplı,zrbu3ly
sırsıklam,zbu2rzbu2fo2lem
sırt,zbu2rbo2
sırt,zrbo2
sırtlamak,zbu2rbo2lemfo2
sırtlan,zbu2rbo2lebo1
sırtarmak,zbu2rbo2ermfo2
sıska,zbu2sfo2h
sıskalık,zbu2sfo2h||lfo2
sıtma,zbu2bo2mh
sıtmalı,zbu2bo2mh||ly
sıva,zbu2we
sıvacı,zbu2wexu1y
sıvacılık,zbu2wexu1bu2lfo2
sıvalamak,zbu2welemfo2
sıvalı,zbu2wely
sıvama,zbu2wemh
sıvamak,zbu2wemfo2
sıvanmak,zbu2ao1ebo1mfo2
sıvanmak,zbu2webo1mfo2
sıvazlamak,zbu2wero1lemfo2
sıvış,sbu2wbu2so3
sıvışmak,sbu2wbu2so3mfo2
sıvışmak,sbu2wbu2so3mk
sivişmek,sbu2wbu2so3mk
sıyânet,sbu2ebo1bo2
sıyırmak,zbu2bu2rmfo2
sıyrık,zbu2bu2rbu2fo2
sıyrılmak,zbu2bu2rbu2lmfo2
sıyrıntı,zbu2bu2rbu2bo1bo2y
sızdırmak,zbu2bu2rdbu2rmfo2
sızı,zbu2ro1y
sızıltı,zbu2ro1bu2lbo2y
sızıntı,zbu2ro1bu2bo1bo2y
sızırmak,zbu2ro1bu2rmfo2
sızlanma,zbu2ro1lebo1mh
sızlanmak,zbu2ro1lebo1mfo2
sızlatmak,zbu2ro1lebo2mfo2
sızlık,sro1lfo2
sızmak,zbu2ro1mfo2
si,sy
sicil,sxu1l
sicilli,sxu1lly
sicim,sxu1bu2m
sifon,sbu2fo2wbo1
siftah,sfo1bo2ex
seftah,sfo1bo2ex
siftahlamak,sfo1bo2exlemfo2
siftinmek,sbu2fo1bo2bu2bo1mk
siga,zbu2ao1h
sigâr,sbu2ao1er
sigara,sbu2ao1ere
sigara,sbu2ao1er
sigorta,sbu2ao1wrth
sigortacı,sbu2ao1wrth||xu1y
sigortalı,sbu2ao1wrth||ly
siğil,sbu2ko7bu2l
sihir,sxr
sihirbaz,sxrbu1ero1
sihirbazlık,sxrbu1ero1lfo2
sihirlemek,sxrlmk
sihirli,sxrly
sihrî,sxry
Siirt,sard
sipihr,sbu3hr
sikke,skh
siklon,sbu2fo2lwbo1
silâh,slex
silâhendâz,slex ebo1dero1
silâhendazlık,slex ebo1dero1lfo2
silâhdar,slexder
silâhdarlık,slexderlfo2
silâhhâne,slexxo1ebo1h
silâhlandırmak,slexlebo1dbu2rmfo2
silâhlı,slexly
silâhlık,slexlfo2
silâhsız,slexsro1
silâhşor,slexso3wr
silâhşorlük,slexso3wrlfo2
sildirmek,sbu2ldbu2rmk
silecek,sbu2lh||xu1k
silgi,sbu2lko7y
silici,sbu2lbu2xu1y
silik,sbu2lbu2k
silindir,sbu2lbu2bo1dbu2r
silindir,sbu2lbu2bo1dbu2r
silinmek,sbu2lbo1mk
silinti,sbu2lbu2bo1bo2y
Silivri,slwry
silk,slk
silkme,sbu2lkmh
silkmek,sbu2lkmk
silkinti,sbu2lkbu2bo1bo2y
sille,sllh
sille,sbu2llh
silme,sbu2lmh
silmek,sbu2lmk
silmetahtası,sbu2lmh||bo2xo1bo2h||sy
silsile,slslh
silsilenâme,slslh||bo1emh
Silvan,slwebo1
sim,sbu2m
simâ,sbu2me
Simav,sbu2mew
simsar,smser
simsar,sbu2mser
simsâriye,smserbu2h
simsarlık,smserlfo2
simyâ,sbu2mbu2e
sin,sbu2bo1
sin,sbu2ko3
sin,sbo1
sin,sko3
sinameki,sbo1emky
sinan,sbo1ebo1
sincab,sbo1xu1ebu1
sincâbî,sbo1xu1ebu1y
sindirmek,sbu2bo1dbu2rmk
sindirmek,sbu2ko3dbu2rmk
sîne,sbu2bo1h
sinek,sbu2bo1k
sineklik,sbu2bo1klk
sinema,sbu2bo1h||me
sinematoğraf,sbu2bo1h||mebo2wao1refo1
sini,sbu2bo1y
sinir,sbu2bo1bu2r
sinir,sbu2ko3bu2r
sinirlenmek,sbu2bo1bu2rlbo1mk
sinirli,sbu2bo1bu2rly
sinirlilik,sbu2bo1bu2rlbu2lk
siniz,sko3ro1
sinmek,sbu2bo1mk
sinmek,sbu2kmk
sinmez,sbu2bo1mro1
sinnen,sbo1eo44
Sinop,sbu2bo1wbu3
sinsi,sbu2bo1sy
sinsi,sbu2ko3sy
sinsilik,sbu2bo1sbu2lk
sipâhî,sbu3ehy
sipâhîlik,sbu3ehbu2lk
sipâriş,sbu3erso3
siper,sbu3r
siperisâika,sbu3rzebo5fo2h
sirâyet,srebu2bo2
sîret,sbu2rbo2
sirk,sbu2rk
sirkat,srfo2bo2
sirke,sbu2rkh
sirke,srkh
sirkinmek,sbu2rkbu2bo1mk
sirküler,sbu2rkwlr
sis,sbu2s
sislenmek,sbu2slh||bo1mkk
sisli,sbu2sly
sismograf,sbu2ro1mwao1refo1
sistem,sbu2sbo2h||m
sistit,sbu2sbo2bu2bo2
sitâyiş,sbo2ebu2so3
sitem,sbo2m
sitil,sbu2bo2bu2l
sitemkâr,sbo2mker
sittînsene,sbo2bu2bo1 sbo1h
Sivas,sbu2wes
Siverek,sbu2wh||rk
sivil,sbu2wbu2l
sivilce,sbu2wbu2lxu1h
sivişmek,sbu2wbu2so3mk
sivri,sbu2wry
sivriakıllı,sbu2wry afo2ly
sivriboylu,sbu2wry bu1wbu2ly
sivriburun,sbu2wry bu1wrwbo1
Sivrihisar,sbu2wrbu2xzer
sivriköşe,sbu2wry kwso3h
sivrileşmek,sbu2wrbu2lso3mk
sivrilik,sbu2wrbu2lk
sivrilmek,sbu2wrbu2lmk
sivriltmek,sbu2wrbu2lbo2mk
sivrisinek,sbu2wry||sbu2bo1k
siyah,sbu2eh
siyâhî,sbu2ehy
siyahlanmak,sbu2ehlebo1mfo2
siyahlatmak,sbu2ehlebo2mfo2
siyahlık,sbu2ehlfo2
siyâset,sbu2esbo2
siyâseten,sbu2esho2o44
sıyâsî,sbu2esy
siyâsiyât,sbu2esbu2ebo2
siyâsiyyûn,sbu2esbu2wbo1
siyonist,sbu2bu2wbo1bu2sbo2
siyonizm,sbu2bu2wbo1bu2ro1m
siz,sro1
sizinki,sro1ko3ky
sizlik,sro1lk
skandal,sfo2ebo1del
smokin,smwkbu2bo1
sof,zwfo1
sofa,zwfo1e
sofa,zfo1h
sofalı,zwfo1ely
sôfî,zwfo1y
sofra,sfo1rh||
sofra,zwfo1re
sofracı,sfo1rh||xu1y
sofracılık,sfo1rh||xu1bu2lfo2
sofu,zwfo1y
sofuluk,zwfo1bu2lfo2
soğan,zwao1ebo1
soğancı,zwao1ebo1xu1y
soğancık,zwao1ebo1xu1fo2
soğanlı,zwao1ebo1ly
soğanlık,zwao1ebo1lfo2
soğuk,zwao1wfo2
soğukkanlılık,zwao1wfo2 fo2ebo1lbu2lfo2
soğuklama,zwao1wfo2lemh
soğuklamak,zwao1wfo2lemfo2
soğukluk,zwao1wfo2lfo2
soğumak,zwao1wmfo2
soğutmak,zwao1wbo2mfo2
soğutulmak,zwao1wbo2bu2lmfo2
sohbet,zxbu1bo2
sokak,zwfo2efo2
sokak,swfo2efo2
sokdurmak,zwfo2dbu2rmfo2
sokma,zwfo2mh
sokmak,zwfo2mfo2
sokulgan,zwfo2wlao1ebo1
sokuganlık,zwfo2wlao1ebo1lfo2
sokulma,zwfo2wlmh
sokulmak,zwfo2wlmfo2
sokum,zwfo2wm
sokuşdurmak,zwfo2wso3dbu2rmfo2
sôl,zwl
solak,zwlefo2
soldurmak,zwldbu2rmfo2
solmak,zwlmfo2
solucan,zwao1lxu1ebo1
solugan,zwlwao1ebo1
soluk,zwlwfo2
solumak,zwlwmfo2
solutmak,zwlwbo2mfo2
som,zwm
soma,zwmh
Somo,zwme
somak,zwmefo2
somak,smefo2
sumak,zwmefo2
sumak,smefo2
somakî,zwmeky
somakî,smefo2y
somun,zwmwbo1
somurtmak,zwmwrbo2mfo2
somya,swmbu2h
son,zwko3
sonda,zwbo1de
sonra,zwko3re
sonradan,zwko3redbo1
sonraki,zwko3rh||ky
sonrası,zwko3resy
sonraya,zwko3rebu2h
sonsuz,zwko3sro1
sonsuzluk,zwko3sro1lfo2
sop,zwbu3
sopa,zwbu3e
sopalı,zwbu3ely
sordurmak,zwrdwrmfo2
sormak,zwrmfo2
sorguç,zwrao1wxu3
sorguçlu,zwrao1wxu3ly
Sorgun,zwrao1wbo1
sormak,zwrmfo2
sorulmak,zwrlmfo2
soruş,zwrwso3
soruşdurmak,zwrwso3dbu2rmfo2
sovyet,swwbu2h||bo2
soygun,zwbu2ao1wbo1
soyguncu,zwbu2ao1wbo1xu1y
soygunluk,zwbu2ao1wbo1lfo2
sosyalizm,swsbu2elbu2ro1m
soyma,zwbu2mh
soymak,zwbu2mfo2
soysuz,zwbu2sro1
soysuzluk,zwbu2sro1lfo2
soytarı,zwbu2bo2ery
soytarılık,zwbu2bo2erbu2lfo2
soyucu,zwbu2xu1y
soyunmak,zwbu2wbo1mfo2
söbü,swbu1w
söğdürmek,swko7drmk
söğmek,swko7mh
söğüş,swko7wso3
söğüt,swko7wbo2
Söğüt,skwd
Söke,swkh
sökmek,swkmk
sökük,swkwk
sökün,swkwbo1
söküntü,swkwbo1bo2y
söküotu,swkwewbo2y
sökülmek,swkwlmk
sömürmek,swmwrmk
söndürmek,swbo1dwrmk
söndürmek,swko7wbo1dbu2rmk
sönmek,swbo1mk
sönmek,swko7wbo1mk
sönük,swbo1wk
sönüklük,swbo1wklk
söyleme,swbu2lh||mh
söylemek,swbu2lh||mk
söylenilmek,swbu2lh||bo1bu2lmk
söyleşmek,swbu2lh||so3mk
söyletmek,swbu2lh||bo2mk
söyleyiş,swbu2lh||bu2bu2so3
söz,swro1
sözleşme,zwro1lso3mh
sözleşmek,zwro1lso3mk
sözlü,swro1ly
spekülasyon,sbu3h||kwlesbu2wbo1
spekülâtör,sbu3h||kwlebo2wr
spor,sbu3wr
spor,sbu3wr
sportmen,sbu3wrbo2smbo1
stadyum,sbo2edbu2wm
staj,sbo2ero3
stajyer,sbo2ero3bu2h||r
striknin,sbo2rbu2kbo1bu2bo1
su,zw
subaşı,zwbu1eso3y
suböreği,zwbu1wrky
sucu,zwxu1y
sucuk,zwxu1wfo2
suç,zwxu1
suçlu,zwxu1ly
suçsuz,zwxu1sro1
suçsuzluk,zwxu1sro1lfo2
sudan,zwdbo1
Sûdan,swdebo1
Sûdanlı,swdebo1ly
sudolabı,zwtwlebu1y
sudûr,zdwr
suflör,swfo1lwr
sûiniyet,swcbo1bu2bo2
sûizan,swcto1bo1
sukabağı,zwfo2ebu1eao1y
sukerevizi,zwkrwbu2ro1y
sukesimi,zwksbu2my
sukuşu,zwfo2wso3y
sukût,sfo2wt
sulak,zwlefo2
sulama,zwlemh
sulamak,zwlemfo2
sulandırmak,zwlebo1dbu2rmfo2
sulanmak,zwlebo1mfo2
sulatmak,zwlebo2mfo2
sulh,zlx
sulhan,zlxeo44
sulhetmek,zlx ebu2bo2mk
sulhî,zlxy
sulhnâme,zlxbo1emh
sulta,slth
sultan,sltebo1
sultânî,sltebo1y
Sultânîye,sltebo1bu2h
sultanlık,sltebo1lfo2
sulu,zwly
suluk,zwlwfo2
sundurma,zwbo1dwrmh
sundurmak,zwbo1drmfo2
Sungurlu,zwbo1ao1wrlw
sun’î,sbo1ay
sunmak,zwbo1mfo2
suntur,zwbo1twr
sunturlu,zwbo1twrly
supap,swbu3ebu3
sur,swr
sur,zwr
surat,zwrbo2
sûret,zwrbo2
suratsız,zwrbo2sro1
sûrî,swry
Sûriye,swrbu2h
Sûriyeli,swrbu2h||ly
sus,zwz
susam,zwzem
susamak,zwzemfo2
susamış,zwzemso3
susamuru,zwsmwry
susatmak,zwsebo2mfo2
susdurmak,zwzdbu2rmfo2
susığırı,zwzao1bu2ry
Susığırlık,zwzao1rlfo2
susmak,zwzmfo2
susuz,swsro1
susuzluk,zwsro1lfo2
Suşehri,zwso3hry
suterâzisi,zwbo2rero1bu2sy
suteresi,zwbo2rh||sy
suûbet,zawbu1bo2
suûbetli,zawbu1bo2ly
suvâre,swwerh
suyolu,zwbu2wly
sûziş,swro1so3
sûzişli,swro1so3ly
süâl,swo5el
süalli,swo5elly
sübjektif,swbu1ro3h||kbo2bu2fo1
süblime,swbu1lbu2h
sübût,bo3bu1wbo2
sübvansiyon,swbu1welsbu2wbo1
sübye,swbu1bu2h
sücûd,sxu1wd
süferâ,sfo1re
süflî,sfo1ly
süflîlik,sfo1lbu2llk
süheyl,shbu2l
sühûlet,shwlbo2
sühûletli,shwlbo2ly
sükkan,skebo1
süklümpüklüm,swklwm||bu3wklwm
sükûn,skwbo1
sükûnet,skwbo1bo2
sükûnetli,skwbo1bo2ly
sükût,skwbo2
sükûtî,skwbo2y
sülâle,slelh
sülüğen,swlwkbo1
sülük,swlwk
sülûk,slwk
sülün,swko7lwbo1
sülüs,bo3lbo3
sümbül,sbo1bu1l
sümbüle,sbo1bu1lh
sümbülî,sbo1bu1ly
sümen,swmbo1
sümkürmek,swmkwrmk
sümük,swmwk
sümüklü,swmwkly
sümüklüböcek,swmwkly bu1wxu1k
sündüs,sbo1ds
sünepe,swbo1bu3h
sünger,swbo1ko7r
süngertaşı,swbo1ko7rteso3y
sünnet,sbo1bo2
sünnetçi,sbo1bo2xu1y
sünnetli,sbo1bo2ly
sünnetsiz,sbo1bo2sro1
sünnî,sbo1y
sünûh,sbo1wx
sünûhât,sbo1wxebo2
süprüntü,swbu3wrbo1bo2y
süprüntücü,swbu3wrbo1bo2bu2xu1y
süpürge,swbu3wrko7h
süpürgeci,swbu3wrko7h||xu1y
